"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2018-42",2018-10-15,2018-10-21,1072,1088,1383696,"0.79",79199,100,"1.26",184077,117,"0.64",808992,691,"0.85",311428,180,"0.58"
"2018-43",2018-10-22,2018-10-28,1078,1319,1393870,"0.95",78586,155,"1.97",184646,148,"0.8",816245,855,"1.05",314393,161,"0.51"
"2018-44",2018-10-29,2018-11-04,1089,1421,1409120,"1.01",79391,134,"1.69",188167,163,"0.87",823678,909,"1.1",317884,215,"0.68"
"2018-45",2018-11-05,2018-11-11,1089,2073,1408965,"1.47",79862,235,"2.94",189535,249,"1.31",822265,1266,"1.54",317303,323,"1.02"
"2018-46",2018-11-12,2018-11-18,1101,2529,1425042,"1.77",81136,329,"4.05",192038,355,"1.85",830910,1499,"1.8",320958,346,"1.08"
"2018-47",2018-11-19,2018-11-25,1102,3031,1426304,"2.13",81422,355,"4.36",192999,405,"2.1",830976,1894,"2.28",320907,377,"1.17"
"2018-48",2018-11-26,2018-12-02,1104,3405,1430097,"2.38",80921,473,"5.85",191495,523,"2.73",835130,2014,"2.41",322551,395,"1.22"
"2018-49",2018-12-03,2018-12-09,1101,3922,1425673,"2.75",80752,543,"6.72",191552,618,"3.23",831948,2280,"2.74",321421,481,"1.5"
"2018-50",2018-12-10,2018-12-16,1104,4723,1428727,"3.31",81988,710,"8.66",192867,732,"3.8",832414,2698,"3.24",321458,583,"1.81"
"2018-51",2018-12-17,2018-12-23,1096,5266,1418940,"3.71",80031,785,"9.81",189557,833,"4.39",829301,3044,"3.67",320051,604,"1.89"
"2018-52",2018-12-24,2018-12-30,1070,5897,1384353,"4.26",78669,780,"9.91",185784,927,"4.99",808162,3395,"4.2",311738,795,"2.55"
"2019-01",2018-12-31,2019-01-06,1088,8041,1405198,"5.72",81056,969,"11.95",191122,1089,"5.7",817823,4973,"6.08",315197,1010,"3.2"
"2019-02",2019-01-07,2019-01-13,1105,10907,1430734,"7.62",81877,1364,"16.66",193566,1680,"8.68",833570,6608,"7.93",321721,1255,"3.9"
"2019-03",2019-01-14,2019-01-20,1099,14269,1421136,"10.04",81747,2385,"29.18",192189,2750,"14.31",827210,7712,"9.32",319990,1422,"4.44"
"2019-04",2019-01-21,2019-01-27,1098,17714,1421086,"12.47",81561,3016,"36.98",192093,3686,"19.19",827694,9566,"11.56",319738,1446,"4.52"
"2019-05",2019-01-28,2019-02-03,1094,19893,1415062,"14.06",81383,3386,"41.61",192175,4521,"23.53",823332,10320,"12.53",318172,1666,"5.24"
"2019-06",2019-02-04,2019-02-10,1088,18664,1407883,"13.26",80781,3095,"38.31",190698,4262,"22.35",819698,9649,"11.77",316706,1658,"5.24"
"2019-07",2019-02-11,2019-02-17,1077,15613,1394174,"11.2",79960,2530,"31.64",188052,3502,"18.62",812485,8123,"10",313677,1458,"4.65"
"2019-08",2019-02-18,2019-02-24,1065,12457,1378714,"9.04",79089,2121,"26.82",185438,2826,"15.24",804225,6356,"7.9",309962,1154,"3.72"
"2019-09",2019-02-25,2019-03-03,1055,8976,1365823,"6.57",77493,1541,"19.89",182504,1987,"10.89",798341,4577,"5.73",307485,871,"2.83"
"2019-10",2019-03-04,2019-03-10,1035,6424,1342497,"4.79",75631,1007,"13.31",177839,1304,"7.33",786058,3442,"4.38",302969,671,"2.21"
"2019-11",2019-03-11,2019-03-17,1017,4855,1316556,"3.69",75074,831,"11.07",175906,990,"5.63",768483,2542,"3.31",297093,492,"1.66"
"2019-12",2019-03-18,2019-03-24,992,3745,1285491,"2.91",72391,593,"8.19",170333,771,"4.53",751379,1995,"2.66",291388,386,"1.32"
"2019-13",2019-03-25,2019-03-31,968,2994,1255687,"2.38",70522,450,"6.38",166940,535,"3.2",733217,1676,"2.29",285008,333,"1.17"
"2019-14",2019-04-01,2019-04-07,914,2318,1183747,"1.96",67308,359,"5.33",157367,387,"2.46",691181,1258,"1.82",267891,314,"1.17"
"2019-15",2019-04-08,2019-04-14,840,1722,1092580,"1.58",57370,286,"4.99",135367,311,"2.3",648819,929,"1.43",251024,196,"0.78"
"2019-16",2019-04-15,2019-04-21,740,1223,962102,"1.27",48267,200,"4.14",114638,199,"1.74",576716,651,"1.13",222481,173,"0.78"
"2019-17",2019-04-22,2019-04-28,609,747,790242,"0.95",41375,82,"1.98",97181,102,"1.05",472534,473,"1",179152,90,"0.5"
