"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2018-43",2018-10-22,2018-10-28,"Piedmont",1,45,8,25,63,36203,"1.74",3,"2.34",7,"2.22",48,"2.12",5,"0.55"
"2018-43",2018-10-22,2018-10-28,"Aosta Valley",2,46,7,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-43",2018-10-22,2018-10-28,"Lombardy",3,45,9,76,233,103480,"2.25",30,"3.96",24,"1.4",151,"2.67",28,"1.26"
"2018-43",2018-10-22,2018-10-28,"AP Bolzano",21,46,11,3,0,4444,"0",0,"0",0,"0",0,"0",0,"0"
"2018-43",2018-10-22,2018-10-28,"AP Trento",22,46,11,7,18,9336,"1.93",7,"9.96",2,"1.58",8,"1.53",1,"0.47"
"2018-43",2018-10-22,2018-10-28,"Veneto",5,45,12,83,28,108104,"0.26",0,"0",0,"0",25,"0.4",3,"0.12"
"2018-43",2018-10-22,2018-10-28,"Friuli-Venezia Giulia",6,46,14,9,20,11875,"1.68",0,"0",0,"0",19,"3.32",1,"0.35"
"2018-43",2018-10-22,2018-10-28,"Liguria",7,44,9,16,30,20501,"1.46",7,"6.02",3,"1.07",14,"1.28",6,"1.07"
"2018-43",2018-10-22,2018-10-28,"Emilia Romagna",8,44,11,23,39,33932,"1.15",0,"0",0,"0",35,"1.69",4,"0.44"
"2018-43",2018-10-22,2018-10-28,"Tuscany",9,44,11,31,54,40284,"1.34",5,"2.92",4,"0.91",40,"1.69",5,"0.48"
"2018-43",2018-10-22,2018-10-28,"Umbria",10,43,12,1,0,828,"0",0,"0",0,"0",0,"0",0,"0"
"2018-43",2018-10-22,2018-10-28,"Marche",11,44,14,1,2,1363,"1.47",0,"0",0,"0",2,"2.03",0,"0"
"2018-43",2018-10-22,2018-10-28,"Lazio",12,42,12,91,65,116777,"0.56",3,"0.69",1,"0.09",50,"0.67",11,"0.41"
"2018-43",2018-10-22,2018-10-28,"Abruzzo",13,42,13,30,120,33040,"3.63",13,"7.32",26,"6.68",61,"3.1",20,"2.6"
"2018-43",2018-10-22,2018-10-28,"Molise",14,42,15,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-43",2018-10-22,2018-10-28,"Campania",15,41,14,18,7,23176,"0.3",0,"0",2,"0.55",5,"0.37",0,"0"
"2018-43",2018-10-22,2018-10-28,"Apulia",16,41,17,75,55,97535,"0.56",5,"0.97",5,"0.53",41,"0.65",4,"0.2"
"2018-43",2018-10-22,2018-10-28,"Basilicata",17,41,16,1,0,1584,"0",0,"0",0,"0",0,"0",0,"0"
"2018-43",2018-10-22,2018-10-28,"Calabria",18,39,17,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-43",2018-10-22,2018-10-28,"Sicily",19,38,13,76,142,97875,"1.45",14,"7.26",6,"1.05",89,"1.37",33,"1.31"
"2018-43",2018-10-22,2018-10-28,"Sardinia",20,39,9,9,4,10903,"0.37",0,"0",0,"0",4,"0.96",0,"0"
"2018-44",2018-10-29,2018-11-04,"Piedmont",1,45,8,31,85,43791,"1.94",8,"5.37",11,"2.67",59,"2.2",7,"0.61"
"2018-44",2018-10-29,2018-11-04,"Aosta Valley",2,46,7,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-44",2018-10-29,2018-11-04,"Lombardy",3,45,9,87,173,118823,"1.46",18,"2.11",17,"0.87",113,"1.75",25,"0.95"
"2018-44",2018-10-29,2018-11-04,"AP Bolzano",21,46,11,6,0,9207,"0",0,"0",0,"0",0,"0",0,"0"
"2018-44",2018-10-29,2018-11-04,"AP Trento",22,46,11,8,12,10964,"1.09",4,"5.69",1,"0.74",7,"1.1",0,"0"
"2018-44",2018-10-29,2018-11-04,"Veneto",5,45,12,78,48,102178,"0.47",2,"0.39",0,"0",36,"0.61",10,"0.41"
"2018-44",2018-10-29,2018-11-04,"Friuli-Venezia Giulia",6,46,14,10,23,12953,"1.78",0,"0",0,"0",23,"3.57",0,"0"
"2018-44",2018-10-29,2018-11-04,"Liguria",7,44,9,20,39,26206,"1.49",4,"2.6",9,"2.63",25,"1.77",1,"0.14"
"2018-44",2018-10-29,2018-11-04,"Emilia Romagna",8,44,11,34,62,46022,"1.35",13,"5.24",15,"2.04",27,"1.06",7,"0.65"
"2018-44",2018-10-29,2018-11-04,"Tuscany",9,44,11,34,66,44958,"1.47",8,"4.68",7,"1.55",39,"1.44",12,"1.04"
"2018-44",2018-10-29,2018-11-04,"Umbria",10,43,12,3,0,2445,"0",0,"0",0,"0",0,"0",0,"0"
"2018-44",2018-10-29,2018-11-04,"Marche",11,44,14,6,4,7374,"0.54",0,"0",0,"0",2,"0.5",2,"1.36"
"2018-44",2018-10-29,2018-11-04,"Lazio",12,42,12,98,76,125018,"0.61",4,"0.82",6,"0.47",55,"0.7",11,"0.39"
"2018-44",2018-10-29,2018-11-04,"Abruzzo",13,42,13,31,94,35228,"2.67",9,"5.03",4,"0.93",63,"2.99",18,"2.24"
"2018-44",2018-10-29,2018-11-04,"Molise",14,42,15,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-44",2018-10-29,2018-11-04,"Campania",15,41,14,30,40,38692,"1.03",0,"0",4,"0.71",32,"1.36",4,"0.6"
"2018-44",2018-10-29,2018-11-04,"Apulia",16,41,17,95,67,124178,"0.54",9,"2.06",5,"0.47",44,"0.54",9,"0.32"
"2018-44",2018-10-29,2018-11-04,"Basilicata",17,41,16,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-44",2018-10-29,2018-11-04,"Calabria",18,39,17,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-44",2018-10-29,2018-11-04,"Sicily",19,38,13,76,164,97683,"1.68",4,"2.11",8,"1.46",103,"1.58",49,"1.96"
"2018-44",2018-10-29,2018-11-04,"Sardinia",20,39,9,8,0,9352,"0",0,"0",0,"0",0,"0",0,"0"
"2018-45",2018-11-05,2018-11-11,"Piedmont",1,45,8,30,124,42534,"2.92",28,"24.65",14,"4.64",70,"2.58",12,"1.07"
"2018-45",2018-11-05,2018-11-11,"Aosta Valley",2,46,7,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2018-45",2018-11-05,2018-11-11,"Lombardy",3,45,9,74,238,102181,"2.33",35,"4.47",26,"1.45",143,"2.6",34,"1.59"
"2018-45",2018-11-05,2018-11-11,"AP Bolzano",21,46,11,6,4,9207,"0.43",3,"6.98",1,"1.27",0,"0",0,"0"
"2018-45",2018-11-05,2018-11-11,"AP Trento",22,46,11,9,22,12492,"1.76",10,"14.22",3,"2.2",6,"0.81",3,"1"
"2018-45",2018-11-05,2018-11-11,"Veneto",5,45,12,71,81,91817,"0.88",3,"0.65",1,"0.08",69,"1.3",8,"0.37"
"2018-45",2018-11-05,2018-11-11,"Friuli-Venezia Giulia",6,46,14,9,25,11875,"2.11",2,"2.23",1,"0.41",22,"3.84",0,"0"
