"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2008-42",2008-10-13,2008-10-19,846,309,1098775,"0.28",66354,25,"0.38",133471,41,"0.31",681075,181,"0.27",217875,62,"0.28"
"2008-43",2008-10-20,2008-10-26,859,302,1120921,"0.27",67414,22,"0.33",136870,55,"0.4",694467,171,"0.25",222170,54,"0.24"
"2008-44",2008-10-27,2008-11-02,895,380,1169369,"0.32",68825,48,"0.7",140717,33,"0.23",727582,217,"0.3",232245,82,"0.35"
"2008-45",2008-11-03,2008-11-09,913,510,1187706,"0.43",73275,78,"1.06",148402,84,"0.57",731950,256,"0.35",234079,92,"0.39"
"2008-46",2008-11-10,2008-11-16,901,566,1170373,"0.48",71818,82,"1.14",146304,95,"0.65",721281,290,"0.4",230970,99,"0.43"
"2008-47",2008-11-17,2008-11-23,923,740,1199961,"0.62",72644,121,"1.67",148447,130,"0.88",741688,382,"0.52",237182,107,"0.45"
"2008-48",2008-11-24,2008-11-30,932,930,1215980,"0.76",72512,113,"1.56",147952,165,"1.12",753992,520,"0.69",241524,132,"0.55"
"2008-49",2008-12-01,2008-12-07,930,1078,1212677,"0.89",73370,154,"2.1",148309,209,"1.41",750832,578,"0.77",240166,137,"0.57"
"2008-50",2008-12-08,2008-12-14,937,1400,1220694,"1.15",74578,208,"2.79",151008,253,"1.68",753406,764,"1.01",241702,175,"0.72"
"2008-51",2008-12-15,2008-12-21,926,1886,1207894,"1.56",72835,271,"3.72",147440,395,"2.68",746537,1037,"1.39",241082,183,"0.76"
"2008-52",2008-12-22,2008-12-28,899,2350,1174447,"2",70511,337,"4.78",142975,521,"3.64",726209,1254,"1.73",234752,238,"1.01"
"2009-01",2008-12-29,2009-01-04,921,3823,1202722,"3.18",70053,411,"5.87",142085,606,"4.27",749814,2309,"3.08",240770,497,"2.06"
"2009-02",2009-01-05,2009-01-11,948,5446,1236473,"4.4",73961,542,"7.33",150693,847,"5.62",766539,3492,"4.56",245280,565,"2.3"
"2009-03",2009-01-12,2009-01-18,948,7748,1233964,"6.28",74537,1166,"15.64",151844,1654,"10.89",762573,4193,"5.5",245010,735,"3"
"2009-04",2009-01-19,2009-01-25,939,10061,1222667,"8.23",74794,1801,"24.08",152162,2745,"18.04",753387,4697,"6.23",242324,818,"3.38"
"2009-05",2009-01-26,2009-02-01,941,9375,1227083,"7.64",73717,1739,"23.59",150592,2571,"17.07",759146,4331,"5.71",243628,734,"3.01"
"2009-06",2009-02-02,2009-02-08,928,8012,1205860,"6.64",72099,1444,"20.03",147780,1999,"13.53",746579,3872,"5.19",239402,697,"2.91"
"2009-07",2009-02-09,2009-02-15,937,6265,1220852,"5.13",73874,1117,"15.12",149484,1580,"10.57",755383,2999,"3.97",242111,569,"2.35"
"2009-08",2009-02-16,2009-02-22,915,4973,1193113,"4.17",72401,817,"11.28",145999,1156,"7.92",737263,2543,"3.45",237450,457,"1.92"
"2009-09",2009-02-23,2009-03-01,905,4405,1178157,"3.74",71484,715,"10",143093,1073,"7.5",730661,2197,"3.01",232919,420,"1.8"
"2009-10",2009-03-02,2009-03-08,900,3417,1174522,"2.91",69990,552,"7.89",143323,880,"6.14",727978,1727,"2.37",233231,258,"1.11"
"2009-11",2009-03-09,2009-03-15,891,2502,1162785,"2.15",70310,418,"5.95",142762,644,"4.51",720057,1220,"1.69",229656,220,"0.96"
"2009-12",2009-03-16,2009-03-22,884,1984,1148544,"1.73",70421,324,"4.6",143121,533,"3.72",708188,973,"1.37",226814,154,"0.68"
"2009-13",2009-03-23,2009-03-29,866,1607,1118649,"1.44",70260,276,"3.93",139740,461,"3.3",686782,723,"1.05",221867,147,"0.66"
"2009-14",2009-03-30,2009-04-05,853,1293,1116091,"1.16",65395,209,"3.2",131913,344,"2.61",695416,629,"0.9",223367,111,"0.5"
"2009-15",2009-04-06,2009-04-12,810,803,1058547,"0.76",63609,149,"2.34",126864,214,"1.69",655550,352,"0.54",212524,88,"0.41"
"2009-16",2009-04-13,2009-04-19,799,609,1043951,"0.58",62603,115,"1.84",125222,138,"1.1",647778,278,"0.43",208348,78,"0.37"
"2009-17",2009-04-20,2009-04-26,803,521,1062890,"0.49",63174,84,"1.33",127415,113,"0.89",660151,248,"0.38",212150,76,"0.36"
