"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2011-42",2011-10-17,2011-10-23,942,568,1218830,"0.47",81856,115,"1.4",158570,72,"0.45",730045,328,"0.45",248359,53,"0.21"
"2011-43",2011-10-24,2011-10-30,964,678,1249580,"0.54",85923,151,"1.76",166349,75,"0.45",746032,398,"0.53",251276,54,"0.21"
"2011-44",2011-10-31,2011-11-06,1011,697,1309539,"0.53",89906,137,"1.52",174811,78,"0.45",781727,396,"0.51",263095,86,"0.33"
"2011-45",2011-11-07,2011-11-13,1030,967,1337774,"0.72",90411,171,"1.89",176456,106,"0.6",799759,579,"0.72",271148,111,"0.41"
"2011-46",2011-11-14,2011-11-20,1051,1213,1365436,"0.89",95289,205,"2.15",183513,160,"0.87",812613,744,"0.92",274021,104,"0.38"
"2011-47",2011-11-21,2011-11-27,1057,1557,1371719,"1.14",94771,267,"2.82",183149,210,"1.15",816853,925,"1.13",276946,155,"0.56"
"2011-48",2011-11-28,2011-12-04,1038,1735,1343497,"1.29",91782,298,"3.25",180518,285,"1.58",800088,988,"1.23",271109,164,"0.6"
"2011-49",2011-12-05,2011-12-11,1062,1885,1381052,"1.36",93555,333,"3.56",182261,330,"1.81",825226,1044,"1.27",280010,178,"0.64"
"2011-50",2011-12-12,2011-12-18,1066,2430,1382449,"1.76",94302,418,"4.43",181998,449,"2.47",827047,1355,"1.64",279102,208,"0.75"
"2011-51",2011-12-19,2011-12-25,996,2843,1293427,"2.2",88940,584,"6.57",174530,578,"3.31",769285,1462,"1.9",260672,219,"0.84"
"2011-52",2011-12-26,2012-01-01,1025,4074,1325645,"3.07",89078,768,"8.62",174312,737,"4.23",793155,2161,"2.72",269100,408,"1.52"
"2012-01",2012-01-02,2012-01-08,1053,4256,1361517,"3.13",92961,593,"6.38",180584,687,"3.8",813565,2497,"3.07",274407,479,"1.75"
"2012-02",2012-01-09,2012-01-15,1086,5945,1402095,"4.24",98104,898,"9.15",189545,1034,"5.46",832470,3363,"4.04",281976,650,"2.31"
"2012-03",2012-01-16,2012-01-22,1090,8881,1407940,"6.31",98517,1982,"20.12",191234,2162,"11.31",834597,4038,"4.84",283592,699,"2.46"
"2012-04",2012-01-23,2012-01-29,1089,12514,1412141,"8.86",96349,2952,"30.64",188781,3361,"17.8",841882,5391,"6.4",285129,810,"2.84"
"2012-05",2012-01-30,2012-02-05,1085,13539,1405229,"9.63",97796,2710,"27.71",189151,3270,"17.29",835173,6490,"7.77",283109,1069,"3.78"
"2012-06",2012-02-06,2012-02-12,1067,12252,1381410,"8.87",93947,2161,"23",183200,2646,"14.44",824049,6387,"7.75",280214,1058,"3.78"
"2012-07",2012-02-13,2012-02-19,1052,9698,1360331,"7.13",93132,1638,"17.59",181793,2001,"11.01",810105,5215,"6.44",275301,844,"3.07"
"2012-08",2012-02-20,2012-02-26,1017,7553,1313876,"5.75",92421,1216,"13.16",177753,1483,"8.34",777997,4106,"5.28",265705,748,"2.82"
"2012-09",2012-02-27,2012-03-04,1016,5305,1318923,"4.02",88312,848,"9.6",170966,951,"5.56",791752,2964,"3.74",267893,542,"2.02"
"2012-10",2012-03-05,2012-03-11,995,3800,1288852,"2.95",87085,625,"7.18",171526,726,"4.23",768591,2057,"2.68",261650,392,"1.5"
"2012-11",2012-03-12,2012-03-18,958,2642,1242685,"2.13",82473,428,"5.19",161810,527,"3.26",743903,1405,"1.89",254499,282,"1.11"
"2012-12",2012-03-19,2012-03-25,947,1828,1227499,"1.49",84853,336,"3.96",163785,348,"2.12",730307,975,"1.34",248554,169,"0.68"
"2012-13",2012-03-26,2012-04-01,909,1320,1192452,"1.11",81397,249,"3.06",157412,222,"1.41",711706,728,"1.02",241937,121,"0.5"
"2012-14",2012-04-02,2012-04-08,842,904,1089584,"0.83",75210,156,"2.07",144642,154,"1.06",647309,496,"0.77",222423,98,"0.44"
"2012-15",2012-04-09,2012-04-15,824,879,1068233,"0.82",69851,126,"1.8",137492,140,"1.02",641169,527,"0.82",219721,86,"0.39"
"2012-16",2012-04-16,2012-04-22,757,658,979992,"0.67",62339,122,"1.96",124717,115,"0.92",588972,357,"0.61",203964,64,"0.31"
"2012-17",2012-04-23,2012-04-29,543,313,703107,"0.45",43076,60,"1.39",86061,61,"0.71",425219,155,"0.36",148751,37,"0.25"
