"Region","Age","Vaccination coverage"
"Piedmont","<5","1.6"
"Aosta Valley","<5","0.8"
"Lombardy","<5","2.5"
"AP Bolzano","<5","0.9"
"AP Trento","<5","1.2"
"Veneto","<5",NA
"Friuli-Venezia Giulia","<5","1.2"
"Liguria","<5","1.7"
"Emilia-Romagna","<5","3.9"
"Tuscany","<5","6.9"
"Umbria","<5","1.6"
"Marche","<5","2.8"
"Lazio","<5","1.6"
"Abruzzo","<5","3.6"
"Molise","<5","5.9"
"Campania","<5","6.8"
"Apulia","<5","7.5"
"Basilicata","<5","1.2"
"Calabria","<5","1.3"
"Sicily","<5","3"
"Sardinia","<5","18"
"Italy","<5","4.1"
"Piedmont","5_14","1.5"
"Aosta Valley","5_14","1.1"
"Lombardy","5_14","2.3"
"AP Bolzano","5_14","0.7"
"AP Trento","5_14","1.4"
"Veneto","5_14",NA
"Friuli-Venezia Giulia","5_14","1.3"
"Liguria","5_14","4.4"
"Emilia-Romagna","5_14","3.7"
"Tuscany","5_14","5.2"
"Umbria","5_14","1.5"
"Marche","5_14","2.4"
"Lazio","5_14","1.9"
"Abruzzo","5_14","2.7"
"Molise","5_14","4.8"
"Campania","5_14","4.2"
"Apulia","5_14","5.3"
"Basilicata","5_14","1.9"
"Calabria","5_14","1.2"
"Sicily","5_14","2.8"
"Sardinia","5_14","13.3"
"Italy","5_14","3.4"
"Piedmont","15_24","1.5"
"Aosta Valley","15_24","1"
"Lombardy","15_24","1.7"
"AP Bolzano","15_24","0.4"
"AP Trento","15_24","0.8"
"Veneto","15_24",NA
"Friuli-Venezia Giulia","15_24","1.1"
"Liguria","15_24","2.8"
"Emilia-Romagna","15_24","2.8"
"Tuscany","15_24","4.8"
"Umbria","15_24","1.2"
"Marche","15_24","1.5"
"Lazio","15_24","1.7"
"Abruzzo","15_24","2.1"
"Molise","15_24","2.9"
"Campania","15_24","3"
"Apulia","15_24","3.1"
"Basilicata","15_24","3.2"
"Calabria","15_24","1.4"
"Sicily","15_24","3.1"
"Sardinia","15_24","16.6"
"Italy","15_24","2.9"
"Piedmont","25_64","5.3"
"Aosta Valley","25_64","5.3"
"Lombardy","25_64","4.8"
"AP Bolzano","25_64","1.9"
"AP Trento","25_64","3.8"
"Veneto","25_64",NA
"Friuli-Venezia Giulia","25_64","6.4"
"Liguria","25_64","8.3"
"Emilia-Romagna","25_64","9"
"Tuscany","25_64","7.1"
"Umbria","25_64","7.3"
"Marche","25_64","7.6"
"Lazio","25_64","8.2"
"Abruzzo","25_64","6.1"
"Molise","25_64","11.2"
"Campania","25_64","9.2"
"Apulia","25_64","8.5"
"Basilicata","25_64","8.6"
"Calabria","25_64","5.1"
"Sicily","25_64","7.1"
"Sardinia","25_64","17.2"
"Italy","25_64","7.3"
"Piedmont",">= 65","55.9"
"Aosta Valley",">= 65","54.4"
"Lombardy",">= 65","65.3"
"AP Bolzano",">= 65","52"
"AP Trento",">= 65","60"
"Veneto",">= 65",NA
"Friuli-Venezia Giulia",">= 65","72.5"
"Liguria",">= 65","66.1"
"Emilia-Romagna",">= 65","73"
"Tuscany",">= 65","62.2"
"Umbria",">= 65","61.9"
"Marche",">= 65","68"
"Lazio",">= 65","71.5"
"Abruzzo",">= 65","70"
"Molise",">= 65","72.3"
"Campania",">= 65","71.9"
"Apulia",">= 65","70.5"
"Basilicata",">= 65","66.4"
"Calabria",">= 65","59.9"
"Sicily",">= 65","69.7"
"Sardinia",">= 65","59.2"
"Italy",">= 65","66.6"
"Piedmont","Total","15.4"
"Aosta Valley","Total","13.9"
"Lombardy","Total","15.7"
"AP Bolzano","Total","9.5"
"AP Trento","Total","13.4"
"Veneto","Total",NA
"Friuli-Venezia Giulia","Total","19.7"
"Liguria","Total","22.4"
"Emilia-Romagna","Total","22.3"
"Tuscany","Total","19.3"
"Umbria","Total","18.5"
"Marche","Total","19.7"
"Lazio","Total","18.3"
"Abruzzo","Total","18.5"
"Molise","Total","22.4"
"Campania","Total","16.9"
"Apulia","Total","17.5"
"Basilicata","Total","17.8"
"Calabria","Total","13.5"
"Sicily","Total","16.7"
"Sardinia","Total","23.7"
"Italy","Total","17.7"
