"year_week","start_date","e0_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2022-43",2022-10-24,2022-10-30,"Piedmont",1,45.0732745,7.680687483,"55","478","75002","6.37","64","15.63","63","6.45","261","6.15","90","4.82"
"2022-43",2022-10-24,2022-10-30,"Aosta Valley",2,45.73750286,7.320149366,"3","3","4349","0.69","0","0","0","0","3","0.92","0","0"
"2022-43",2022-10-24,2022-10-30,"Lombardy",3,45.46679409,9.190347404,"175","2085","238298","8.75","435","26.06","347","9.02","1014","7.73","289","5.57"
"2022-43",2022-10-24,2022-10-30,"AP Bolzano",21,46.49933453,11.35662422,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"AP Trento",22,46.06893511,11.12123097,"11","21","16452","1.28","2","6.21","6","5.05","12","1.15","1","0.22"
"2022-43",2022-10-24,2022-10-30,"Veneto",5,45.43490485,12.33845213,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"11","22","14151","1.55","2","1.4","2","0.48","17","2.82","1","0.39"
"2022-43",2022-10-24,2022-10-30,"Liguria",7,44.41149315,8.9326992,"7","15","8583","1.75","3","6.74","7","5.21","4","0.93","1","0.4"
"2022-43",2022-10-24,2022-10-30,"Emilia-Romagna",8,44.49436681,11.3417208,"39","163","45114","3.61","38","10.28","37","4.27","66","2.71","22","2.63"
"2022-43",2022-10-24,2022-10-30,"Tuscany",9,43.76923077,11.25588885,"35","243","47908","5.07","118","51.44","22","3.84","80","2.85","23","1.94"
"2022-43",2022-10-24,2022-10-30,"Umbria",10,43.10675841,12.38824698,"8","33","7886","4.18","6","5.99","11","4.85","9","2.77","7","5.12"
"2022-43",2022-10-24,2022-10-30,"Marche",11,43.61675973,13.5188753,"22","110","26989","4.08","28","12.62","16","2.49","55","4.15","11","2.17"
"2022-43",2022-10-24,2022-10-30,"Lazio",12,41.89277044,12.48366722,"175","642","230590","2.78","94","10.04","81","3.21","363","2.56","104","1.93"
"2022-43",2022-10-24,2022-10-30,"Abruzzo",13,42.35122196,13.39843823,"8","32","11641","2.75","0","0","2","1.78","22","2.92","8","2.98"
"2022-43",2022-10-24,2022-10-30,"Molise",14,41.55774754,14.65916051,"3","0","3425","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Apulia",16,41.12559576,16.86736689,"53","200","67444","2.97","33","8.62","36","4.03","106","2.72","25","1.59"
"2022-43",2022-10-24,2022-10-30,"Basilicata",17,40.63947052,15.80514834,"10","30","17249","1.74","10","8.97","20","9.02","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-43",2022-10-24,2022-10-30,"Sicily",19,38.11569725,13.3623567,"108","495","132014","3.75","199","35.73","115","8.33","134","1.65","47","1.49"
"2022-43",2022-10-24,2022-10-30,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Piedmont",1,45.0732745,7.680687483,"64","547","86517","6.32","55","12.52","72","6.85","321","6.47","99","4.49"
"2022-44",2022-10-31,2022-11-06,"Aosta Valley",2,45.73750286,7.320149366,"2","2","2729","0.73","0","0","0","0","1","0.5","1","1.54"
"2022-44",2022-10-31,2022-11-06,"Lombardy",3,45.46679409,9.190347404,"183","1971","245853","8.02","408","22.57","341","8.15","990","7.49","232","4.32"
"2022-44",2022-10-31,2022-11-06,"AP Bolzano",21,46.49933453,11.35662422,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"AP Trento",22,46.06893511,11.12123097,"16","64","21935","2.92","10","11.16","14","4.69","31","2.43","9","1.7"
"2022-44",2022-10-31,2022-11-06,"Veneto",5,45.43490485,12.33845213,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"20","84","25797","3.26","17","8.19","9","1.81","50","3.87","8","1.37"
"2022-44",2022-10-31,2022-11-06,"Liguria",7,44.41149315,8.9326992,"21","58","26893","2.16","7","6.48","9","3.05","29","1.95","13","1.63"
"2022-44",2022-10-31,2022-11-06,"Emilia-Romagna",8,44.49436681,11.3417208,"43","205","49730","4.12","47","10.65","53","4.77","94","3.86","11","1.12"
"2022-44",2022-10-31,2022-11-06,"Tuscany",9,43.76923077,11.25588885,"40","211","52514","4.02","44","16.25","39","5.75","95","3.16","33","2.54"
"2022-44",2022-10-31,2022-11-06,"Umbria",10,43.10675841,12.38824698,"13","71","14409","4.93","15","14.99","16","6.66","32","4.13","8","2.46"
"2022-44",2022-10-31,2022-11-06,"Marche",11,43.61675973,13.5188753,"34","204","41338","4.93","72","18.44","47","4.39","66","3.45","19","2.5"
"2022-44",2022-10-31,2022-11-06,"Lazio",12,41.89277044,12.48366722,"186","929","245400","3.79","93","9.66","128","4.92","549","3.63","159","2.72"
"2022-44",2022-10-31,2022-11-06,"Abruzzo",13,42.35122196,13.39843823,"19","81","25350","3.2","18","16.97","11","3.43","39","2.55","13","2.26"
"2022-44",2022-10-31,2022-11-06,"Molise",14,41.55774754,14.65916051,"2","0","1746","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Apulia",16,41.12559576,16.86736689,"65","250","83139","3.01","61","12.01","54","4.71","116","2.42","19","1.02"
"2022-44",2022-10-31,2022-11-06,"Basilicata",17,40.63947052,15.80514834,"10","29","17249","1.68","19","17.04","10","4.51","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-44",2022-10-31,2022-11-06,"Sicily",19,38.11569725,13.3623567,"109","548","135992","4.03","90","14.2","126","8.22","215","2.62","117","3.61"
"2022-44",2022-10-31,2022-11-06,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-45",2022-11-07,2022-11-13,"Piedmont",1,45.0732745,7.680687483,"62","742","83976","8.84","79","16.72","113","9.84","405","8.57","145","7.07"
"2022-45",2022-11-07,2022-11-13,"Aosta Valley",2,45.73750286,7.320149366,"2","3","2832","1.06","0","0","0","0","1","0.5","2","2.64"
"2022-45",2022-11-07,2022-11-13,"Lombardy",3,45.46679409,9.190347404,"210","3042","282675","10.76","594","29.24","618","13.12","1525","9.84","305","5.06"
"2022-45",2022-11-07,2022-11-13,"AP Bolzano",21,46.49933453,11.35662422,"6","30","8731","3.44","4","5.93","9","5.47","17","3.64","0","0"
"2022-45",2022-11-07,2022-11-13,"AP Trento",22,46.06893511,11.12123097,"14","92","19345","4.76","20","34.97","12","5.82","52","4.4","8","1.64"
"2022-45",2022-11-07,2022-11-13,"Veneto",5,45.43490485,12.33845213,"44","280","61833","4.53","48","13.23","102","11.5","112","3.23","18","1.23"
"2022-45",2022-11-07,2022-11-13,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"21","109","27519","3.96","18","8.67","20","4.03","57","4.02","14","2.21"
"2022-45",2022-11-07,2022-11-13,"Liguria",7,44.41149315,8.9326992,"29","153","37076","4.13","11","13.51","20","8.34","102","4.57","20","1.74"
"2022-45",2022-11-07,2022-11-13,"Emilia-Romagna",8,44.49436681,11.3417208,"60","473","72648","6.51","96","18.79","115","8.72","218","5.56","44","2.91"
"2022-45",2022-11-07,2022-11-13,"Tuscany",9,43.76923077,11.25588885,"43","275","57907","4.75","61","21.49","59","8.16","114","3.42","41","2.82"
"2022-45",2022-11-07,2022-11-13,"Umbria",10,43.10675841,12.38824698,"12","134","12911","10.38","29","28.97","30","12.51","60","8.53","15","6.06"
"2022-45",2022-11-07,2022-11-13,"Marche",11,43.61675973,13.5188753,"39","301","44133","6.82","77","18.5","90","7.97","117","5.77","17","2.03"
"2022-45",2022-11-07,2022-11-13,"Lazio",12,41.89277044,12.48366722,"197","1273","261721","4.86","121","12.57","166","6.32","811","4.96","175","2.8"
"2022-45",2022-11-07,2022-11-13,"Abruzzo",13,42.35122196,13.39843823,"29","268","35059","7.64","84","27.74","74","11.09","88","4.7","22","3.32"
"2022-45",2022-11-07,2022-11-13,"Molise",14,41.55774754,14.65916051,"10","12","11818","1.02","0","0","0","0","8","1.01","4","1.31"
"2022-45",2022-11-07,2022-11-13,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-45",2022-11-07,2022-11-13,"Apulia",16,41.12559576,16.86736689,"58","324","68938","4.7","58","9.17","67","5.19","158","4.36","41","3.05"
"2022-45",2022-11-07,2022-11-13,"Basilicata",17,40.63947052,15.80514834,"10","39","17249","2.26","18","16.14","7","3.16","13","1.81","1","0.15"
"2022-45",2022-11-07,2022-11-13,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-45",2022-11-07,2022-11-13,"Sicily",19,38.11569725,13.3623567,"113","661","141067","4.69","88","16.49","118","8.79","324","3.67","131","3.85"
"2022-45",2022-11-07,2022-11-13,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-46",2022-11-14,2022-11-20,"Piedmont",1,45.0732745,7.680687483,"62","824","83086","9.92","105","23.91","133","12.64","466","9.93","120","5.65"
"2022-46",2022-11-14,2022-11-20,"Aosta Valley",2,45.73750286,7.320149366,"4","19","5449","3.49","10","28.9","5","6.02","4","1.23","0","0"
"2022-46",2022-11-14,2022-11-20,"Lombardy",3,45.46679409,9.190347404,"215","4212","293294","14.36","769","38.68","973","21.29","2085","12.67","385","6.09"
"2022-46",2022-11-14,2022-11-20,"AP Bolzano",21,46.49933453,11.35662422,"7","64","10310","6.21","19","28.19","21","12.76","22","3.73","2","0.96"
"2022-46",2022-11-14,2022-11-20,"AP Trento",22,46.06893511,11.12123097,"14","115","19232","5.98","19","33.22","25","11.95","66","5.61","5","1.04"
"2022-46",2022-11-14,2022-11-20,"Veneto",5,45.43490485,12.33845213,"73","1098","102231","10.74","265","35.49","391","21.63","392","7.2","50","2.25"
"2022-46",2022-11-14,2022-11-20,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"23","204","32069","6.36","37","20.72","40","8.17","105","5.99","22","2.8"
"2022-46",2022-11-14,2022-11-20,"Liguria",7,44.41149315,8.9326992,"26","218","33797","6.45","14","12.95","20","6.59","149","7.67","35","3.41"
"2022-46",2022-11-14,2022-11-20,"Emilia-Romagna",8,44.49436681,11.3417208,"70","1047","85577","12.23","218","35.1","302","18.89","449","9.82","78","4.42"
"2022-46",2022-11-14,2022-11-20,"Tuscany",9,43.76923077,11.25588885,"43","563","58307","9.66","109","38.39","156","21.55","243","7.19","55","3.81"
"2022-46",2022-11-14,2022-11-20,"Umbria",10,43.10675841,12.38824698,"13","168","14408","11.66","46","45.95","37","15.19","72","9.07","13","4.29"
"2022-46",2022-11-14,2022-11-20,"Marche",11,43.61675973,13.5188753,"44","540","49885","10.82","178","33.71","204","14.79","128","5.88","30","3.32"
"2022-46",2022-11-14,2022-11-20,"Lazio",12,41.89277044,12.48366722,"188","1529","249340","6.13","147","15.83","242","9.47","958","6.17","182","3.07"
"2022-46",2022-11-14,2022-11-20,"Abruzzo",13,42.35122196,13.39843823,"36","345","44723","7.71","76","30.76","91","14.79","135","5.19","43","4.26"
"2022-46",2022-11-14,2022-11-20,"Molise",14,41.55774754,14.65916051,"8","35","9709","3.6","8","19.18","12","12.62","11","1.7","4","2.13"
"2022-46",2022-11-14,2022-11-20,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-46",2022-11-14,2022-11-20,"Apulia",16,41.12559576,16.86736689,"73","511","96251","5.31","69","12.55","103","8.38","268","4.71","71","3.29"
"2022-46",2022-11-14,2022-11-20,"Basilicata",17,40.63947052,15.80514834,"10","32","17249","1.86","16","14.35","12","5.41","4","0.56","0","0"
"2022-46",2022-11-14,2022-11-20,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-46",2022-11-14,2022-11-20,"Sicily",19,38.11569725,13.3623567,"84","904","103412","8.74","158","26.06","258","18.25","389","6.52","99","4.21"
"2022-46",2022-11-14,2022-11-20,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-47",2022-11-21,2022-11-27,"Piedmont",1,45.0732745,7.680687483,"60","1164","82943","14.03","140","31.88","234","22.57","638","13.59","152","7.16"
"2022-47",2022-11-21,2022-11-27,"Aosta Valley",2,45.73750286,7.320149366,"3","25","3829","6.53","12","34.68","7","8.55","6","2.98","0","0"
"2022-47",2022-11-21,2022-11-27,"Lombardy",3,45.46679409,9.190347404,"222","5427","304850","17.8","1082","48.1","1394","27.76","2480","14.73","471","7.39"
"2022-47",2022-11-21,2022-11-27,"AP Bolzano",21,46.49933453,11.35662422,"5","123","7645","16.09","44","130.56","37","42.43","39","8.26","3","1.75"
"2022-47",2022-11-21,2022-11-27,"AP Trento",22,46.06893511,11.12123097,"15","202","20590","9.81","11","19.23","44","20.49","130","10.15","17","3.36"
"2022-47",2022-11-21,2022-11-27,"Veneto",5,45.43490485,12.33845213,"86","1980","120541","16.43","406","45.72","789","37.15","675","10.5","110","4.21"
"2022-47",2022-11-21,2022-11-27,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"21","232","28909","8.03","54","30.24","38","7.8","121","7.85","19","2.77"
"2022-47",2022-11-21,2022-11-27,"Liguria",7,44.41149315,8.9326992,"23","327","30143","10.85","49","60.2","62","27.56","178","9.91","38","4.17"
"2022-47",2022-11-21,2022-11-27,"Emilia-Romagna",8,44.49436681,11.3417208,"75","1816","89720","20.24","374","53.77","667","38.69","678","14.36","97","5.3"
"2022-47",2022-11-21,2022-11-27,"Tuscany",9,43.76923077,11.25588885,"45","778","58959","13.2","144","48.71","194","25.53","335","9.91","105","7.2"
"2022-47",2022-11-21,2022-11-27,"Umbria",10,43.10675841,12.38824698,"14","308","15705","19.61","89","71.09","80","25.97","121","13.92","18","6.71"
"2022-47",2022-11-21,2022-11-27,"Marche",11,43.61675973,13.5188753,"43","788","50585","15.58","219","41.93","332","23.83","202","9.08","35","3.82"
"2022-47",2022-11-21,2022-11-27,"Lazio",12,41.89277044,12.48366722,"192","2028","254043","7.98","256","26.59","397","15.16","1155","7.31","220","3.65"
"2022-47",2022-11-21,2022-11-27,"Abruzzo",13,42.35122196,13.39843823,"35","516","41667","12.38","107","45.38","153","24.33","192","8.06","64","6.96"
"2022-47",2022-11-21,2022-11-27,"Molise",14,41.55774754,14.65916051,"13","36","15520","2.32","0","0","7","6.89","21","2.02","8","2.16"
"2022-47",2022-11-21,2022-11-27,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-47",2022-11-21,2022-11-27,"Apulia",16,41.12559576,16.86736689,"71","704","91647","7.68","109","20.39","164","13.82","343","6.38","88","4.26"
"2022-47",2022-11-21,2022-11-27,"Basilicata",17,40.63947052,15.80514834,"10","44","17249","2.55","15","13.45","15","6.76","11","1.53","3","0.45"
"2022-47",2022-11-21,2022-11-27,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-47",2022-11-21,2022-11-27,"Sicily",19,38.11569725,13.3623567,"96","1020","118337","8.62","172","32.65","296","22.48","451","6.31","101","3.55"
"2022-47",2022-11-21,2022-11-27,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-48",2022-11-28,2022-12-04,"Piedmont",1,45.0732745,7.680687483,"66","1611","90771","17.75","179","40.41","348","31.23","856","16.33","228","10"
"2022-48",2022-11-28,2022-12-04,"Aosta Valley",2,45.73750286,7.320149366,"4","45","5449","8.26","14","40.46","11","13.24","18","5.52","2","1.98"
"2022-48",2022-11-28,2022-12-04,"Lombardy",3,45.46679409,9.190347404,"213","6123","296084","20.68","1188","61.52","1467","32.3","2936","17.58","532","8.27"
"2022-48",2022-11-28,2022-12-04,"AP Bolzano",21,46.49933453,11.35662422,"4","57","6462","8.82","0","0","1","11.76","49","10.51","7","4.08"
"2022-48",2022-11-28,2022-12-04,"AP Trento",22,46.06893511,11.12123097,"13","234","17798","13.15","24","41.96","47","23.05","144","13.29","19","4.37"
"2022-48",2022-11-28,2022-12-04,"Veneto",5,45.43490485,12.33845213,"88","2299","120772","19.04","535","52.48","743","30.51","899","14.75","122","4.83"
"2022-48",2022-11-28,2022-12-04,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"24","513","31978","16.04","98","47.21","101","20.1","254","14.8","60","7.78"
"2022-48",2022-11-28,2022-12-04,"Liguria",7,44.41149315,8.9326992,"28","458","36841","12.43","41","30.44","89","23.03","262","12.41","66","6.28"
"2022-48",2022-11-28,2022-12-04,"Emilia-Romagna",8,44.49436681,11.3417208,"75","2029","92295","21.98","367","58.99","638","40.52","901","17.84","123","6.2"
"2022-48",2022-11-28,2022-12-04,"Tuscany",9,43.76923077,11.25588885,"43","988","57000","17.33","157","64.32","241","39.02","459","13.7","131","8.8"
"2022-48",2022-11-28,2022-12-04,"Umbria",10,43.10675841,12.38824698,"12","249","13034","19.1","92","73.48","81","26.65","63","9.84","13","5.55"
"2022-48",2022-11-28,2022-12-04,"Marche",11,43.61675973,13.5188753,"42","1001","50768","19.72","252","53.4","371","29.39","326","13.52","52","5.58"
"2022-48",2022-11-28,2022-12-04,"Lazio",12,41.89277044,12.48366722,"185","2704","243821","11.09","351","37.69","579","22.86","1470","9.74","304","5.22"
"2022-48",2022-11-28,2022-12-04,"Abruzzo",13,42.35122196,13.39843823,"34","831","40891","20.32","142","56.02","226","36.52","374","16.15","89","9.88"
"2022-48",2022-11-28,2022-12-04,"Molise",14,41.55774754,14.65916051,"14","68","15965","4.26","7","16.79","18","17.56","31","2.91","12","3.1"
"2022-48",2022-11-28,2022-12-04,"Campania",15,40.83956555,14.25084984,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-48",2022-11-28,2022-12-04,"Apulia",16,41.12559576,16.86736689,"64","847","84586","10.01","131","30.23","208","19.81","448","8.86","60","3.13"
"2022-48",2022-11-28,2022-12-04,"Basilicata",17,40.63947052,15.80514834,"10","45","17249","2.61","17","15.25","17","7.66","7","0.98","4","0.59"
"2022-48",2022-11-28,2022-12-04,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-48",2022-11-28,2022-12-04,"Sicily",19,38.11569725,13.3623567,"110","1685","138510","12.17","266","50.63","405","30.65","806","9.33","208","6.17"
"2022-48",2022-11-28,2022-12-04,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-49",2022-12-05,2022-12-11,"Piedmont",1,45.0732745,7.680687483,"58","1517","76582","19.81","187","46.89","323","34.6","798","18.23","209","10.73"
"2022-49",2022-12-05,2022-12-11,"Aosta Valley",2,45.73750286,7.320149366,"4","74","5449","13.58","32","92.49","30","36.1","12","3.68","0","0"
"2022-49",2022-12-05,2022-12-11,"Lombardy",3,45.46679409,9.190347404,"217","5280","304706","17.33","906","48.92","1016","22.83","2808","16.12","550","8.15"
"2022-49",2022-12-05,2022-12-11,"AP Bolzano",21,46.49933453,11.35662422,"9","341","13087","26.06","78","79.75","91","39.58","160","22.03","12","4.71"
"2022-49",2022-12-05,2022-12-11,"AP Trento",22,46.06893511,11.12123097,"12","236","17582","13.42","31","54.2","61","30.32","120","11.3","24","5.49"
"2022-49",2022-12-05,2022-12-11,"Veneto",5,45.43490485,12.33845213,"91","1807","127234","14.2","424","43","506","21.28","735","11.14","142","5.14"
"2022-49",2022-12-05,2022-12-11,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"24","375","31839","11.78","63","30.35","120","23.65","169","9.97","23","2.97"
"2022-49",2022-12-05,2022-12-11,"Liguria",7,44.41149315,8.9326992,"32","644","43041","14.96","46","56.51","107","45.84","383","14.36","108","8.17"
"2022-49",2022-12-05,2022-12-11,"Emilia-Romagna",8,44.49436681,11.3417208,"86","1956","108681","18","394","54.43","563","31.32","860","14.65","139","5.62"
"2022-49",2022-12-05,2022-12-11,"Tuscany",9,43.76923077,11.25588885,"39","996","51060","19.51","217","76.44","253","35.37","436","15.13","90","7.34"
"2022-49",2022-12-05,2022-12-11,"Umbria",10,43.10675841,12.38824698,"16","300","19241","15.59","84","67.09","73","22.47","123","11.5","20","4.95"
"2022-49",2022-12-05,2022-12-11,"Marche",11,43.61675973,13.5188753,"44","1126","53051","21.22","254","57.32","426","35.07","398","15.41","48","4.51"
"2022-49",2022-12-05,2022-12-11,"Lazio",12,41.89277044,12.48366722,"192","3063","255326","12","438","45.5","634","24.23","1643","10.36","348","5.72"
"2022-49",2022-12-05,2022-12-11,"Abruzzo",13,42.35122196,13.39843823,"35","938","41540","22.58","196","70.61","323","48.03","337","14.67","82","9.05"
"2022-49",2022-12-05,2022-12-11,"Molise",14,41.55774754,14.65916051,"12","69","13898","4.96","11","26.38","19","18.96","36","3.9","3","0.92"
"2022-49",2022-12-05,2022-12-11,"Campania",15,40.83956555,14.25084984,"26","590","34051","17.33","165","48.02","161","23.48","210","11.72","54","9.24"
"2022-49",2022-12-05,2022-12-11,"Apulia",16,41.12559576,16.86736689,"73","1093","91944","11.89","232","39.1","292","23.46","467","8.71","102","5.12"
"2022-49",2022-12-05,2022-12-11,"Basilicata",17,40.63947052,15.80514834,"10","70","17249","4.06","22","19.73","16","7.21","20","2.79","12","1.78"
"2022-49",2022-12-05,2022-12-11,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-49",2022-12-05,2022-12-11,"Sicily",19,38.11569725,13.3623567,"110","1895","135355","14","343","65.99","489","35.02","867","10.33","196","6.08"
"2022-49",2022-12-05,2022-12-11,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-50",2022-12-12,2022-12-18,"Piedmont",1,45.0732745,7.680687483,"62","1793","84258","21.28","226","47.82","327","28.9","987","20.93","253","12.02"
"2022-50",2022-12-12,2022-12-18,"Aosta Valley",2,45.73750286,7.320149366,"2","39","2729","14.29","0","0","3","38.96","32","15.98","4","6.16"
"2022-50",2022-12-12,2022-12-18,"Lombardy",3,45.46679409,9.190347404,"204","4626","285630","16.2","882","44.68","878","19.57","2383","15.00","483","7.77"
"2022-50",2022-12-12,2022-12-18,"AP Bolzano",21,46.49933453,11.35662422,"8","164","11904","13.78","17","26.52","17","11.24","121","16.79","9","3.53"
"2022-50",2022-12-12,2022-12-18,"AP Trento",22,46.06893511,11.12123097,"11","215","16035","13.41","26","45.45","35","17.61","132","13.71","22","5.72"
"2022-50",2022-12-12,2022-12-18,"Veneto",5,45.43490485,12.33845213,"86","1592","120032","13.26","392","39.9","405","17.28","684","11.19","111","4.33"
"2022-50",2022-12-12,2022-12-18,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"18","215","23830","9.02","46","22.16","57","11.48","100","8.67","12","2.28"
"2022-50",2022-12-12,2022-12-18,"Liguria",7,44.41149315,8.9326992,"30","604","39212","15.4","68","62.96","114","36.8","360","15.53","62","5.23"
"2022-50",2022-12-12,2022-12-18,"Emilia-Romagna",8,44.49436681,11.3417208,"78","1507","100047","15.06","266","41.48","346","21.33","787","14.43","108","4.72"
"2022-50",2022-12-12,2022-12-18,"Tuscany",9,43.76923077,11.25588885,"41","1123","53606","20.95","244","80.45","294","37.15","480","16.19","105","8.07"
"2022-50",2022-12-12,2022-12-18,"Umbria",10,43.10675841,12.38824698,"15","325","17115","18.99","86","68.69","93","29.26","118","12.85","28","7.99"
"2022-50",2022-12-12,2022-12-18,"Marche",11,43.61675973,13.5188753,"37","961","43935","21.87","218","66.42","255","29.45","403","17.7","85","9.22"
"2022-50",2022-12-12,2022-12-18,"Lazio",12,41.89277044,12.48366722,"176","2858","231548","12.34","428","45.56","573","22.81","1561","10.95","296","5.44"
"2022-50",2022-12-12,2022-12-18,"Abruzzo",13,42.35122196,13.39843823,"34","984","40116","24.53","190","54.43","295","39.72","402","18.99","97","12.09"
"2022-50",2022-12-12,2022-12-18,"Molise",14,41.55774754,14.65916051,"14","102","15965","6.39","12","28.78","16","15.61","61","5.73","13","3.36"
"2022-50",2022-12-12,2022-12-18,"Campania",15,40.83956555,14.25084984,"32","616","39792","15.48","154","33.71","184","20.1","216","11.24","62","9.05"
"2022-50",2022-12-12,2022-12-18,"Apulia",16,41.12559576,16.86736689,"78","1134","101872","11.13","185","33.72","225","18.13","588","9.66","136","5.88"
"2022-50",2022-12-12,2022-12-18,"Basilicata",17,40.63947052,15.80514834,"10","100","17249","5.8","27","24.22","33","14.88","26","3.62","14","2.08"
"2022-50",2022-12-12,2022-12-18,"Calabria",18,38.90597598,16.59440194,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-50",2022-12-12,2022-12-18,"Sicily",19,38.11569725,13.3623567,"109","1835","134960","13.6","257","53.34","345","26.82","972","11.55","261","7.87"
"2022-50",2022-12-12,2022-12-18,"Sardinia",20,39.21531192,9.110616306,"0","0","0","0","0","0","0","0","0","0","0","0"
"2022-51",2022-12-19,2022-12-25,"Piedmont",1,45.0732745,7.680687483,"45","866","58716","14.75","81","23.77","109","14.36","534","16.37","142","9.41"
"2022-51",2022-12-19,2022-12-25,"Aosta Valley",2,45.73750286,7.320149366,"4","161","5449","29.55","62","179.19","36","43.32","54","16.56","9","8.89"
"2022-51",2022-12-19,2022-12-25,"Lombardy",3,45.46679409,9.190347404,"183","3578","256627","13.94","544","38.24","508","14.25","2066","13.93","460","7.87"
"2022-51",2022-12-19,2022-12-25,"AP Bolzano",21,46.49933453,11.35662422,"5","81","7811","10.37","5","14.84","6","6.65","60","12.36","10","5.83"
"2022-51",2022-12-19,2022-12-25,"AP Trento",22,46.06893511,11.12123097,"9","115","12903","8.91","13","22.73","29","15.07","65","8.73","8","2.7"
"2022-51",2022-12-19,2022-12-25,"Veneto",5,45.43490485,12.33845213,"74","1078","106175","10.15","208","32.35","209","13.37","555","9.38","106","4.25"
"2022-51",2022-12-19,2022-12-25,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,"17","233","22608","10.31","45","32.19","40","11.8","127","10.26","21","3.86"
"2022-51",2022-12-19,2022-12-25,"Liguria",7,44.41149315,8.9326992,"23","378","30105","12.56","41","37.93","76","25.43","222","12.81","39","4.48"
"2022-51",2022-12-19,2022-12-25,"Emilia-Romagna",8,44.49436681,11.3417208,"68","1170","87776","13.33","182","35.68","212","15.66","665","13.64","111","5.44"
"2022-51",2022-12-19,2022-12-25,"Tuscany",9,43.76923077,11.25588885,"38","742","50533","14.68","107","53.63","120","23.72","417","13.6","98","7.65"
"2022-51",2022-12-19,2022-12-25,"Umbria",10,43.10675841,12.38824698,"16","252","17855","14.11","58","46.33","64","19.77","95","10","35","9.05"
"2022-51",2022-12-19,2022-12-25,"Marche",11,43.61675973,13.5188753,"33","721","36393","19.81","199","51.47","251","24.22","231","14.71","40","6.19"
"2022-51",2022-12-19,2022-12-25,"Lazio",12,41.89277044,12.48366722,"181","2708","240158","11.28","309","33.96","469","18.91","1612","10.79","318","5.6"
