"Region","Age","Vaccination coverage"
"Piedmont","<5","1.5"
"Aosta Valley","<5","0.7"
"Lombardy","<5","2.9"
"AP Bolzano","<5","1.2"
"AP Trento","<5","1.3"
"Veneto","<5","2.4"
"Friuli-Venezia Giulia","<5","0.7"
"Liguria","<5","8.2"
"Emilia-Romagna","<5","2.5"
"Tuscany","<5","8.6"
"Umbria","<5","0.9"
"Marche","<5","4.6"
"Lazio","<5","2.1"
"Abruzzo","<5","4.3"
"Molise","<5","5.2"
"Campania","<5","4.9"
"Apulia","<5","15"
"Basilicata","<5","3.1"
"Calabria","<5","2.9"
"Sicily","<5",NA
"Sardinia","<5","4.2"
"Italy","<5","3.9"
"Piedmont","5_14","1.7"
"Aosta Valley","5_14","0.3"
"Lombardy","5_14","2.8"
"AP Bolzano","5_14","1"
"AP Trento","5_14","1.5"
"Veneto","5_14","2.8"
"Friuli-Venezia Giulia","5_14","1.1"
"Liguria","5_14","2.3"
"Emilia-Romagna","5_14","4"
"Tuscany","5_14","6.4"
"Umbria","5_14","1.3"
"Marche","5_14","2.8"
"Lazio","5_14","3.2"
"Abruzzo","5_14","4.5"
"Molise","5_14","4.9"
"Campania","5_14","5"
"Apulia","5_14","10.7"
"Basilicata","5_14","2.7"
"Calabria","5_14","2.4"
"Sicily","5_14",NA
"Sardinia","5_14","3.6"
"Italy","5_14","3.2"
"Piedmont","15_24","1.3"
"Aosta Valley","15_24","1"
"Lombardy","15_24","1.8"
"AP Bolzano","15_24","1.3"
"AP Trento","15_24","1.1"
"Veneto","15_24","2.3"
"Friuli-Venezia Giulia","15_24","1"
"Liguria","15_24","3.7"
"Emilia-Romagna","15_24","3.6"
"Tuscany","15_24","3.2"
"Umbria","15_24","1.2"
"Marche","15_24","1.7"
"Lazio","15_24","2.6"
"Abruzzo","15_24","2"
"Molise","15_24","3.8"
"Campania","15_24","3.4"
"Apulia","15_24","3.7"
"Basilicata","15_24","1.8"
"Calabria","15_24","2"
"Sicily","15_24",NA
"Sardinia","15_24","3.5"
"Italy","15_24","2.3"
"Piedmont","25_64","6.3"
"Aosta Valley","25_64","4.7"
"Lombardy","25_64","4.5"
"AP Bolzano","25_64","4.2"
"AP Trento","25_64","4.6"
"Veneto","25_64","7.4"
"Friuli-Venezia Giulia","25_64","5.3"
"Liguria","25_64","7.8"
"Emilia-Romagna","25_64","10.5"
"Tuscany","25_64","9"
"Umbria","25_64","6.8"
"Marche","25_64","7.9"
"Lazio","25_64","9.8"
"Abruzzo","25_64","7.4"
"Molise","25_64","11.3"
"Campania","25_64","10.2"
"Apulia","25_64","11"
"Basilicata","25_64","10.8"
"Calabria","25_64","7"
"Sicily","25_64",NA
"Sardinia","25_64","6.7"
"Italy","25_64","7.7"
"Piedmont",">= 65","58.9"
"Aosta Valley",">= 65","61"
"Lombardy",">= 65","58.6"
"AP Bolzano",">= 65","50.5"
"AP Trento",">= 65","64.6"
"Veneto",">= 65","70.3"
"Friuli-Venezia Giulia",">= 65","64.4"
"Liguria",">= 65","65.6"
"Emilia-Romagna",">= 65","73.6"
"Tuscany",">= 65","68.5"
"Umbria",">= 65","70.5"
"Marche",">= 65","65.4"
"Lazio",">= 65","68"
"Abruzzo",">= 65","72.8"
"Molise",">= 65","73.3"
"Campania",">= 65","68.2"
"Apulia",">= 65","68.7"
"Basilicata",">= 65","70.7"
"Calabria",">= 65","65.6"
"Sicily",">= 65",NA
"Sardinia",">= 65","39.8"
"Italy",">= 65","64.9"
"Piedmont","Total","17.2"
"Aosta Valley","Total","15.3"
"Lombardy","Total","14.7"
"AP Bolzano","Total","11.2"
"AP Trento","Total","15.1"
"Veneto","Total","18.5"
"Friuli-Venezia Giulia","Total","17.9"
"Liguria","Total","22.5"
"Emilia-Romagna","Total","23.4"
"Tuscany","Total","22.3"
"Umbria","Total","20.5"
"Marche","Total","19.7"
"Lazio","Total","19.4"
"Abruzzo","Total","20.4"
"Molise","Total","23.3"
"Campania","Total","17.4"
"Apulia","Total","21"
"Basilicata","Total","20.6"
"Calabria","Total","16.5"
"Sicily","Total",NA
"Sardinia","Total","11.9"
"Italy","Total","18.4"
