"Region","Age","Vaccination coverage"
"Emilia-Romagna","45_64",NA
"Tuscany","45_64",NA
"Umbria","45_64",NA
"Marche","45_64",NA
"Lazio","45_64",NA
"Abruzzo","45_64",NA
"Molise","45_64",NA
"Campania","45_64",NA
"Apulia","45_64",NA
"Basilicata","45_64",NA
"Calabria","45_64",NA
"Sicily","45_64",NA
"Sardinia","45_64",NA
"Italy","45_64",NA
"Piedmont",">= 65",NA
"Aosta Valley",">= 65",NA
"Lombardy",">= 65",NA
"AP Bolzano",">= 65",NA
"AP Trento",">= 65",NA
"Veneto",">= 65",NA
"Friuli-Venezia Giulia",">= 65",NA
"Liguria",">= 65",NA
"Emilia-Romagna",">= 65",NA
"Tuscany",">= 65",NA
"Umbria",">= 65",NA
"Marche",">= 65",NA
"Lazio",">= 65",NA
"Abruzzo",">= 65",NA
"Molise",">= 65",NA
"Campania",">= 65",NA
"Apulia",">= 65",NA
"Basilicata",">= 65",NA
"Calabria",">= 65",NA
"Sicily",">= 65",NA
"Sardinia",">= 65",NA
"Italy",">= 65",NA
"Piedmont","Total",NA
"Aosta Valley","Total",NA
"Lombardy","Total",NA
"AP Bolzano","Total",NA
"AP Trento","Total",NA
"Veneto","Total",NA
"Friuli-Venezia Giulia","Total",NA
"Liguria","Total",NA
"Emilia-Romagna","Total",NA
"Tuscany","Total",NA
"Umbria","Total",NA
"Marche","Total",NA
"Lazio","Total",NA
"Abruzzo","Total",NA
"Molise","Total",NA
"Campania","Total",NA
"Apulia","Total",NA
"Basilicata","Total",NA
"Calabria","Total",NA
"Sicily","Total",NA
"Sardinia","Total",NA
"Italy","Total",NA
