"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2016-42",2016-10-17,2016-10-23,914,711,1195202,"0.59",71896,98,"1.36",157121,85,"0.54",700370,447,"0.64",265815,81,"0.3"
"2016-43",2016-10-24,2016-10-30,978,910,1278606,"0.71",76687,121,"1.58",166840,123,"0.74",748673,553,"0.74",286406,113,"0.39"
"2016-44",2016-10-31,2016-11-06,1020,1084,1337438,"0.81",77899,136,"1.75",173109,131,"0.76",785341,681,"0.87",301089,136,"0.45"
"2016-45",2016-11-07,2016-11-13,1043,1340,1368032,"0.98",79822,196,"2.46",177558,187,"1.05",802881,804,"1",307771,153,"0.5"
"2016-46",2016-11-14,2016-11-20,1051,1726,1378292,"1.25",81633,236,"2.89",180701,279,"1.54",806569,1034,"1.28",309389,177,"0.57"
"2016-47",2016-11-21,2016-11-27,1049,2178,1376418,"1.58",80659,340,"4.22",178044,366,"2.06",808009,1240,"1.53",309706,232,"0.75"
"2016-48",2016-11-28,2016-12-04,1040,2727,1362363,"2",79779,438,"5.49",176811,519,"2.94",798858,1493,"1.87",306915,277,"0.9"
"2016-49",2016-12-05,2016-12-11,1044,3447,1369108,"2.52",80440,495,"6.15",178104,696,"3.91",802203,1869,"2.33",308361,387,"1.26"
"2016-50",2016-12-12,2016-12-18,1075,6080,1410698,"4.31",81742,810,"9.91",180747,1173,"6.49",830461,3466,"4.17",317748,631,"1.99"
"2016-51",2016-12-19,2016-12-25,1112,9781,1351057,"7.24",80372,1546,"19.24",179182,2379,"13.28",788793,4842,"6.14",302710,1014,"3.35"
"2016-52",2016-12-26,2017-01-01,1047,13051,1364195,"9.57",79284,1974,"24.9",174561,2304,"13.2",806124,6979,"8.66",304226,1794,"5.9"
"2017-01",2017-01-02,2017-01-08,1027,12178,1340131,"9.09",79974,1377,"17.22",178835,1755,"9.81",781054,7148,"9.15",300268,1898,"6.32"
"2017-02",2017-01-09,2017-01-15,1050,11961,1374557,"8.7",82222,1287,"15.65",183604,1733,"9.44",800289,7096,"8.87",308442,1845,"5.98"
"2017-03",2017-01-16,2017-01-22,1051,10486,1377649,"7.61",82504,1527,"18.51",183875,2060,"11.2",802445,5591,"6.97",308825,1308,"4.24"
"2017-04",2017-01-23,2017-01-29,1036,8996,1360334,"6.61",81574,1432,"17.55",180632,1912,"10.59",794397,4650,"5.85",303731,1002,"3.3"
"2017-05",2017-01-30,2017-02-05,1036,7649,1357172,"5.64",82045,1248,"15.21",183436,1597,"8.71",788537,3960,"5.02",303154,844,"2.78"
"2017-06",2017-02-06,2017-02-12,1015,5652,1328704,"4.25",79047,956,"12.09",175071,1240,"7.08",776159,2869,"3.7",298427,587,"1.97"
"2017-07",2017-02-13,2017-02-19,1005,4203,1315730,"3.19",77779,734,"9.44",174704,927,"5.31",768049,2139,"2.78",295198,403,"1.37"
"2017-08",2017-02-20,2017-02-26,994,3437,1303076,"2.64",75309,517,"6.87",168393,665,"3.95",765450,1883,"2.46",293924,372,"1.27"
"2017-09",2017-02-27,2017-03-05,974,2785,1274081,"2.19",75392,434,"5.76",167593,526,"3.14",743446,1498,"2.01",287650,327,"1.14"
"2017-10",2017-03-06,2017-03-12,964,2219,1261984,"1.76",75585,333,"4.41",166931,426,"2.55",735784,1238,"1.68",283684,222,"0.78"
"2017-11",2017-03-13,2017-03-19,951,1848,1246411,"1.48",73462,295,"4.02",162824,315,"1.93",729207,1040,"1.43",280918,198,"0.7"
"2017-12",2017-03-20,2017-03-26,936,1525,1226681,"1.24",71395,248,"3.47",160521,244,"1.52",718223,857,"1.19",276542,176,"0.64"
"2017-13",2017-03-27,2017-04-02,887,1214,1166026,"1.04",66544,190,"2.86",148160,210,"1.42",685859,693,"1.01",265463,121,"0.46"
"2017-14",2017-04-03,2017-04-09,878,1007,1152973,"0.87",65969,139,"2.11",148060,176,"1.19",677044,579,"0.86",261900,113,"0.43"
"2017-15",2017-04-10,2017-04-16,823,747,1082410,"0.69",58726,123,"2.09",132980,128,"0.96",642770,412,"0.64",247934,84,"0.34"
"2017-16",2017-04-17,2017-04-23,743,566,977887,"0.58",54214,86,"1.59",121389,83,"0.68",580112,323,"0.56",222172,74,"0.33"
"2017-17",2017-04-24,2017-04-30,531,392,702654,"0.56",35355,49,"1.39",81795,46,"0.56",419677,238,"0.57",165827,59,"0.36"
