"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2012-42",2022-10-15,2022-10-21,909,397,1178056,"0.34",81821,76,"0.93",155899,46,"0.3",699519,229,"0.33",240817,46,"0.19"
"2012-43",2022-10-22,2022-10-28,981,588,1274569,"0.46",86180,120,"1.39",167842,68,"0.41",756187,336,"0.44",264360,64,"0.24"
"2012-44",2022-10-29,2022-11-04,994,665,1293685,"0.51",86195,128,"1.49",168184,87,"0.52",771051,368,"0.48",268255,82,"0.31"
"2012-45",2022-11-05,2022-11-11,1022,920,1328625,"0.69",90279,176,"1.95",175264,126,"0.72",787551,510,"0.65",275531,108,"0.39"
"2012-46",2022-11-12,2022-11-18,1027,1026,1334317,"0.77",90571,202,"2.23",174872,143,"0.82",791779,571,"0.72",277095,110,"0.4"
"2012-47",2022-11-19,2022-11-25,1023,1181,1331392,"0.89",90142,236,"2.62",174063,176,"1.01",790019,662,"0.84",277168,107,"0.39"
"2012-48",2022-11-26,2022-12-02,1047,1460,1360022,"1.07",93791,265,"2.83",180130,242,"1.34",806008,818,"1.01",280093,135,"0.48"
"2012-49",2022-12-03,2022-12-09,1044,1784,1359398,"1.31",90933,339,"3.73",177231,292,"1.65",809184,998,"1.23",282050,155,"0.55"
"2012-50",2022-12-10,2022-12-16,1053,2290,1367740,"1.67",92872,441,"4.75",180000,438,"2.43",811247,1226,"1.51",283621,185,"0.65"
"2012-51",2022-12-17,2022-12-23,1010,2940,1314336,"2.24",88881,634,"7.13",172340,638,"3.7",781046,1425,"1.82",272069,243,"0.89"
"2012-52",2022-12-24,2022-12-30,991,3302,1288749,"2.56",87298,613,"7.02",169184,695,"4.11",766216,1670,"2.18",266051,324,"1.22"
"2013-01",2022-12-31,2023-01-06,1037,4751,1348598,"3.52",90570,722,"7.97",176744,814,"4.61",802694,2734,"3.41",278590,481,"1.73"
"2013-02",2023-01-07,2023-01-13,1062,7165,1382554,"5.18",92948,1021,"10.98",178078,1297,"7.28",824212,4183,"5.08",287316,664,"2.31"
"2013-03",2023-01-14,2023-01-20,1056,9113,1372457,"6.64",92087,1673,"18.17",178706,2285,"12.79",816840,4489,"5.5",284824,666,"2.34"
"2013-04",2023-01-21,2023-01-27,1049,11237,1362074,"8.25",91706,2097,"22.87",177893,3181,"17.88",810347,5248,"6.48",282128,711,"2.52"
"2013-05",2023-01-28,2023-02-03,1050,13062,1366270,"9.56",92104,2387,"25.92",177992,3930,"22.08",813242,5925,"7.29",282932,820,"2.9"
"2013-06",2023-02-04,2023-02-10,1039,13472,1350138,"9.98",93550,2438,"26.06",180309,3936,"21.83",798594,6284,"7.87",277685,814,"2.93"
"2013-07",2023-02-11,2023-02-17,1026,12975,1335564,"9.71",89480,2098,"23.45",173317,3500,"20.19",794785,6531,"8.22",277982,846,"3.04"
"2013-08",2023-02-18,2023-02-24,1035,12423,1346390,"9.23",92272,2046,"22.17",178583,3165,"17.72",797451,6381,"8",278084,831,"2.99"
"2013-09",2023-02-25,2023-03-03,1034,10280,1341570,"7.66",93388,1722,"18.44",179482,2529,"14.09",792187,5344,"6.75",276513,685,"2.48"
"2013-10",2023-03-04,2023-03-10,1008,7734,1309596,"5.91",89558,1252,"13.98",173391,1785,"10.29",775590,4126,"5.32",271057,571,"2.11"
"2013-11",2023-03-11,2023-03-17,983,5469,1277946,"4.28",86297,761,"8.82",167419,1171,"6.99",758713,3113,"4.1",265517,424,"1.6"
"2013-12",2023-03-18,2023-03-24,955,3938,1237031,"3.18",86869,586,"6.75",167966,848,"5.05",726596,2209,"3.04",255600,295,"1.15"
"2013-13",2023-03-25,2023-03-31,909,2575,1183542,"2.18",78773,394,"5",154966,527,"3.4",702813,1466,"2.09",246990,188,"0.76"
"2013-14",2023-04-01,2023-04-07,877,1763,1138960,"1.55",78310,244,"3.12",152982,329,"2.15",671862,1040,"1.55",235806,150,"0.64"
"2013-15",2023-04-08,2023-04-14,833,1239,1083715,"1.14",71733,191,"2.66",141754,220,"1.55",643547,709,"1.1",226681,119,"0.52"
"2013-16",2023-04-15,2023-04-21,664,740,954717,"0.78",60315,124,"2.06",120129,132,"1.1",571912,409,"0.72",202361,75,"0.37"
"2013-17",2023-04-22,2023-04-28,588,398,774180,"0.51",43737,69,"1.58",92186,83,"0.9",468915,208,"0.44",169342,38,"0.22"
