"year","start_date","end_date","influenza_viruses","number_samples","number_detections_influenza_viruses"
"2014-11",2014-03-10,2014-03-16,"A(H1N1) pdm09",179,26
"2014-11",2014-03-10,2014-03-16,"FLU B",179,2
"2014-12",2014-03-17,2014-03-23,"FLU A",132,32
"2014-12",2014-03-17,2014-03-23,"A",132,3
"2014-12",2014-03-17,2014-03-23,"A(H3N2)",132,18
"2014-12",2014-03-17,2014-03-23,"A(H1N1) pdm09",132,11
"2014-12",2014-03-17,2014-03-23,"FLU B",132,0
"2014-13",2014-03-24,2014-03-30,"FLU A",130,28
"2014-13",2014-03-24,2014-03-30,"A",130,3
"2014-13",2014-03-24,2014-03-30,"A(H3N2)",130,13
"2014-13",2014-03-24,2014-03-30,"A(H1N1) pdm09",130,12
"2014-13",2014-03-24,2014-03-30,"FLU B",130,0
"2014-14",2014-03-31,2014-04-06,"FLU A",81,14
"2014-14",2014-03-31,2014-04-06,"A",81,3
"2014-14",2014-03-31,2014-04-06,"A(H3N2)",81,6
"2014-14",2014-03-31,2014-04-06,"A(H1N1) pdm09",81,5
"2014-14",2014-03-31,2014-04-06,"FLU B",81,0
"2014-15",2014-04-07,2014-04-13,"FLU A",77,3
"2014-15",2014-04-07,2014-04-13,"A",77,0
"2014-15",2014-04-07,2014-04-13,"A(H3N2)",77,1
"2014-15",2014-04-07,2014-04-13,"A(H1N1) pdm09",77,2
"2014-15",2014-04-07,2014-04-13,"FLU B",77,0
"2014-16",2014-04-14,2014-04-20,"FLU A",52,5
"2014-16",2004-04-14,2004-04-20,"A",52,1
"2014-16",2004-04-14,2004-04-20,"A(H3N2)",52,2
"2014-16",2004-04-14,2004-04-20,"A(H1N1) pdm09",52,2
"2014-16",2004-04-14,2004-04-20,"FLU B",52,0
"2014-17",2004-04-21,2004-04-27,"FLU A",48,0
"2014-17",2014-04-21,2014-04-27,"A",48,0
"2014-17",2014-04-21,2014-04-27,"A(H3N2)",48,0
"2014-17",2014-04-21,2014-04-27,"A(H1N1) pdm09",48,0
"2014-17",2014-04-21,2014-04-27,"FLU B",48,0
