"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.3"
"Aosta Valley","6-23m","0.2"
"Lombardy","6-23m","0.5"
"AP Bolzano","6-23m","0.5"
"AP Trento","6-23m","2.2"
"Veneto","6-23m","1.1"
"Friuli-Venezia Giulia","6-23m","0.3"
"Liguria","6-23m","1"
"Emilia-Romagna","6-23m","1.2"
"Tuscany","6-23m","4.8"
"Umbria","6-23m","0.1"
"Marche","6-23m","0.6"
"Lazio","6-23m","0.5"
"Abruzzo","6-23m","0.3"
"Molise","6-23m","0.2"
"Campania","6-23m","2.7"
"Apulia","6-23m","4.2"
"Basilicata","6-23m","0.5"
"Calabria","6-23m","0.8"
"Sicily","6-23m","1"
"Sardinia","6-23m","1.5"
"Italy","6-23m","1.4"
"Piedmont","2-4y","0.6"
"Aosta Valley","2-4y","0.6"
"Lombardy","2-4y","1.1"
"AP Bolzano","2-4y","0.5"
"AP Trento","2-4y","2.1"
"Veneto","2-4y","1.8"
"Friuli-Venezia Giulia","2-4y","0.6"
"Liguria","2-4y","2"
"Emilia-Romagna","2-4y","1.8"
"Tuscany","2-4y","8.6"
"Umbria","2-4y","0.4"
"Marche","2-4y","1.1"
"Lazio","2-4y","1.1"
"Abruzzo","2-4y","0.8"
"Molise","2-4y","0.4"
"Campania","2-4y","4.1"
"Apulia","2-4y","8.2"
"Basilicata","2-4y","1.1"
"Calabria","2-4y","1.2"
"Sicily","2-4y","1.4"
"Sardinia","2-4y","2.2"
"Italy","2-4y","2.4"
"Piedmont","5_8","0.6"
"Aosta Valley","5_8","0.3"
"Lombardy","5_8","0.9"
"AP Bolzano","5_8","0.8"
"AP Trento","5_8","1.7"
"Veneto","5_8","1.7"
"Friuli-Venezia Giulia","5_8","0.6"
"Liguria","5_8","1.8"
"Emilia-Romagna","5_8","1.8"
"Tuscany","5_8","6.9"
"Umbria","5_8","0.4"
"Marche","5_8","1"
"Lazio","5_8","1.1"
"Abruzzo","5_8","0.7"
"Molise","5_8","0.5"
"Campania","5_8","3.9"
"Apulia","5_8","6.6"
"Basilicata","5_8","1.9"
"Calabria","5_8","1.2"
"Sicily","5_8","1.5"
"Sardinia","5_8","2.2"
"Italy","5_8","2.2"
"Piedmont","9_14","0.7"
"Aosta Valley","9_14","0.5"
"Lombardy","9_14","0.7"
"AP Bolzano","9_14","0.5"
"AP Trento","9_14","1.5"
"Veneto","9_14","1.3"
"Friuli-Venezia Giulia","9_14","0.7"
"Liguria","9_14","1"
"Emilia-Romagna","9_14","1.7"
"Tuscany","9_14","4.8"
"Umbria","9_14","0.4"
"Marche","9_14","1"
"Lazio","9_14","1.1"
