"Region","Age","Vaccination coverage"
"Abruzzo","9_14","0.7"
"Molise","9_14","0.6"
"Campania","9_14","2.6"
"Apulia","9_14","6.9"
"Basilicata","9_14","1.3"
"Calabria","9_14","0.9"
"Sicily","9_14","1.2"
"Sardinia","9_14","1.4"
"Italy","9_14","1.8"
"Piedmont","15_17","0.8"
"Aosta Valley","15_17","0.7"
"Lombardy","15_17","0.7"
"AP Bolzano","15_17","0.5"
"AP Trento","15_17","0.8"
"Veneto","15_17","1.5"
"Friuli-Venezia Giulia","15_17","1.1"
"Liguria","15_17","1.4"
"Emilia-Romagna","15_17","1.5"
"Tuscany","15_17","7.2"
"Umbria","15_17","0.7"
"Marche","15_17","1.4"
"Lazio","15_17","1.3"
"Abruzzo","15_17","0.9"
"Molise","15_17","1.6"
"Campania","15_17","3.2"
"Apulia","15_17","10.8"
"Basilicata","15_17","2.3"
"Calabria","15_17","1.5"
"Sicily","15_17","2"
"Sardinia","15_17","1.4"
"Italy","15_17","2.5"
"Piedmont","18_44","1.6"
"Aosta Valley","18_44","1.5"
"Lombardy","18_44","1"
"AP Bolzano","18_44","1.1"
"AP Trento","18_44","1.7"
"Veneto","18_44","2.4"
"Friuli-Venezia Giulia","18_44","2.4"
"Liguria","18_44","3"
"Emilia-Romagna","18_44","2.7"
"Tuscany","18_44","2.7"
"Umbria","18_44","1.7"
"Marche","18_44","1.9"
"Lazio","18_44","2.6"
"Abruzzo","18_44","1.5"
"Molise","18_44","2.4"
"Campania","18_44","2.8"
"Apulia","18_44","3"
"Basilicata","18_44","3"
"Calabria","18_44","1.3"
"Sicily","18_44","2.8"
"Sardinia","18_44","2.3"
"Italy","18_44","2.2"
"Piedmont","45_64","6.5"
"Aosta Valley","45_64","6.2"
"Lombardy","45_64","3.6"
"AP Bolzano","45_64","4.5"
"AP Trento","45_64","5.9"
"Veneto","45_64","8"
"Friuli-Venezia Giulia","45_64","8.2"
"Liguria","45_64","10.4"
"Emilia-Romagna","45_64","9.4"
"Tuscany","45_64","9.5"
"Umbria","45_64","8"
"Marche","45_64","8.4"
"Lazio","45_64","10"
"Abruzzo","45_64","6.6"
"Molise","45_64","11.4"
"Campania","45_64","11.9"
"Apulia","45_64","14"
"Basilicata","45_64","10.7"
"Calabria","45_64","7.8"
"Sicily","45_64","12.1"
"Sardinia","45_64","7.4"
"Italy","45_64","8.7"
"Piedmont",">= 65","47.9"
"Aosta Valley",">= 65","44.1"
"Lombardy",">= 65","47.7"
"AP Bolzano",">= 65","35.3"
"AP Trento",">= 65","53.5"
"Veneto",">= 65","55.1"
"Friuli-Venezia Giulia",">= 65","55.7"
"Liguria",">= 65","50.1"
"Emilia-Romagna",">= 65","53.3"
"Tuscany",">= 65","55.3"
"Umbria",">= 65","63.4"
"Marche",">= 65","50"
"Lazio",">= 65","51.8"
"Abruzzo",">= 65","49.1"
"Molise",">= 65","61"
"Campania",">= 65","57.4"
"Apulia",">= 65","59.4"
"Basilicata",">= 65","53.2"
"Calabria",">= 65","61.2"
"Sicily",">= 65","54.3"
"Sardinia",">= 65","44"
"Italy",">= 65","52.7"
"Piedmont","Total","14.5"
"Aosta Valley","Total","12.6"
"Lombardy","Total","12.1"
"AP Bolzano","Total","8.6"
"AP Trento","Total","14"
"Veneto","Total","15.7"
"Friuli-Venezia Giulia","Total","17.6"
"Liguria","Total","18.3"
"Emilia-Romagna","Total","16.5"
"Tuscany","Total","18.4"
"Umbria","Total","18.8"
"Marche","Total","15.3"
"Lazio","Total","15"
"Abruzzo","Total","13.9"
"Molise","Total","18.8"
"Campania","Total","15.4"
"Apulia","Total","18.9"
"Basilicata","Total","16.2"
"Calabria","Total","15.6"
"Sicily","Total","15.8"
"Sardinia","Total","13.2"
"Italy","Total","15.3"
