"Region","Age","Vaccination coverage"
"Piedmont","<5","1.6"
"Aosta Valley","<5","1"
"Lombardy","<5","2.5"
"AP Bolzano","<5","1.5"
"AP Trento","<5","1.4"
"Veneto","<5","3.1"
"Friuli-Venezia Giulia","<5","0"
"Liguria","<5","3.2"
"Emilia-Romagna","<5","3.5"
"Tuscany","<5","9.3"
"Umbria","<5","0"
"Marche","<5","3.7"
"Lazio","<5","2.8"
"Abruzzo","<5","3.8"
"Molise","<5","5.7"
"Campania","<5","8.3"
"Apulia","<5","15.1"
"Basilicata","<5","3.7"
"Calabria","<5","2.4"
"Sicily","<5","2.5"
"Sardinia","<5","5.6"
"Italy","<5","4.2"
"Piedmont","5_14","1.9"
"Aosta Valley","5_14","0.9"
"Lombardy","5_14","2.5"
"AP Bolzano","5_14","1.2"
"AP Trento","5_14","1.5"
"Veneto","5_14","4.8"
"Friuli-Venezia Giulia","5_14","0"
"Liguria","5_14","5.2"
"Emilia-Romagna","5_14","4.5"
"Tuscany","5_14","6.7"
"Umbria","5_14","0"
"Marche","5_14","3.3"
"Lazio","5_14","3.6"
"Abruzzo","5_14","3.6"
"Molise","5_14","4.7"
"Campania","5_14","6"
"Apulia","5_14","10.4"
"Basilicata","5_14","2.9"
"Calabria","5_14","2.2"
"Sicily","5_14","2.7"
"Sardinia","5_14","4.1"
"Italy","5_14","3.8"
"Piedmont","15_24","1.8"
"Aosta Valley","15_24","0.7"
"Lombardy","15_24","1.3"
"AP Bolzano","15_24","1.1"
"AP Trento","15_24","0.9"
"Veneto","15_24","2.5"
"Friuli-Venezia Giulia","15_24","0"
"Liguria","15_24","2.6"
"Emilia-Romagna","15_24","3.9"
"Tuscany","15_24","3.9"
"Umbria","15_24","0"
"Marche","15_24","2.1"
"Lazio","15_24","2.8"
"Abruzzo","15_24","2.1"
"Molise","15_24","3.7"
"Campania","15_24","3.3"
"Apulia","15_24","5.4"
"Basilicata","15_24","1.6"
"Calabria","15_24","1.5"
"Sicily","15_24","3.5"
"Sardinia","15_24","2.1"
"Italy","15_24","2.5"
"Piedmont","25_64","6.4"
"Aosta Valley","25_64","4.3"
"Lombardy","25_64","4.8"
"AP Bolzano","25_64","4.6"
"AP Trento","25_64","4.7"
"Veneto","25_64","7.2"
"Friuli-Venezia Giulia","25_64","0"
"Liguria","25_64","9.5"
"Emilia-Romagna","25_64","11.4"
"Tuscany","25_64","9.7"
"Umbria","25_64","0"
"Marche","25_64","8.5"
"Lazio","25_64","10.5"
"Abruzzo","25_64","6.5"
"Molise","25_64","12.9"
"Campania","25_64","11.5"
"Apulia","25_64","11.6"
"Basilicata","25_64","9.2"
"Calabria","25_64","7.2"
"Sicily","25_64","9.8"
"Sardinia","25_64","7"
"Italy","25_64","8.3"
"Piedmont",">= 65","59.3"
"Aosta Valley",">= 65","54.2"
"Lombardy",">= 65","63.1"
"AP Bolzano",">= 65","48"
"AP Trento",">= 65","69.2"
"Veneto",">= 65","74.1"
"Friuli-Venezia Giulia",">= 65","0"
"Liguria",">= 65","67.5"
"Emilia-Romagna",">= 65","76.1"
"Tuscany",">= 65","70.3"
"Umbria",">= 65","69"
"Marche",">= 65","67.1"
"Lazio",">= 65","74.1"
"Abruzzo",">= 65","78.1"
"Molise",">= 65","72.6"
"Campania",">= 65","73.2"
"Apulia",">= 65","71.5"
"Basilicata",">= 65","71.2"
"Calabria",">= 65","68.4"
"Sicily",">= 65","56.4"
"Sardinia",">= 65","49.3"
"Italy",">= 65","66.6"
"Piedmont","Total","17.2"
"Aosta Valley","Total","13.4"
"Lombardy","Total","15.3"
"AP Bolzano","Total","10.7"
"AP Trento","Total","15.8"
"Veneto","Total","17.4"
"Friuli-Venezia Giulia","Total","0"
"Liguria","Total","23.8"
"Emilia-Romagna","Total","24.6"
"Tuscany","Total","22.9"
"Umbria","Total","20.3"
"Marche","Total","20.3"
"Lazio","Total","20.6"
"Abruzzo","Total","20.7"
"Molise","Total","23.8"
"Campania","Total","18.8"
"Apulia","Total","21"
"Basilicata","Total","19.5"
"Calabria","Total","16.7"
"Sicily","Total","16"
"Sardinia","Total","13.3"
"Italy","Total","18.6"
