"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.3"
"Aosta Valley","6-23m","0.2"
"Lombardy","6-23m","0.8"
"AP Bolzano","6-23m","0.4"
"AP Trento","6-23m","1.6"
"Veneto","6-23m","1.4"
"Friuli-Venezia Giulia","6-23m","0.2"
"Liguria","6-23m","1.3"
"Emilia-Romagna","6-23m","0.6"
"Tuscany","6-23m","8.9"
"Umbria","6-23m","0.2"
"Marche","6-23m","1.2"
"Lazio","6-23m","0.8"
"Abruzzo","6-23m","1.8"
"Molise","6-23m","3.5"
"Campania","6-23m","3.1"
"Apulia","6-23m","7"
"Basilicata","6-23m","2.2"
"Calabria","6-23m","6.5"
"Sicily","6-23m","0.5"
"Sardinia","6-23m","3.3"
"Italy","6-23m","2.2"
"Piedmont","2-4y","0.9"
"Aosta Valley","2-4y","0.7"
"Lombardy","2-4y","1.3"
"AP Bolzano","2-4y","0.7"
"AP Trento","2-4y","1.9"
"Veneto","2-4y","2.8"
"Friuli-Venezia Giulia","2-4y","0.3"
"Liguria","2-4y","2.3"
"Emilia-Romagna","2-4y","1.8"
"Tuscany","2-4y","15.1"
"Umbria","2-4y","0.5"
"Marche","2-4y","2.4"
"Lazio","2-4y","2.2"
"Abruzzo","2-4y","3.2"
"Molise","2-4y","6.5"
"Campania","2-4y","5.6"
"Apulia","2-4y","14.9"
"Basilicata","2-4y","2.7"
"Calabria","2-4y","9.9"
"Sicily","2-4y","2.2"
"Sardinia","2-4y","6.1"
"Italy","2-4y","4.2"
"Piedmont","5_8","1.2"
"Aosta Valley","5_8","1.2"
"Lombardy","5_8","1.5"
"AP Bolzano","5_8","0.9"
"AP Trento","5_8","2"
"Veneto","5_8","3"
"Friuli-Venezia Giulia","5_8","0.1"
"Liguria","5_8","1.8"
"Emilia-Romagna","5_8","2.5"
"Tuscany","5_8","11.7"
"Umbria","5_8","0.8"
"Marche","5_8","3.1"
"Lazio","5_8","2.8"
"Abruzzo","5_8","4"
"Molise","5_8","6.5"
"Campania","5_8","6.2"
"Apulia","5_8","15.3"
"Basilicata","5_8","3.2"
"Calabria","5_8","10"
"Sicily","5_8","2.9"
"Sardinia","5_8","6.3"
"Italy","5_8","4.5"
"Piedmont","9_14","1.2"
"Aosta Valley","9_14","1"
"Lombardy","9_14","1.2"
"AP Bolzano","9_14","0.6"
"AP Trento","9_14","1.8"
"Veneto","9_14","2.3"
"Friuli-Venezia Giulia","9_14","1.3"
"Liguria","9_14","1.6"
"Emilia-Romagna","9_14","2.6"
"Tuscany","9_14","5.9"
"Umbria","9_14","0.9"
"Marche","9_14","2.2"
"Lazio","9_14","2.6"
