"flu_season","Region","elderly_population","total_population"
"2005-2006","AP Bolzano","55.2","12.4"
"2005-2006","AP Trento","67.6","15.8"
"2005-2006","Apulia","75.4","21.3"
"2005-2006","Basilicata","64.5","19.9"
"2005-2006","Calabria","66.3","16.4"
"2005-2006","Campania","72.9","18.9"
"2005-2006","Emilia-Romagna","75.1","24.8"
"2005-2006","Friuli-Venezia Giulia","72.1","21"
"2005-2006","Lazio","73.3","20.7"
"2005-2006","Liguria","65.3","24.1"
"2005-2006","Lombardy","64","16.2"
"2005-2006","Marche","68","20.8"
"2005-2006","Molise","71.4","24"
"2005-2006","Piedmont","58.8","17.2"
"2005-2006","Sardinia","56.1","15.1"
"2005-2006","Sicily","67.5","18.9"
"2005-2006","Tuscany","67.6","22.9"
"2005-2006","Umbria","65.9","21.2"
"2005-2006","Veneto","73.2","19.4"
"2006-2007","Abruzzo","78.1","20.7"
"2006-2007","Aosta Valley","54.2","13.4"
"2006-2007","AP Bolzano","48","10.7"
"2006-2007","AP Trento","69.2","15.8"
"2006-2007","Apulia","71.5","21"
"2006-2007","Basilicata","71.2","19.5"
"2006-2007","Calabria","68.4","16.7"
"2006-2007","Campania","73.2","18.8"
"2006-2007","Emilia-Romagna","76.1","24.6"
"2006-2007","Friuli-Venezia Giulia",NA,"0"
"2006-2007","Lazio","74.1","20.6"
"2006-2007","Liguria","67.5","23.8"
"2006-2007","Lombardy","63.1","15.3"
"2006-2007","Marche","67.1","20.3"
"2006-2007","Molise","72.6","23.8"
"2006-2007","Piedmont","59.3","17.2"
"2006-2007","Sardinia","49.3","13.3"
"2006-2007","Sicily","56.4","16"
"2006-2007","Tuscany","70.3","22.9"
"2006-2007","Umbria","69","20.3"
"2006-2007","Veneto","74.1","17.4"
"2007-2008","Abruzzo","72.8","20.4"
"2007-2008","Aosta Valley","61","15.3"
"2007-2008","AP Bolzano","50.5","11.2"
"2007-2008","AP Trento","64.6","15.1"
"2007-2008","Apulia","68.7","21"
"2007-2008","Basilicata","70.7","20.6"
"2007-2008","Calabria","65.6","16.5"
"2007-2008","Campania","68.2","17.4"
"2007-2008","Emilia-Romagna","73.6","23.4"
"2007-2008","Friuli-Venezia Giulia","64.4","17.9"
"2007-2008","Lazio","68","19.4"
"2007-2008","Liguria","65.6","22.5"
"2007-2008","Lombardy","58.6","14.7"
"2007-2008","Marche","65.4","19.7"
"2007-2008","Molise","73.3","23.3"
"2007-2008","Piedmont","58.9","17.2"
"2007-2008","Sardinia","39.8","11.9"
"2007-2008","Sicily",NA,NA
"2007-2008","Tuscany","68.5","22.3"
"2007-2008","Umbria","70.5","20.5"
"2007-2008","Veneto","70.3","18.5"
"2008-2009","Abruzzo","68.4","19.7"
"2008-2009","Aosta Valley","54.5","14.8"
"2008-2009","AP Bolzano","50.8","11.7"
"2008-2009","AP Trento","68","16.3"
"2008-2009","Apulia","73.8","22.7"
"2008-2009","Basilicata","72.2","19.4"
"2008-2009","Calabria","69.8","17.7"
"2008-2009","Campania","72.2","18.8"
"2008-2009","Emilia-Romagna","73.7","23.9"
"2008-2009","Friuli-Venezia Giulia","68.1","20.7"
"2008-2009","Lazio","67.9","19.9"
"2008-2009","Liguria","65.7","23.2"
"2008-2009","Lombardy","61.7","15.5"
"2008-2009","Marche","66.9","20.8"
"2008-2009","Molise","72.3","23.4"
"2008-2009","Piedmont","60.7","17.9"
"2008-2009","Sardinia","49.6","14.2"
"2008-2009","Sicily","61","17.7"
"2008-2009","Tuscany","69.5","22.8"
"2008-2009","Umbria","74.7","21.8"
"2008-2009","Veneto","71.6","19.3"
"2009-2010","Abruzzo","67.1","19.4"
"2009-2010","Aosta Valley","58.9","16.2"
"2009-2010","AP Bolzano","47.7","11.5"
"2009-2010","AP Trento","67","16.8"
"2009-2010","Apulia","73","24.7"
"2009-2010","Basilicata","72.6","21.8"
"2009-2010","Calabria","63","18.1"
"2009-2010","Campania","63.4","19.5"
"2009-2010","Emilia-Romagna","73.8","22.6"
"2009-2010","Friuli-Venezia Giulia","49.7","15.6"
"2009-2010","Lazio","67.7","20.7"
"2009-2010","Liguria","65.7","24.1"
"2009-2010","Lombardy","63.1","13.2"
"2009-2010","Marche","66.5","21.1"
"2009-2010","Molise","73.7","24.2"
"2009-2010","Piedmont","60.6","17.8"
"2009-2010","Sardinia","60.9","18.5"
"2009-2010","Sicily","64.1","19.6"
"2009-2010","Tuscany","71.1","24.9"
"2009-2010","Umbria","77.5","22"
"2009-2010","Veneto","71.2","20.1"
"2010-2011","Abruzzo","60.9","16.5"
"2010-2011","Aosta Valley","55.6","15"
"2010-2011","AP Bolzano","44.5","10.5"
"2010-2011","AP Trento","61.8","15.2"
"2010-2011","Apulia","71.7","22.5"
"2010-2011","Basilicata","63.6","19.4"
"2010-2011","Calabria","55.8","20.8"
"2010-2011","Campania","68.8","17.5"
"2010-2011","Emilia-Romagna","63.4","19.2"
"2010-2011","Friuli-Venezia Giulia","62.4","18.7"
"2010-2011","Lazio","64.1","18.9"
"2010-2011","Liguria","58","22.1"
"2010-2011","Lombardy","54.2","12.6"
"2010-2011","Marche","63.9","18.7"
"2010-2011","Molise","65.6","22.6"
"2010-2011","Piedmont","57.3","16.4"
"2010-2011","Sardinia","59.6","17.5"
"2010-2011","Sicily","61.3","17.2"
"2010-2011","Tuscany","68.8","22.5"
"2010-2011","Umbria","75.2","21.1"
"2010-2011","Veneto","67.8","18.2"
"2011-2012","Abruzzo","59.7","16.5"
"2011-2012","Aosta Valley","56.2","14.8"
"2011-2012","AP Bolzano","42.5","9.6"
"2011-2012","AP Trento","62.2","14.9"
"2011-2012","Apulia","69","21.9"
"2011-2012","Basilicata","63.1","19.4"
"2011-2012","Calabria","65.6","24.2"
"2011-2012","Campania","73.1","18.5"
"2011-2012","Emilia-Romagna","64.7","19.2"
"2011-2012","Friuli-Venezia Giulia","61.8","18.4"
"2011-2012","Lazio","62.2","18.1"
"2011-2012","Liguria","55.6","21"
"2011-2012","Lombardy","57.9","13.4"
"2011-2012","Marche","62.2","18.4"
"2011-2012","Molise","60.5","21.2"
"2011-2012","Piedmont","55","15.7"
"2011-2012","Sardinia","57","16.2"
"2011-2012","Sicily","60.2","17.1"
"2011-2012","Tuscany","67.8","22.2"
"2011-2012","Umbria","74","20.9"
"2011-2012","Veneto","67.1","17.8"
"2012-2013","Abruzzo","50.3","13.2"
"2012-2013","Aosta Valley","47","12.3"
"2012-2013","AP Bolzano","35.8","8.1"
"2012-2013","AP Trento","56.3","13.7"
"2012-2013","Apulia","57.2","17.2"
"2012-2013","Basilicata","58.6","17.1"
"2012-2013","Calabria","49.8","12.7"
"2012-2013","Campania","61.4","15.2"
"2012-2013","Emilia-Romagna","56.3","16.4"
"2012-2013","Friuli-Venezia Giulia","55.2","16.3"
"2012-2013","Lazio","56.8","16.1"
"2012-2013","Liguria","41.6","15.8"
"2012-2013","Lombardy","48.2","11.4"
"2012-2013","Marche","54.9","15.9"
"2012-2013","Molise","49.4","14.6"
"2012-2013","Piedmont","51.6","14.8"
"2012-2013","Sardinia","47.3","13.4"
"2012-2013","Sicily","54","13.9"
"2012-2013","Tuscany","58.9","18.5"
"2012-2013","Umbria","67.9","18.9"
"2012-2013","Veneto","58.9","15.6"
"2013-2014","Abruzzo","54.6","14.7"
"2013-2014","Aosta Valley","48.2","12.7"
"2013-2014","AP Bolzano","33.9","7.9"
"2013-2014","AP Trento","55.8","13.8"
"2013-2014","Apulia","61","17.8"
"2013-2014","Basilicata","58","16.6"
"2013-2014","Calabria","56.5","14.9"
"2013-2014","Campania","61.3","16.4"
"2013-2014","Emilia-Romagna","57.2","17"
"2013-2014","Friuli-Venezia Giulia","56.1","16.9"
"2013-2014","Lazio","56.8","16.5"
"2013-2014","Liguria","50.4","18.5"
"2013-2014","Lombardy","48.6","11.7"
"2013-2014","Marche","57.5","16.5"
"2013-2014","Molise","59.5","18.1"
"2013-2014","Piedmont","51.1","14.7"
"2013-2014","Sardinia","46","13.8"
"2013-2014","Sicily","56.5","15.9"
"2013-2014","Tuscany","60.2","19.4"
"2013-2014","Umbria","68.8","19.5"
"2013-2014","Veneto","58.5","15.7"
"2014-2015","Abruzzo","38.5","11.1"
"2014-2015","Aosta Valley","43.5","11.9"
"2014-2015","AP Bolzano","36.6","8.3"
"2014-2015","AP Trento","51.9","12.9"
"2014-2015","Apulia","48.6","14.6"
"2014-2015","Basilicata","45.6","13.5"
"2014-2015","Calabria","53.3","13.4"
"2014-2015","Campania","52.9","13.9"
"2014-2015","Emilia-Romagna","50","14.9"
"2014-2015","Friuli-Venezia Giulia","49","15"
"2014-2015","Lazio","49.5","14"
"2014-2015","Liguria","46.6","15.3"
"2014-2015","Lombardy","46.3","11.4"
"2014-2015","Marche","46.2","13.5"
"2014-2015","Molise","49","15.7"
"2014-2015","Piedmont","46.3","13.5"
"2014-2015","Sardinia","40.6","12"
"2014-2015","Sicily","47.4","12.8"
"2014-2015","Tuscany","49.9","16.3"
"2014-2015","Umbria","61.8","17.8"
"2014-2015","Veneto","53.4","14.5"
"2015-2016","Abruzzo","45.7","12.3"
"2015-2016","Aosta Valley","42.2","11.7"
"2015-2016","AP Bolzano","37.8","8.8"
"2015-2016","AP Trento","50.2","12.5"
"2015-2016","Apulia","50.8","14.9"
"2015-2016","Basilicata","47.9","14.2"
"2015-2016","Calabria","51.7","13.7"
"2015-2016","Campania","52.8","14"
"2015-2016","Emilia-Romagna","51.9","15.5"
"2015-2016","Friuli-Venezia Giulia","51.1","15.6"
"2015-2016","Lazio","51","14.3"
