"Region","Age","Vaccination coverage"
"Piedmont","<5","1.7"
"Aosta Valley","<5","1"
"Lombardy","<5","2.4"
"AP Bolzano","<5","1.3"
"AP Trento","<5","1.8"
"Veneto","<5","3.3"
"Friuli-Venezia Giulia","<5","1.4"
"Liguria","<5","5.4"
"Emilia-Romagna","<5","2.6"
"Tuscany","<5","9.9"
"Umbria","<5","1.8"
"Marche","<5","4.5"
"Lazio","<5","2.7"
"Abruzzo","<5","6.2"
"Molise","<5","8.9"
"Campania","<5","6.7"
"Apulia","<5","18.7"
"Basilicata","<5","2.3"
"Calabria","<5","4.2"
"Sicily","<5","3"
"Sardinia","<5","6.2"
"Italy","<5","4.6"
"Piedmont","5_14","1.9"
"Aosta Valley","5_14","1"
"Lombardy","5_14","2.3"
"AP Bolzano","5_14","1.4"
"AP Trento","5_14","1.7"
"Veneto","5_14","3.4"
"Friuli-Venezia Giulia","5_14","1.8"
"Liguria","5_14","4.2"
"Emilia-Romagna","5_14","4.2"
"Tuscany","5_14","6.5"
"Umbria","5_14","1.5"
"Marche","5_14","3.9"
"Lazio","5_14","3.5"
"Abruzzo","5_14","5.3"
"Molise","5_14","7.4"
"Campania","5_14","6.2"
"Apulia","5_14","13.8"
"Basilicata","5_14","3.1"
"Calabria","5_14","2.9"
"Sicily","5_14","2.9"
"Sardinia","5_14","5"
"Italy","5_14","4"
"Piedmont","15_24","1.5"
"Aosta Valley","15_24","0.8"
"Lombardy","15_24","1.2"
"AP Bolzano","15_24","1.9"
"AP Trento","15_24","1.2"
"Veneto","15_24","2"
"Friuli-Venezia Giulia","15_24","1.7"
"Liguria","15_24","4.2"
"Emilia-Romagna","15_24","3.7"
"Tuscany","15_24","3.3"
"Umbria","15_24","1.3"
"Marche","15_24","2.6"
"Lazio","15_24","2.8"
"Abruzzo","15_24","2"
"Molise","15_24","3.4"
"Campania","15_24","3.9"
"Apulia","15_24","4.4"
"Basilicata","15_24","1.4"
"Calabria","15_24","1.8"
"Sicily","15_24","4.4"
"Sardinia","15_24","2.9"
"Italy","15_24","2.5"
"Piedmont","25_64","6.7"
"Aosta Valley","25_64","5.9"
"Lombardy","25_64","4.9"
"AP Bolzano","25_64","4.5"
"AP Trento","25_64","5.3"
"Veneto","25_64","8.1"
"Friuli-Venezia Giulia","25_64","8.2"
"Liguria","25_64","8.7"
"Emilia-Romagna","25_64","11.5"
"Tuscany","25_64","9.7"
"Umbria","25_64","7.6"
"Marche","25_64","9"
"Lazio","25_64","10.4"
"Abruzzo","25_64","7.6"
"Molise","25_64","11.3"
"Campania","25_64","10.9"
"Apulia","25_64","12.1"
"Basilicata","25_64","3.7"
"Calabria","25_64","7.5"
"Sicily","25_64","10.4"
"Sardinia","25_64","7.1"
"Italy","25_64","8.2"
"Piedmont",">= 65","60.7"
"Aosta Valley",">= 65","54.5"
"Lombardy",">= 65","61.7"
"AP Bolzano",">= 65","50.8"
"AP Trento",">= 65","68"
"Veneto",">= 65","71.6"
"Friuli-Venezia Giulia",">= 65","68.1"
"Liguria",">= 65","65.7"
"Emilia-Romagna",">= 65","73.7"
"Tuscany",">= 65","69.5"
"Umbria",">= 65","74.7"
"Marche",">= 65","66.9"
"Lazio",">= 65","67.9"
"Abruzzo",">= 65","68.4"
"Molise",">= 65","72.3"
"Campania",">= 65","72.2"
"Apulia",">= 65","73.8"
"Basilicata",">= 65","72.2"
"Calabria",">= 65","69.8"
"Sicily",">= 65","61"
"Sardinia",">= 65","49.6"
"Italy",">= 65","66.3"
"Piedmont","Total","17.9"
"Aosta Valley","Total","14.8"
"Lombardy","Total","15.5"
"AP Bolzano","Total","11.7"
"AP Trento","Total","16.3"
"Veneto","Total","19.3"
"Friuli-Venezia Giulia","Total","20.7"
"Liguria","Total","23.2"
"Emilia-Romagna","Total","23.9"
"Tuscany","Total","22.8"
"Umbria","Total","21.8"
"Marche","Total","20.8"
"Lazio","Total","19.9"
"Abruzzo","Total","19.7"
"Molise","Total","23.4"
"Campania","Total","18.8"
"Apulia","Total","22.7"
"Basilicata","Total","19.4"
"Calabria","Total","17.7"
"Sicily","Total","17.7"
"Sardinia","Total","14.2"
"Italy","Total","19.1"
