"Region","Age","Vaccine doses","Vaccination coverage"
"Friuli-Venezia Giulia","45_64",62779,"16.7"
"Liguria","45_64",101815,"21.4"
"Emilia-Romagna","45_64",274383,"19.9"
"Tuscany","45_64",238037,"21"
"Umbria","45_64",39504,"15.1"
"Marche","45_64",86600,"19"
"Lazio","45_64",420554,"23.4"
"Abruzzo","45_64",1764,"0.4"
"Molise","45_64",12701,"14.1"
"Campania","45_64",311985,"18.7"
"Apulia","45_64",248926,"21.3"
"Basilicata","45_64",14989,"9"
"Calabria","45_64",67421,"12.3"
"Sicily","45_64",332806,"23.5"
"Sardinia","45_64",89611,"17.4"
"Italy","45_64",3045394,"16.8"
"Piedmont",">= 65",693449,"62.4"
"Aosta Valley",">= 65",15880,"52.6"
"Lombardy",">= 65",1388892,"60.6"
"AP Bolzano",">= 65",43832,"41.1"
"AP Trento",">= 65",81109,"65.9"
"Veneto",">= 65",681009,"59.6"
"Friuli-Venezia Giulia",">= 65",212883,"66.5"
"Liguria",">= 65",297075,"68.4"
"Emilia-Romagna",">= 65",756950,"70.1"
"Tuscany",">= 65",623653,"65.5"
"Umbria",">= 65",175330,"77.4"
"Marche",">= 65",248129,"65"
"Lazio",">= 65",873901,"67.7"
"Abruzzo",">= 65",202870,"64.1"
"Molise",">= 65",47386,"62.3"
"Campania",">= 65",738747,"66.1"
"Apulia",">= 65",550644,"61.1"
"Basilicata",">= 65",73868,"56.4"
"Calabria",">= 65",335446,"79"
"Sicily",">= 65",802467,"75.3"
"Sardinia",">= 65",243333,"61"
"Italy",">= 65",9086853,"65.3"
"Piedmont","Total",935337,"21.9"
"Aosta Valley","Total",23271,"18.8"
"Lombardy","Total",1931122,"19.4"
"AP Bolzano","Total",62456,"11.7"
"AP Trento","Total",146393,"26.9"
"Veneto","Total",1048544,"21.6"
"Friuli-Venezia Giulia","Total",309240,"25.8"
"Liguria","Total",471999,"31.3"
"Emilia-Romagna","Total",1159227,"26.1"
"Tuscany","Total",1033343,"28.2"
"Umbria","Total",232765,"26.9"
"Marche","Total",391252,"26.1"
"Lazio","Total",1570904,"27.5"
"Abruzzo","Total",230604,"17.9"
"Molise","Total",66487,"22.4"
"Campania","Total",1243637,"21.9"
"Apulia","Total",1004653,"25.6"
"Basilicata","Total",103853,"19"
"Calabria","Total",441371,"23.5"
"Sicily","Total",1282642,"26.5"
"Sardinia","Total",378497,"23.7"
"Italy","Total",14067597,"23.7"
