"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2020-49",2020-11-30,2020-12-06,"Piedmont",1,45,8,42,192,58032,"3.31",15,"3.42",15,"1.04",147,"5.27",15,"1.33"
"2020-49",2020-11-30,2020-12-06,"Aosta Valley",2,46,7,4,29,6073,"4.78",0,"0",0,"0",22,"5.23",7,"3.85"
"2020-49",2020-11-30,2020-12-06,"Lombardy",3,45,9,134,279,173155,"1.61",39,"3.13",37,"1.39",166,"1.72",37,"0.98"
"2020-49",2020-11-30,2020-12-06,"AP Bolzano",21,46,11,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-49",2020-11-30,2020-12-06,"AP Trento",22,46,11,3,6,4690,"1.28",0,"0",0,"0",4,"1.21",2,"1.49"
"2020-49",2020-11-30,2020-12-06,"Veneto",5,45,12,25,11,31344,"0.35",0,"0",1,"0.21",10,"0.57",0,"0"
"2020-49",2020-11-30,2020-12-06,"Friuli-Venezia Giulia",6,46,14,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-49",2020-11-30,2020-12-06,"Liguria",7,44,9,7,5,8311,"0.6",1,"3.62",0,"0",2,"0.45",2,"0.72"
"2020-49",2020-11-30,2020-12-06,"Emilia Romagna",8,44,11,17,30,19007,"1.58",15,"6.52",5,"1",10,"1.26",0,"0"
"2020-49",2020-11-30,2020-12-06,"Tuscany",9,44,11,28,78,46992,"1.66",11,"4.19",13,"1.9",43,"1.77",11,"0.83"
"2020-49",2020-11-30,2020-12-06,"Umbria",10,43,12,8,16,8841,"1.81",5,"6.87",8,"3.96",2,"0.46",1,"0.59"
"2020-49",2020-11-30,2020-12-06,"Marche",11,44,14,4,7,4446,"1.57",0,"0",0,"0",7,"3.7",0,"0"
"2020-49",2020-11-30,2020-12-06,"Lazio",12,42,12,195,345,240656,"1.43",26,"2.67",34,"1.4",217,"1.45",68,"1.19"
"2020-49",2020-11-30,2020-12-06,"Abruzzo",13,42,13,25,54,26223,"2.06",12,"4.2",10,"2.05",27,"1.99",5,"1.01"
"2020-49",2020-11-30,2020-12-06,"Molise",14,42,15,3,4,3302,"1.21",0,"0",0,"0",3,"1.63",1,"1.22"
"2020-49",2020-11-30,2020-12-06,"Campania",15,41,14,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-49",2020-11-30,2020-12-06,"Apulia",16,41,17,78,222,102353,"2.17",26,"5.27",25,"2.46",123,"1.93",48,"2.05"
"2020-49",2020-11-30,2020-12-06,"Basilicata",17,41,16,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-49",2020-11-30,2020-12-06,"Calabria",18,39,17,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-49",2020-11-30,2020-12-06,"Sicily",19,38,13,121,326,145730,"2.24",19,"3.5",31,"2.21",191,"2.1",85,"2.41"
"2020-49",2020-11-30,2020-12-06,"Sardinia",20,39,9,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-50",2020-12-07,2020-12-13,"Piedmont",1,45,8,40,114,56228,"2.03",7,"1.83",6,"0.46",78,"2.79",23,"1.99"
"2020-50",2020-12-07,2020-12-13,"Aosta Valley",2,46,7,1,1,1544,"0.65",0,"0",0,"0",1,"0.94",0,"0"
"2020-50",2020-12-07,2020-12-13,"Lombardy",3,45,9,109,228,143205,"1.59",30,"3.13",25,"1.13",141,"1.75",32,"1.03"
"2020-50",2020-12-07,2020-12-13,"AP Bolzano",21,46,11,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-50",2020-12-07,2020-12-13,"AP Trento",22,46,11,3,5,4678,"1.07",0,"0",0,"0",5,"1.53",0,"0"
"2020-50",2020-12-07,2020-12-13,"Veneto",5,45,12,34,19,42593,"0.45",1,"0.28",1,"0.12",14,"0.64",3,"0.34"
"2020-50",2020-12-07,2020-12-13,"Friuli-Venezia Giulia",6,46,14,5,4,5488,"0.73",1,"1.11",0,"0",3,"2.31",0,"0"
"2020-50",2020-12-07,2020-12-13,"Liguria",7,44,9,7,9,8643,"1.04",2,"7.25",0,"0",4,"0.8",3,"1.17"
"2020-50",2020-12-07,2020-12-13,"Emilia Romagna",8,44,11,19,46,19790,"2.32",17,"6.05",7,"1.18",20,"2.71",2,"0.55"
"2020-50",2020-12-07,2020-12-13,"Tuscany",9,44,11,26,66,44081,"1.5",18,"7.65",12,"2.02",27,"1.19",9,"0.69"
"2020-50",2020-12-07,2020-12-13,"Umbria",10,43,12,8,15,8793,"1.71",6,"8.24",8,"3.99",1,"0.23",0,"0"
"2020-50",2020-12-07,2020-12-13,"Marche",11,44,14,2,5,2704,"1.85",0,"0",0,"0",4,"2.12",1,"1.38"
"2020-50",2020-12-07,2020-12-13,"Lazio",12,42,12,151,258,188219,"1.37",26,"3.05",18,"0.86",160,"1.4",54,"1.22"
"2020-50",2020-12-07,2020-12-13,"Abruzzo",13,42,13,28,67,29800,"2.25",14,"4.12",8,"1.26",32,"2.13",13,"2.59"
"2020-50",2020-12-07,2020-12-13,"Molise",14,42,15,7,5,5446,"0.92",0,"0",0,"0",4,"1.19",1,"0.71"
"2020-50",2020-12-07,2020-12-13,"Campania",15,41,14,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2020-50",2020-12-07,2020-12-13,"Apulia",16,41,17,87,274,113787,"2.41",28,"4.65",35,"3",171,"2.46",40,"1.5"
