"data","host","nuovi_casi","casi_totali"
2018-09-26,"uomini",44,504
2018-09-26,"equidi",11,142
2018-09-26,"uccelli bersaglio",3,120
2018-09-26,"uccelli selvatici",3,72
2018-09-26,"zanzare",23,404
2018-10-03,"uomini",10,514
2018-10-03,"equidi",20,162
2018-10-03,"uccelli bersaglio",5,125
2018-10-03,"uccelli selvatici",2,74
2018-10-03,"zanzare",1,405
2018-10-10,"uomini",30,544
2018-10-10,"equidi",5,167
2018-10-10,"uccelli bersaglio",8,133
2018-10-10,"uccelli selvatici",5,79
2018-10-10,"zanzare",2,407
2018-10-17,"uomini",15,559
2018-10-17,"equidi",7,174
2018-10-17,"uccelli bersaglio",8,141
2018-10-17,"uccelli selvatici",7,86
2018-10-17,"zanzare",1,408
2018-10-24,"uomini",2,561
2018-10-24,"equidi",14,188
2018-10-24,"uccelli bersaglio",37,178
2018-10-24,"uccelli selvatici",11,97
2018-10-24,"zanzare",2,410
2018-11-07,"uomini",16,577
2018-11-07,"equidi",12,200
2018-11-07,"uccelli bersaglio",0,178
2018-11-07,"uccelli selvatici",1,98
2018-11-07,"zanzare",8,418
2018-11-14,"uomini",0,577
2018-11-14,"equidi",4,204
2018-11-14,"uccelli bersaglio",13,191
2018-11-14,"uccelli selvatici",3,101
2018-11-14,"zanzare",0,418
2019-07-31,"uomini",1,1
2019-07-31,"equidi",1,1
2019-07-31,"uccelli bersaglio",0,0
2019-07-31,"uccelli selvatici",0,0
2019-07-31,"zanzare",1,1
2019-08-07,"uomini",3,4
2019-08-07,"equidi",0,1
2019-08-07,"uccelli bersaglio",0,0
2019-08-07,"uccelli selvatici",0,0
2019-08-07,"zanzare",4,5
2019-08-21,"uomini",10,14
2019-08-21,"equidi",1,2
2019-08-21,"uccelli bersaglio",11,11
2019-08-21,"uccelli selvatici",1,1
2019-08-21,"zanzare",8,13
2019-08-28,"uomini",2,16
2019-08-28,"equidi",1,3
2019-08-28,"uccelli bersaglio",1,12
2019-08-28,"uccelli selvatici",0,1
2019-08-28,"zanzare",6,19
2019-09-04,"uomini",3,19
2019-09-04,"equidi",0,3
2019-09-04,"uccelli bersaglio",8,20
2019-09-04,"uccelli selvatici",1,2
2019-09-04,"zanzare",8,27
2019-09-11,"uomini",7,26
2019-09-11,"equidi",1,4
2019-09-11,"uccelli bersaglio",5,25
2019-09-11,"uccelli selvatici",2,4
2019-09-11,"zanzare",11,38
2019-09-18,"uomini",4,30
2019-09-18,"equidi",0,4
2019-09-18,"uccelli bersaglio",24,49
2019-09-18,"uccelli selvatici",2,6
2019-09-18,"zanzare",4,42
2019-09-25,"uomini",7,37
2019-09-25,"equidi",2,6
2019-09-25,"uccelli bersaglio",2,51
2019-09-25,"uccelli selvatici",1,7
2019-09-25,"zanzare",3,45
2019-10-02,"uomini",5,42
2019-10-02,"equidi",1,7
2019-10-02,"uccelli bersaglio",8,59
2019-10-02,"uccelli selvatici",1,8
2019-10-02,"zanzare",3,48
2019-10-09,"uomini",2,44
2019-10-09,"equidi",1,8
2019-10-09,"uccelli bersaglio",2,61
2019-10-09,"uccelli selvatici",2,10
2019-10-09,"zanzare",2,50
2019-10-16,"uomini",0,44
2019-10-16,"equidi",0,8
2019-10-16,"uccelli bersaglio",3,64
2019-10-16,"uccelli selvatici",0,10
2019-10-16,"zanzare",1,51
2019-10-23,"uomini",4,48
2019-10-23,"equidi",0,8
2019-10-23,"uccelli bersaglio",3,67
2019-10-23,"uccelli selvatici",2,12
2019-10-23,"zanzare",0,51
2019-10-30,"uomini",2,50
2019-10-30,"equidi",0,8
2019-10-30,"uccelli bersaglio",1,68
2019-10-30,"uccelli selvatici",6,18
2019-10-30,"zanzare",0,51
2019-11-06,"uomini",5,55
2019-11-06,"equidi",0,8
2019-11-06,"uccelli bersaglio",0,68
2019-11-06,"uccelli selvatici",0,18
2019-11-06,"zanzare",0,51
2019-11-17,"uomini",0,55
2019-11-17,"equidi",0,8
2019-11-17,"uccelli bersaglio",6,74
2019-11-17,"uccelli selvatici",0,18
2019-11-17,"zanzare",0,51
2019-11-24,"uomini",1,56
2019-11-24,"equidi",0,8
2019-11-24,"uccelli bersaglio",1,75
2019-11-24,"uccelli selvatici",0,18
2019-11-24,"zanzare",0,51
2020-07-22,"uomini",0,0
2020-07-22,"equidi",0,0
2020-07-22,"uccelli bersaglio",0,0
2020-07-22,"uccelli selvatici",0,0
2020-07-22,"zanzare",2,2
2020-07-29,"uomini",0,0
2020-07-29,"equidi",0,0
2020-07-29,"uccelli bersaglio",1,1
2020-07-29,"uccelli selvatici",0,0
2020-07-29,"zanzare",6,8
2020-08-05,"uomini",0,0
2020-08-05,"equidi",0,0
2020-08-05,"uccelli bersaglio",0,1
2020-08-05,"uccelli selvatici",0,0
2020-08-05,"zanzare",0,8
2020-08-12,"uomini",2,2
2020-08-12,"equidi",1,1
2020-08-12,"uccelli bersaglio",7,8
2020-08-12,"uccelli selvatici",1,1
2020-08-12,"zanzare",7,15
2020-08-19,"uomini",17,19
2020-08-19,"equidi",1,2
2020-08-19,"uccelli bersaglio",13,21
2020-08-19,"uccelli selvatici",0,1
2020-08-19,"zanzare",15,30
2020-08-26,"uomini",3,22
2020-08-26,"equidi",3,5
2020-08-26,"uccelli bersaglio",11,32
2020-08-26,"uccelli selvatici",2,3
2020-08-26,"zanzare",14,44
2020-09-02,"uomini",7,29
2020-09-02,"equidi",0,5
2020-09-02,"uccelli bersaglio",10,42
2020-09-02,"uccelli selvatici",2,5
2020-09-02,"zanzare",2,46
2020-09-09,"uomini",3,32
2020-09-09,"equidi",0,5
2020-09-09,"uccelli bersaglio",3,45
2020-09-09,"uccelli selvatici",3,8
2020-09-09,"zanzare",7,53
2020-09-16,"uomini",10,42
2020-09-16,"equidi",1,6
2020-09-16,"uccelli bersaglio",13,58
2020-09-16,"uccelli selvatici",3,11
2020-09-16,"zanzare",17,70
2020-09-23,"uomini",1,43
2020-09-23,"equidi",4,10
2020-09-23,"uccelli bersaglio",6,64
2020-09-23,"uccelli selvatici",0,11
2020-09-23,"zanzare",0,70
2020-09-30,"uomini",11,54
2020-09-30,"equidi",2,12
2020-09-30,"uccelli bersaglio",20,84
2020-09-30,"uccelli selvatici",3,14
2020-09-30,"zanzare",2,72
2020-10-07,"uomini",3,57
2020-10-07,"equidi",1,13
2020-10-07,"uccelli bersaglio",5,89
2020-10-07,"uccelli selvatici",5,19
2020-10-07,"zanzare",5,77
2020-10-14,"uomini",8,65
2020-10-14,"equidi",0,13
2020-10-14,"uccelli bersaglio",0,89
2020-10-14,"uccelli selvatici",0,19
2020-10-14,"zanzare",0,77
2020-10-21,"uomini",3,68
2020-10-21,"equidi",0,13
2020-10-21,"uccelli bersaglio",0,89
2020-10-21,"uccelli selvatici",1,20
2020-10-21,"zanzare",0,77
2020-10-28,"uomini",0,68
2020-10-28,"equidi",0,13
2020-10-28,"uccelli bersaglio",9,98
2020-10-28,"uccelli selvatici",2,22
2020-10-28,"zanzare",0,77
2020-11-04,"uomini",0,68
2020-11-04,"equidi",0,13
2020-11-04,"uccelli bersaglio",8,106
2020-11-04,"uccelli selvatici",4,26
