"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.3"
"Aosta Valley","6-23m","1"
"Lombardy","6-23m","0.6"
"AP Bolzano","6-23m","0.6"
"AP Trento","6-23m","1.8"
"Veneto","6-23m","1"
"Friuli-Venezia Giulia","6-23m","0.4"
"Liguria","6-23m","0.5"
"Emilia-Romagna","6-23m","0.9"
"Tuscany","6-23m","4.1"
"Umbria","6-23m","0.1"
"Marche","6-23m","0.5"
"Lazio","6-23m","0.4"
"Abruzzo","6-23m","0.6"
"Molise","6-23m","0.2"
"Campania","6-23m","2.4"
"Apulia","6-23m","2.2"
"Basilicata","6-23m","0.6"
"Calabria","6-23m","0.9"
"Sicily","6-23m","0.6"
"Sardinia","6-23m","1"
"Italy","6-23m","1.1"
"Piedmont","2-4y","0.3"
"Aosta Valley","2-4y","0.6"
"Lombardy","2-4y","0.8"
"AP Bolzano","2-4y","0.6"
"AP Trento","2-4y","1.6"
"Veneto","2-4y","1.4"
"Friuli-Venezia Giulia","2-4y","0.6"
"Liguria","2-4y","1"
"Emilia-Romagna","2-4y","1.4"
"Tuscany","2-4y","4.9"
"Umbria","2-4y","0.2"
"Marche","2-4y","0.8"
"Lazio","2-4y","0.9"
"Abruzzo","2-4y","0.9"
"Molise","2-4y","0.7"
"Campania","2-4y","3.7"
"Apulia","2-4y","5.3"
"Basilicata","2-4y","1.9"
"Calabria","2-4y","1.2"
"Sicily","2-4y","0.8"
"Sardinia","2-4y","1.5"
"Italy","2-4y","1.8"
"Piedmont","5_8","0.5"
"Aosta Valley","5_8","0.4"
"Lombardy","5_8","0.9"
"AP Bolzano","5_8","0.8"
"AP Trento","5_8","1.4"
"Veneto","5_8","1.4"
"Friuli-Venezia Giulia","5_8","0.7"
"Liguria","5_8","1.3"
"Emilia-Romagna","5_8","1.5"
"Tuscany","5_8","5.1"
"Umbria","5_8","0.3"
"Marche","5_8","0.9"
"Lazio","5_8","1.1"
"Abruzzo","5_8","0.9"
"Molise","5_8","0.7"
"Campania","5_8","3.7"
"Apulia","5_8","4.9"
"Basilicata","5_8","2"
"Calabria","5_8","1"
"Sicily","5_8","0.8"
"Sardinia","5_8","1.8"
"Italy","5_8","1.8"
"Piedmont","9_14","0.7"
"Aosta Valley","9_14","0.7"
"Lombardy","9_14","0.7"
"AP Bolzano","9_14","0.5"
"AP Trento","9_14","1.3"
"Veneto","9_14","1.2"
"Friuli-Venezia Giulia","9_14","0.7"
"Liguria","9_14","1.1"
"Emilia-Romagna","9_14","1.5"
"Tuscany","9_14","3"
"Umbria","9_14","0.4"
"Marche","9_14","1"
"Lazio","9_14","1.2"
"Abruzzo","9_14","0.7"
"Molise","9_14","0.7"
"Campania","9_14","2.5"
"Apulia","9_14","3.4"
"Basilicata","9_14","1.2"
"Calabria","9_14","1"
"Sicily","9_14","0.8"
"Sardinia","9_14","1.4"
"Italy","9_14","1.4"
"Piedmont","15_17","0.7"
"Aosta Valley","15_17","1.6"
"Lombardy","15_17","0.6"
"AP Bolzano","15_17","0.4"
"AP Trento","15_17","0.8"
"Veneto","15_17","1.3"
"Friuli-Venezia Giulia","15_17","1"
"Liguria","15_17","1.4"
"Emilia-Romagna","15_17","1.4"
"Tuscany","15_17","2"
"Umbria","15_17","0.6"
"Marche","15_17","1.1"
"Lazio","15_17","1.4"
"Abruzzo","15_17","0.8"
"Molise","15_17","1.4"
"Campania","15_17","3.1"
"Apulia","15_17","3.6"
"Basilicata","15_17","2.1"
"Calabria","15_17","1.9"
"Sicily","15_17","1.5"
"Sardinia","15_17","1.5"
"Italy","15_17","1.6"
"Piedmont","18_44","1.3"
"Aosta Valley","18_44","1.3"
"Lombardy","18_44","0.8"
"AP Bolzano","18_44","0.9"
"AP Trento","18_44","1.2"
"Veneto","18_44","1.8"
"Friuli-Venezia Giulia","18_44","1.8"
"Liguria","18_44","2.2"
