"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2010-42",2010-10-18,2010-10-24,882,834,1158321,"0.72",82771,168,2,160986,142,"0.88",687787,453,"0.66",226777,71,"0.31"
"2010-43",2010-10-25,2010-10-31,1026,1085,1345810,"0.81",93322,181,2,182188,213,"1.17",804141,591,"0.73",266159,100,"0.38"
"2010-44",2010-11-01,2010-11-07,1050,1122,1375503,"0.82",97232,176,2,187373,208,"1.11",818604,636,"0.78",272294,102,"0.37"
"2010-45",2010-11-08,2010-11-14,1063,1315,1396468,"0.94",96925,200,2,185780,246,"1.32",835313,735,"0.88",278450,134,"0.48"
"2010-46",2010-11-15,2010-11-21,1072,1514,1409976,"1.07",97844,265,3,187683,264,"1.41",843583,852,"1.01",280866,133,"0.47"
"2010-47",2010-11-22,2010-11-28,1074,1801,1409016,"1.28",98827,329,3,189445,364,"1.92",841105,974,"1.16",279639,134,"0.48"
"2010-48",2010-11-29,2010-12-05,1075,1995,1409379,"1.42",100797,322,3,193291,437,"2.26",837913,1099,"1.31",277378,137,"0.49"
"2010-49",2010-12-06,2010-12-12,1080,2423,1415655,"1.71",99770,418,4,193061,653,"3.38",842916,1182,"1.4",279908,170,"0.61"
"2010-50",2010-12-13,2010-12-19,1091,3315,1430177,"2.32",101922,595,6,196150,900,"4.59",849156,1635,"1.93",282949,185,"0.65"
"2010-51",2010-12-20,2010-12-26,1050,4369,1380714,"3.16",94975,807,9,184309,1220,"6.62",825747,2072,"2.51",275683,270,"0.98"
"2010-52",2010-12-27,2011-01-02,1058,6108,1389759,"4.4",96782,1076,11,186270,1610,"8.64",831704,3025,"3.64",275003,397,"1.44"
"2011-01",2011-01-03,2011-01-09,1088,7074,1419612,"4.98",98812,983,10,188267,1237,"6.57",849818,4318,"5.08",282715,536,"1.9"
"2011-02",2011-01-10,2011-01-16,1116,9426,1462949,"6.44",105530,1295,12,201636,1880,"9.32",867902,5600,"6.45",287881,651,"2.26"
"2011-03",2011-01-17,2011-01-23,1114,11946,1456258,"8.2",107393,2251,21,204130,3360,"16.46",858771,5830,"6.79",285964,505,"1.77"
"2011-04",2011-01-24,2011-01-30,1101,14950,1435437,"10.41",105426,3017,29,195498,4901,"25.07",850935,6447,"7.58",283578,585,"2.06"
"2011-05",2011-01-31,2011-02-06,1102,15940,1444480,"11.04",103412,3011,29,197490,5646,"28.59",857645,6689,"7.8",285933,594,"2.08"
"2011-06",2011-02-07,2011-02-13,1089,14308,1423688,"10.05",103910,2753,26,198179,4943,"24.94",840656,6061,"7.21",280943,551,"1.96"
"2011-07",2011-02-14,2011-02-20,1069,10849,1396634,"7.77",103280,2172,21,196686,3405,"17.31",822740,4795,"5.83",273928,477,"1.74"
"2011-08",2011-02-21,2011-02-27,1046,7503,1375522,"5.45",98548,1489,15,188554,2160,"11.46",815765,3509,"4.3",272655,345,"1.27"
"2011-09",2011-02-28,2011-03-06,1026,5594,1358931,"4.12",97760,1046,11,187575,1419,"7.56",805000,2799,"3.48",268596,330,"1.23"
"2011-10",2011-03-07,2011-03-13,1000,4075,1315090,"3.1",93111,761,8,179726,965,"5.37",779956,2092,"2.68",262297,257,"0.98"
"2011-11",2011-03-14,2011-03-20,916,2723,1296669,"2.1",92647,486,5,179330,571,"3.18",766727,1461,"1.91",257965,205,"0.79"
"2011-12",2011-03-21,2011-03-27,963,2072,1267894,"1.63",88210,390,4,172038,410,"2.38",753616,1117,"1.48",254030,155,"0.61"
"2011-13",2011-03-28,2011-04-03,932,1397,1227822,"1.14",83450,261,3,164659,264,"1.6",733231,753,"1.03",246482,119,"0.48"
"2011-14",2011-04-04,2011-04-10,886,1096,1169795,"0.94",80178,212,3,150020,209,"1.39",702183,584,"0.83",237414,91,"0.38"
"2011-15",2011-04-11,2011-04-17,860,926,1132491,"0.82",75330,183,2,142450,157,"1.1",684115,502,"0.73",230596,84,"0.36"
"2011-16",2011-04-18,2011-04-24,781,690,1026856,"0.67",66447,143,2,125653,101,"0.8",624044,392,"0.63",210712,54,"0.26"
"2011-17",2011-04-25,2011-05-01,596,412,785802,"0.52",53231,82,2,102530,57,"0.56",468740,235,"0.5",161301,38,"0.24"
