"year_week","start_date","end_date","region_name","region_code","lat","long","number_healthcare_workers","number_cases","population","incidence","cases_0-4","inc_0-4","cases_5-14","inc_5-14","cases_15-64","inc_15-64","cases_65+","inc_65+"
"2019-44",2019-10-28,2019-11-03,"Piedmont",1,45,8,44,123,60417,"2.04",20,"3.94",14,"1.61",73,"2.27",16,"1.11"
"2019-44",2019-10-28,2019-11-03,"Aosta Valley",2,46,7,0,0,0,"0",0,"0",0,"0",0,"0",0,"0"
"2019-44",2019-10-28,2019-11-03,"Lombardy",3,45,9,99,261,130485,"2",42,"4.51",15,"0.69",175,"2.47",29,"1.01"
"2019-44",2019-10-28,2019-11-03,"AP Bolzano",21,46,11,3,3,4154,"0.72",0,"0",0,"0",2,"0.92",1,"1.4"
"2019-44",2019-10-28,2019-11-03,"AP Trento",22,46,11,9,30,12327,"2.43",6,"7.59",0,"0",18,"2.72",6,"2.31"
"2019-44",2019-10-28,2019-11-03,"Veneto",5,45,12,64,72,83240,"0.86",0,"0",4,"0.43",53,"1.06",15,"0.71"
"2019-44",2019-10-28,2019-11-03,"Friuli-Venezia Giulia",6,46,14,10,11,11919,"0.92",0,"0",0,"0",9,"1.85",2,"0.8"
"2019-44",2019-10-28,2019-11-03,"Liguria",7,44,9,15,14,17851,"0.78",1,"0.86",1,"0.39",10,"1.08",2,"0.41"
"2019-44",2019-10-28,2019-11-03,"Emilia Romagna",8,44,11,49,80,60002,"1.33",19,"3.9",9,"0.77",44,"1.47",8,"0.6"
"2019-44",2019-10-28,2019-11-03,"Tuscany",9,44,11,39,97,65087,"1.49",20,"9.92",14,"2.61",55,"1.48",8,"0.39"
"2019-44",2019-10-28,2019-11-03,"Umbria",10,43,12,4,0,4574,"0",0,"0",0,"0",0,"0",0,"0"
"2019-44",2019-10-28,2019-11-03,"Marche",11,44,14,10,2,11165,"0.18",0,"0",0,"0",1,"0.26",1,"0.67"
"2019-44",2019-10-28,2019-11-03,"Lazio",12,42,12,97,133,124613,"1.07",5,"1.03",8,"0.63",97,"1.24",23,"0.79"
