"Region","Age","Vaccination coverage"
"Piedmont","<5","2.7"
"Aosta Valley","<5","3"
"Lombardy","<5","3.7"
"AP Bolzano","<5","2.6"
"AP Trento","<5","2.8"
"Veneto","<5","4"
"Friuli-Venezia Giulia","<5","2.5"
"Liguria","<5","4.4"
"Emilia-Romagna","<5","5.1"
"Tuscany","<5","11"
"Umbria","<5","2.4"
"Marche","<5","4.5"
"Lazio","<5","3.1"
"Abruzzo","<5","8.1"
"Molise","<5","7.1"
"Campania","<5","9.3"
"Apulia","<5","13.7"
"Basilicata","<5","3"
"Calabria","<5","4.9"
"Sicily","<5","5"
"Sardinia","<5","7.6"
"Italy","<5","5.8"
"Piedmont","5_14","2.2"
"Aosta Valley","5_14","2.1"
"Lombardy","5_14","3"
"AP Bolzano","5_14","1.8"
"AP Trento","5_14","2.4"
"Veneto","5_14","3.5"
"Friuli-Venezia Giulia","5_14","2.4"
"Liguria","5_14","6.5"
"Emilia-Romagna","5_14","5.4"
"Tuscany","5_14","7.2"
"Umbria","5_14","1.9"
"Marche","5_14","3.9"
"Lazio","5_14","3.8"
"Abruzzo","5_14","5.7"
"Molise","5_14","6"
"Campania","5_14","6.1"
"Apulia","5_14","9.8"
"Basilicata","5_14","3.4"
"Calabria","5_14","3"
"Sicily","5_14","4.2"
"Sardinia","5_14","5.7"
"Italy","5_14","4.7"
"Piedmont","15_24","1.8"
"Aosta Valley","15_24","1.6"
"Lombardy","15_24","1.6"
"AP Bolzano","15_24","1.1"
"AP Trento","15_24","0.9"
"Veneto","15_24","7.5"
"Friuli-Venezia Giulia","15_24","1.8"
"Liguria","15_24","3.4"
"Emilia-Romagna","15_24","4.3"
"Tuscany","15_24","4.2"
"Umbria","15_24","1.9"
"Marche","15_24","2.4"
"Lazio","15_24","3.1"
"Abruzzo","15_24","2.8"
"Molise","15_24","4.3"
"Campania","15_24","3.3"
"Apulia","15_24","5"
"Basilicata","15_24","1.9"
"Calabria","15_24","2.9"
"Sicily","15_24","3"
"Sardinia","15_24","3.4"
"Italy","15_24","2.8"
"Piedmont","25_64","6.5"
"Aosta Valley","25_64","8.5"
"Lombardy","25_64","5.9"
"AP Bolzano","25_64","5.1"
"AP Trento","25_64","5"
"Veneto","25_64","7.5"
"Friuli-Venezia Giulia","25_64","7.9"
"Liguria","25_64","9.7"
"Emilia-Romagna","25_64","11.9"
"Tuscany","25_64","10.6"
"Umbria","25_64","9.9"
"Marche","25_64","8.8"
"Lazio","25_64","10.7"
"Abruzzo","25_64","7.5"
"Molise","25_64","13.3"
"Campania","25_64","11.6"
"Apulia","25_64","11.4"
"Basilicata","25_64","12.2"
"Calabria","25_64","6.7"
"Sicily","25_64","11"
"Sardinia","25_64","7.4"
"Italy","25_64","8.4"
"Piedmont",">= 65","58.8"
"Aosta Valley",">= 65","63.1"
"Lombardy",">= 65","64"
"AP Bolzano",">= 65","55.2"
"AP Trento",">= 65","67.6"
"Veneto",">= 65","73.2"
"Friuli-Venezia Giulia",">= 65","72.1"
"Liguria",">= 65","65.3"
"Emilia-Romagna",">= 65","75.1"
"Tuscany",">= 65","67.6"
"Umbria",">= 65","65.9"
"Marche",">= 65","68"
"Lazio",">= 65","73.3"
"Abruzzo",">= 65","69.9"
"Molise",">= 65","71.4"
"Campania",">= 65","72.9"
"Apulia",">= 65","75.4"
"Basilicata",">= 65","64.5"
"Calabria",">= 65","66.3"
"Sicily",">= 65","67.5"
"Sardinia",">= 65","56.1"
"Italy",">= 65","68.3"
"Piedmont","Total","17.2"
"Aosta Valley","Total","18"
"Lombardy","Total","16.2"
"AP Bolzano","Total","12.4"
"AP Trento","Total","15.8"
"Veneto","Total","19.4"
"Friuli-Venezia Giulia","Total","21"
"Liguria","Total","24.1"
"Emilia-Romagna","Total","24.8"
"Tuscany","Total","22.9"
"Umbria","Total","21.2"
"Marche","Total","20.8"
"Lazio","Total","20.7"
"Abruzzo","Total","20"
"Molise","Total","24"
"Campania","Total","18.9"
"Apulia","Total","21.3"
"Basilicata","Total","19.9"
"Calabria","Total","16.4"
"Sicily","Total","18.9"
"Sardinia","Total","15.1"
"Italy","Total","19.4"
