"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2017-42",2017-10-16,2017-10-22,1040,1194,1339814,"0.89",79104,194,"2.45",179598,206,"1.15",787781,596,"0.76",293331,198,"0.68"
"2017-43",2017-10-23,2017-10-29,1046,1147,1347928,"0.85",79104,180,"2.28",179722,150,"0.83",793305,659,"0.83",295797,158,"0.53"
"2017-44",2017-10-30,2017-11-05,1045,1273,1345992,"0.95",78551,176,"2.24",179301,161,"0.9",792099,730,"0.92",296041,206,"0.7"
"2017-45",2017-11-06,2017-11-12,1052,1680,1356139,"1.24",79060,219,"2.77",180453,187,"1.04",798676,1038,"1.3",297950,236,"0.79"
"2017-46",2017-11-13,2017-11-19,1069,2204,1379471,"1.6",81208,350,"4.31",185797,355,"1.91",810499,1235,"1.52",301967,264,"0.87"
"2017-47",2017-11-20,2017-11-26,1068,2553,1378704,"1.85",80868,358,"4.43",184670,380,"2.06",810639,1496,"1.85",302527,319,"1.05"
"2017-48",2017-11-27,2017-12-03,1072,3294,1383958,"2.38",80447,497,"6.18",184109,562,"3.05",814990,1846,"2.27",304412,389,"1.28"
"2017-49",2017-12-04,2017-12-10,1071,4305,1382389,"3.11",79978,583,"7.29",182981,778,"4.25",814770,2393,"2.94",304660,551,"1.81"
"2017-50",2017-12-11,2017-12-17,1074,6571,1386974,"4.74",80367,949,"11.81",183710,1304,"7.1",817018,3613,"4.42",305879,705,"2.3"
"2017-51",2017-12-18,2017-12-24,1076,10017,1389974,"7.21",80817,1504,"18.61",184548,2328,"12.61",818437,5109,"6.24",306172,1076,"3.51"
"2017-52",2017-12-25,2017-12-31,1063,15720,1372341,"11.45",79179,2158,"27.25",181683,3127,"17.21",809043,8507,"10.51",302436,1928,"6.37"
"2018-01",2018-01-01,2018-01-07,1062,18925,1371803,"13.8",78312,2225,"28.41",180375,2874,"15.93",810749,11243,"13.87",302367,2583,"8.54"
"2018-02",2018-01-08,2018-01-14,1073,20407,1385719,"14.73",80149,2623,"32.73",183927,3390,"18.43",816595,11836,"14.49",305048,2558,"8.39"
"2018-03",2018-01-15,2018-01-21,1069,19155,1380695,"13.87",80149,3271,"40.81",183811,4221,"22.96",813118,9641,"11.86",303617,2022,"6.66"
"2018-04",2018-01-22,2018-01-28,1061,17390,1370445,"12.69",79863,3277,"41.03",182773,4166,"22.79",806336,8326,"10.33",301473,1621,"5.38"
"2018-05",2018-01-29,2018-02-04,1052,14555,1357527,"10.72",79516,2667,"33.54",182068,3433,"18.86",797554,7153,"8.97",298389,1302,"4.36"
"2018-06",2018-02-05,2018-02-11,1041,12028,1341635,"8.97",79635,2286,"28.71",181876,2697,"14.83",785609,5943,"7.56",294515,1102,"3.74"
"2018-07",2018-02-12,2018-02-18,1031,9464,1328953,"7.12",78589,1668,"21.22",180251,2044,"11.34",778710,4825,"6.2",291403,927,"3.18"
"2018-08",2018-02-19,2018-02-25,1018,8181,1310756,"6.24",77142,1310,"16.98",177519,1666,"9.38",768360,4366,"5.68",287735,839,"2.92"
"2018-09",2018-02-26,2018-03-04,1005,6143,1294863,"4.74",75848,908,"11.97",174247,1027,"5.89",759569,3576,"4.71",285199,632,"2.22"
"2018-10",2018-03-05,2018-03-11,991,4630,1277805,"3.62",74143,632,"8.52",171325,681,"3.97",750349,2799,"3.73",281988,518,"1.84"
"2018-11",2018-03-12,2018-03-18,973,3299,1256023,"2.63",70961,434,"6.12",164778,478,"2.9",741416,1994,"2.69",278868,393,"1.41"
"2018-12",2018-03-19,2018-03-25,955,2654,1233288,"2.15",68627,317,"4.62",160903,358,"2.22",729577,1660,"2.28",274181,319,"1.16"
"2018-13",2018-03-26,2018-04-01,921,2053,1189607,"1.73",64025,233,"3.64",151021,231,"1.53",708180,1243,"1.76",266381,346,"1.3"
"2018-14",2018-04-02,2018-04-08,899,1536,1163184,"1.32",61293,159,"2.59",145436,195,"1.34",695531,913,"1.31",260924,269,"1.03"
"2018-15",2018-04-09,2018-04-15,849,1223,1099045,"1.11",56052,140,"2.5",132930,157,"1.18",662159,756,"1.14",247904,170,"0.69"
"2018-16",2018-04-16,2018-04-22,774,894,1003664,"0.89",50219,116,"2.31",117835,133,"1.13",607727,488,"0.8",227883,157,"0.69"
"2018-17",2018-04-23,2018-04-29,661,548,857944,"0.64",42017,60,"1.43",96551,69,"0.71",524056,329,"0.63",195320,90,"0.46"
