"Region","Age","Vaccine doses","Vaccination coverage"
"Piedmont","6-23m",1604,"3"
"Aosta Valley","6-23m",48,"3.1"
"Lombardy","6-23m",13500,"9.7"
"AP Bolzano","6-23m",54,"0.5"
"AP Trento","6-23m",919,"11.1"
"Veneto","6-23m",4220,"6.4"
"Friuli-Venezia Giulia","6-23m",735,"4.9"
"Liguria","6-23m",2278,"13"
"Emilia-Romagna","6-23m",1463,"2.4"
"Tuscany","6-23m",4196,"9.3"
"Umbria","6-23m",582,"5.5"
"Marche","6-23m",987,"5.3"
"Lazio","6-23m",6239,"8.3"
"Abruzzo","6-23m",380,"2.3"
"Molise","6-23m",118,"3.5"
"Campania","6-23m",5959,"6.8"
"Apulia","6-23m",8668,"16.4"
"Basilicata","6-23m",302,"4.4"
"Calabria","6-23m",917,"3.4"
"Sicily","6-23m",2756,"3.7"
"Sardinia","6-23m",222,"1.3"
"Italy","6-23m",56147,"7"
"Piedmont","2-4y",5777,"6.5"
"Aosta Valley","2-4y",265,"10.2"
"Lombardy","2-4y",62947,"27.1"
"AP Bolzano","2-4y",260,"1.6"
"AP Trento","2-4y",2084,"15.6"
"Veneto","2-4y",10865,"10.1"
"Friuli-Venezia Giulia","2-4y",3031,"12.6"
"Liguria","2-4y",5882,"20.9"
"Emilia-Romagna","2-4y",4218,"4.3"
"Tuscany","2-4y",17719,"23.4"
"Umbria","2-4y",2811,"16"
"Marche","2-4y",2468,"8"
"Lazio","2-4y",28967,"22.4"
"Abruzzo","2-4y",2230,"8.2"
"Molise","2-4y",953,"16.3"
"Campania","2-4y",24462,"17"
"Apulia","2-4y",36044,"41.6"
"Basilicata","2-4y",1307,"11.6"
"Calabria","2-4y",5088,"11.3"
"Sicily","2-4y",13456,"11.2"
"Sardinia","2-4y",683,"2.4"
"Italy","2-4y",231517,"17.4"
"Piedmont","5_8",5476,"4"
"Aosta Valley","5_8",249,"6.2"
"Lombardy","5_8",58561,"16.8"
"AP Bolzano","5_8",231,"1"
"AP Trento","5_8",1716,"8.7"
"Veneto","5_8",10011,"6.2"
"Friuli-Venezia Giulia","5_8",2468,"6.7"
"Liguria","5_8",7420,"17.2"
"Emilia-Romagna","5_8",5535,"3.7"
"Tuscany","5_8",18565,"16.1"
"Umbria","5_8",2442,"9"
"Marche","5_8",3888,"8.1"
"Lazio","5_8",23719,"12"
"Abruzzo","5_8",3185,"7.7"
"Molise","5_8",873,"10.2"
"Campania","5_8",34794,"17"
"Apulia","5_8",36308,"28.1"
"Basilicata","5_8",1723,"10.7"
"Calabria","5_8",6861,"10.7"
"Sicily","5_8",17130,"10"
"Sardinia","5_8",758,"1.7"
"Italy","5_8",241913,"12.2"
"Piedmont","9_14",4264,"1.9"
"Aosta Valley","9_14",119,"1.7"
"Lombardy","9_14",28595,"4.9"
"AP Bolzano","9_14",249,"0.7"
"AP Trento","9_14",898,"2.7"
"Veneto","9_14",7046,"2.6"
"Friuli-Venezia Giulia","9_14",832,"1.3"
"Liguria","9_14",3878,"5.2"
"Emilia-Romagna","9_14",6925,"2.8"
"Tuscany","9_14",14370,"7.2"
"Umbria","9_14",1759,"3.8"
"Marche","9_14",2069,"2.5"
"Lazio","9_14",12757,"3.9"
"Abruzzo","9_14",1857,"2.7"
"Molise","9_14",504,"3.6"
"Campania","9_14",18543,"5.3"
"Apulia","9_14",27463,"12.4"
"Basilicata","9_14",1008,"3.6"
"Calabria","9_14",2438,"2.3"
"Sicily","9_14",9163,"3.2"
"Sardinia","9_14",1634,"2.1"
"Italy","9_14",146371,"4.4"
"Piedmont","15_17",1141,"1"
"Aosta Valley","15_17",27,"0.8"
"Lombardy","15_17",3439,"1.2"
"AP Bolzano","15_17",80,"0.5"
"AP Trento","15_17",191,"1.1"
"Veneto","15_17",2284,"1.6"
"Friuli-Venezia Giulia","15_17",233,"0.7"
"Liguria","15_17",1279,"3.3"
"Emilia-Romagna","15_17",2736,"2.2"
"Tuscany","15_17",2849,"2.8"
"Umbria","15_17",322,"1.3"
"Marche","15_17",919,"2.2"
"Lazio","15_17",3569,"2.2"
"Abruzzo","15_17",705,"2"
"Molise","15_17",143,"1.9"
"Campania","15_17",8150,"4.3"
"Apulia","15_17",6038,"5.1"
"Basilicata","15_17",327,"2.2"
"Calabria","15_17",1288,"2.3"
"Sicily","15_17",6203,"4.1"
"Sardinia","15_17",848,"2.1"
"Italy","15_17",42771,"2.5"
"Piedmont","18_44",30763,"2.6"
"Aosta Valley","18_44",817,"2.4"
"Lombardy","18_44",103089,"3.5"
"AP Bolzano","18_44",2799,"1.6"
"AP Trento","18_44",5872,"3.6"
"Veneto","18_44",51361,"3.6"
"Friuli-Venezia Giulia","18_44",7797,"2.4"
"Liguria","18_44",24176,"6.1"
"Emilia-Romagna","18_44",73585,"5.7"
"Tuscany","18_44",40983,"3.9"
"Umbria","18_44",6979,"2.9"
"Marche","18_44",11781,"2.7"
"Lazio","18_44",83656,"4.9"
"Abruzzo","18_44",11552,"3.1"
"Molise","18_44",3052,"3.5"
"Campania","18_44",61010,"3.3"
"Apulia","18_44",94097,"7.8"
"Basilicata","18_44",4707,"2.9"
"Calabria","18_44",27399,"4.7"
"Sicily","18_44",75020,"5"
"Sardinia","18_44",16191,"3.6"
"Italy","18_44",736686,"4.2"
"Piedmont","45_64",132749,"10.1"
"Aosta Valley","45_64",3788,"9.6"
"Lombardy","45_64",280227,"9.1"
"AP Bolzano","45_64",9517,"6"
"AP Trento","45_64",16631,"10.2"
"Veneto","45_64",174427,"11.4"
"Friuli-Venezia Giulia","45_64",36171,"9.6"
"Liguria","45_64",86790,"18.3"
"Emilia-Romagna","45_64",220238,"16"
"Tuscany","45_64",145024,"12.7"
"Umbria","45_64",31541,"12.1"
"Marche","45_64",60147,"13.2"
"Lazio","45_64",298600,"16.6"
"Abruzzo","45_64",46190,"11.8"
"Molise","45_64",11564,"13"
"Campania","45_64",272395,"16.5"
"Apulia","45_64",232220,"19.8"
"Basilicata","45_64",20926,"12.7"
"Calabria","45_64",82428,"15.2"
"Sicily","45_64",259081,"18.4"
"Sardinia","45_64",55360,"10.8"
"Italy","45_64",2476014,"13.7"
"Piedmont",">= 65",617664,"55.4"
"Aosta Valley",">= 65",14992,"49.3"
"Lombardy",">= 65",1291843,"56"
"AP Bolzano",">= 65",38557,"36.1"
"AP Trento",">= 65",57453,"46.5"
"Veneto",">= 65",598479,"51.8"
"Friuli-Venezia Giulia",">= 65",192576,"60.3"
"Liguria",">= 65",242782,"55.8"
"Emilia-Romagna",">= 65",701662,"65.1"
"Tuscany",">= 65",557643,"58.4"
"Umbria",">= 65",156841,"68.8"
"Marche",">= 65",240110,"62.8"
"Lazio",">= 65",800198,"61.2"
