"Region","Age","Vaccine doses","Vaccination coverage"
"Abruzzo",">= 65",204397,"64.2"
"Molise",">= 65",38588,"50.7"
"Campania",">= 65",657253,"58.1"
"Apulia",">= 65",534060,"58.2"
"Basilicata",">= 65",90665,"68.5"
"Calabria",">= 65",269675,"62.9"
"Sicily",">= 65",692034,"63.7"
"Sardinia",">= 65",168276,"41.2"
"Italy",">= 65",8165748,"58.1"
"Piedmont","Total",799438,"18.8"
"Aosta Valley","Total",20305,"16.5"
"Lombardy","Total",1842201,"18.5"
"AP Bolzano","Total",51747,"9.7"
"AP Trento","Total",85764,"15.8"
"Veneto","Total",858693,"17.7"
"Friuli-Venezia Giulia","Total",243843,"20.4"
"Liguria","Total",374485,"24.8"
"Emilia-Romagna","Total",1016362,"22.9"
"Tuscany","Total",801349,"21.8"
"Umbria","Total",203277,"23.6"
"Marche","Total",322369,"21.6"
"Lazio","Total",1257705,"22"
"Abruzzo","Total",270496,"21.2"
"Molise","Total",55795,"19.2"
"Campania","Total",1082566,"19.4"
"Apulia","Total",974898,"24.9"
"Basilicata","Total",120965,"22.4"
"Calabria","Total",396094,"21.5"
"Sicily","Total",1074843,"22.4"
"Sardinia","Total",243972,"15.4"
"Italy","Total",12097167,"20.5"
