"data","codice_regione","denominazione_regione","codice_provincia","denominazione_provincia","sigla_provincia","lat","long","nuovi_casi","casi_totali"
2017-09-27,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-09-27,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-09-27,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,12
2017-09-27,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-09-27,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-09-27,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-09-27,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,2
2017-09-27,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-09-27,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-09-27,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-09-27,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-09-27,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-09-27,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-09-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,9
2017-09-27,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-10-04,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-10-04,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-10-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,13
2017-10-04,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-10-04,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-10-04,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-10-04,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,1,3
2017-10-04,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-10-04,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-10-04,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-10-04,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-10-04,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-10-04,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-10-04,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,10
2017-10-04,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-10-11,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-10-11,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-10-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,13
2017-10-11,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-10-11,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-10-11,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-10-11,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,3
2017-10-11,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-10-11,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-10-11,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-10-11,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-10-11,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-10-11,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-10-11,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,10
2017-10-11,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-10-18,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-10-18,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-10-18,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,13
2017-10-18,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-10-18,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-10-18,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-10-18,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,3
2017-10-18,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-10-18,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-10-18,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-10-18,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-10-18,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-10-18,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-10-18,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,10
2017-10-18,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-10-25,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-10-25,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-10-25,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,13
2017-10-25,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-10-25,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-10-25,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-10-25,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,3
2017-10-25,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-10-25,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-10-25,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-10-25,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-10-25,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-10-25,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-10-25,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,10
2017-10-25,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-11-02,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-11-02,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-11-02,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,13
2017-11-02,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-11-02,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-11-02,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-11-02,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,3
2017-11-02,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-11-02,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-11-02,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-11-02,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-11-02,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-11-02,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-11-02,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,10
2017-11-02,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2017-11-08,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,9
2017-11-08,3,"Lombardia",17,"Brescia","BS",45.53993052,10.21910323,0,1
2017-11-08,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,0,13
2017-11-08,3,"Lombardia",20,"Mantova","MN",45.15726772,10.79277363,0,1
2017-11-08,8,"Emilia-Romagna",36,"Modena","MO",44.64600009,10.92615487,0,11
2017-11-08,1,"Piemonte",3,"Novara","NO",45.44588506,8.621915884,0,1
2017-11-08,5,"Veneto",28,"Padova","PD",45.40692987,11.87608718,0,3
2017-11-08,3,"Lombardia",18,"Pavia","PV",45.18509264,9.160157191,0,3
2017-11-08,8,"Emilia-Romagna",33,"Piacenza","PC",45.05193462,9.692632596,0,1
2017-11-08,8,"Emilia-Romagna",39,"Ravenna","RA",44.41722493,12.19913936,0,1
2017-11-08,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,10
2017-11-08,5,"Veneto",29,"Rovigo","RO",45.07107289,11.79007,0,5
2017-11-08,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2017-11-08,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,10
2017-11-08,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,3
2018-06-27,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,2,2
2018-06-27,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,1,1
2018-06-27,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,1,1
2018-07-04,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,2,2
2018-07-04,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,2,2
2018-07-04,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,2
2018-07-04,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,1,1
2018-07-04,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1
2018-07-04,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,0,1
2018-07-11,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,0,2
2018-07-11,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,1,3
2018-07-11,8,"Emilia-Romagna",35,"Reggio nell'Emilia","RE",44.69735289,10.63007973,0,2
2018-07-11,5,"Veneto",26,"Treviso","TV",45.66754571,12.24507363,0,1
2018-07-11,5,"Veneto",27,"Venezia","VE",45.43490485,12.33845213,0,1
2018-07-11,5,"Veneto",23,"Verona","VR",45.43839046,10.99352685,1,2
2018-07-18,8,"Emilia-Romagna",37,"Bologna","BO",44.49436681,11.3417208,7,9
2018-07-18,8,"Emilia-Romagna",38,"Ferrara","FE",44.83599085,11.61868934,6,9
