"data_bulletin","region_name","region_code","lat","long","cases","cumulative"
2022-07-01,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-01,"Veneto",5,45.43490485,12.33845213,2,7
2022-07-05,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-05,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-05,"Campania",15,40.83956555,14.25084984,0,1
2022-07-05,"Emilia-Romagna",8,44.49436681,11.3417208,9,26
2022-07-05,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,1,4
2022-07-05,"Lazio",12,41.89277044,12.48366722,7,47
2022-07-05,"Liguria",7,44.41149315,8.9326992,1,1
2022-07-05,"Lombardia",3,45.46679409,9.190347404,17,126
2022-07-05,"Marche",11,43.61675973,13.5188753,0,0
2022-07-05,"Molise",14,41.55774754,14.65916051,0,0
2022-07-05,"Piemonte",1,45.0732745,7.680687483,0,5
2022-07-05,"Puglia",16,41.12559576,16.86736689,0,6
2022-07-05,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-05,"Sicilia",19,38.11569725,13.3623567,0,0
2022-07-05,"Toscana",9,43.76923077,11.25588885,1,3
2022-07-05,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-05,"PA Trento",22,46.06893511,11.12123097,0,1
2022-07-05,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-05,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-05,"Veneto",5,45.43490485,12.33845213,5,12
2022-07-08,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-08,"Calabria",18,38.90597598,16.59440194,0,0
2022-07-08,"Campania",15,40.83956555,14.25084984,0,1
2022-07-08,"Emilia-Romagna",8,44.49436681,11.3417208,5,31
2022-07-08,"Friuli-Venezia Giulia",6,45.6494354,13.76813649,0,4
2022-07-08,"Lazio",12,41.89277044,12.48366722,5,52
2022-07-08,"Liguria",7,44.41149315,8.9326992,0,1
2022-07-08,"Lombardia",3,45.46679409,9.190347404,9,135
2022-07-08,"Marche",11,43.61675973,13.5188753,1,1
2022-07-08,"Molise",14,41.55774754,14.65916051,0,0
2022-07-08,"Piemonte",1,45.0732745,7.680687483,1,6
2022-07-08,"Puglia",16,41.12559576,16.86736689,0,6
2022-07-08,"Sardegna",20,39.21531192,9.110616306,0,0
2022-07-08,"Sicilia",19,38.11569725,13.3623567,0,0
2022-07-08,"Toscana",9,43.76923077,11.25588885,0,3
2022-07-08,"PA Bolzano",21,46.49933453,11.35662422,0,1
2022-07-08,"PA Trento",22,46.06893511,11.12123097,0,1
2022-07-08,"Umbria",10,43.10675841,12.38824698,0,0
2022-07-08,"Valle d'Aosta",2,45.73750286,7.320149366,0,0
2022-07-08,"Veneto",5,45.43490485,12.33845213,1,13
2022-07-12,"Basilicata",17,40.63947052,15.80514834,0,0
2022-07-12,"Calabria",18,38.90597598,16.59440194,0,0
