"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2014-42",2014-10-13,2014-10-19,888,415,1170185,"0.35",74573,47,"0.63",145915,62,"0.42",695899,242,"0.35",253798,64,"0.25"
"2014-43",2014-10-20,2014-10-26,937,596,1239826,"0.48",78908,96,"1.22",153934,94,"0.61",734837,336,"0.46",272147,70,"0.26"
"2014-44",2014-10-27,2014-11-02,963,832,1277547,"0.65",79503,116,"1.46",156795,103,"0.66",759059,465,"0.61",282190,148,"0.52"
"2014-45",2014-11-03,2014-11-09,980,1040,1289699,"0.81",82303,164,"1.99",162922,137,"0.84",761019,584,"0.77",283455,155,"0.55"
"2014-46",2014-11-10,2014-11-16,986,1091,1288281,"0.85",85109,182,"2.14",166985,174,"1.04",751812,622,"0.83",284375,113,"0.4"
"2014-47",2014-11-17,2014-11-23,1001,1348,1305350,"1.03",84956,268,"3.15",167955,243,"1.45",763201,702,"0.92",289238,135,"0.47"
"2014-48",2014-11-24,2014-11-30,1001,1605,1302857,"1.23",80535,294,"3.65",165252,263,"1.59",769432,911,"1.18",287638,137,"0.48"
"2014-49",2014-12-01,2014-12-07,1013,1885,1326715,"1.42",84651,376,"4.44",169391,302,"1.78",777298,1039,"1.34",295375,168,"0.57"
"2014-50",2014-12-08,2014-12-14,1019,2326,1330494,"1.75",85905,472,"5.49",171167,463,"2.7",777980,1187,"1.53",295442,204,"0.69"
"2014-51",2014-12-15,2014-12-21,1002,2942,1308574,"2.25",84819,586,"6.91",169442,596,"3.52",764460,1507,"1.97",289853,253,"0.87"
"2014-52",2014-12-22,2014-12-28,978,3369,1280676,"2.63",81089,581,"7.16",161547,671,"4.15",752718,1790,"2.38",285322,327,"1.15"
"2015-01",2014-12-29,2015-01-04,968,5181,1265357,"4.09",79512,733,"9.22",158177,878,"5.55",745634,2921,"3.92",282034,649,"2.3"
"2015-02",2015-01-05,2015-01-11,1032,8292,1349399,"6.14",85988,963,"11.2",171904,1261,"7.34",791941,5157,"6.51",299566,911,"3.04"
"2015-03",2015-01-12,2015-01-18,1034,12096,1352350,"8.94",88072,2021,"22.95",174219,2522,"14.48",791161,6393,"8.08",298898,1160,"3.88"
"2015-04",2015-01-19,2015-01-25,1026,14601,1343495,"10.87",86822,2493,"28.71",172726,3614,"20.92",785556,7329,"9.33",298391,1165,"3.9"
"2015-05",2015-01-26,2015-02-01,1029,14253,1346764,"10.58",88634,2347,"26.48",174831,3572,"20.43",785336,7139,"9.09",297963,1195,"4.01"
"2015-06",2015-02-02,2015-02-08,1016,13289,1331269,"9.98",83769,1894,"22.61",169467,2951,"17.41",781917,7214,"9.23",296116,1230,"4.15"
"2015-07",2015-02-09,2015-02-15,1020,10971,1335114,"8.22",87453,1625,"18.58",171865,2420,"14.08",780665,5859,"7.51",295131,1067,"3.62"
"2015-08",2015-02-16,2015-02-22,1004,9059,1313972,"6.89",85746,1317,"15.36",170018,1965,"11.56",767459,4877,"6.35",290749,900,"3.1"
"2015-09",2015-02-23,2015-03-01,985,7079,1293391,"5.47",83723,972,"11.61",164131,1492,"9.09",758336,3921,"5.17",287201,694,"2.42"
"2015-10",2015-03-02,2015-03-08,972,5541,1273824,"4.35",82251,804,"9.77",161082,1129,"7.01",747037,3094,"4.14",283454,514,"1.81"
"2015-11",2015-03-09,2015-03-15,954,4669,1252074,"3.73",76480,585,"7.65",155967,927,"5.94",738369,2715,"3.68",281258,442,"1.57"
"2015-12",2015-03-16,2015-03-22,943,3974,1238646,"3.21",75111,491,"6.54",155408,791,"5.09",730815,2305,"3.15",277312,387,"1.4"
"2015-13",2015-03-23,2015-03-29,924,2974,1217884,"2.44",72428,380,"5.25",150092,560,"3.73",721605,1731,"2.4",273759,303,"1.11"
"2015-14",2015-03-30,2015-04-05,857,2148,1128669,"1.9",66564,284,"4.27",136265,390,"2.86",670746,1233,"1.84",255094,241,"0.94"
"2015-15",2015-04-06,2015-04-12,812,1589,1071439,"1.48",63670,214,"3.36",132772,250,"1.88",632724,937,"1.48",242273,188,"0.78"
"2015-16",2015-04-13,2015-04-19,761,1148,1001441,"1.15",60173,169,"2.81",123248,178,"1.44",592402,658,"1.11",225618,143,"0.63"
"2015-17",2015-04-20,2015-04-26,639,631,842408,"0.75",49829,92,"1.85",102411,122,"1.19",498642,330,"0.66",191526,87,"0.45"
