"Region","Age","Vaccination coverage"
"Campania",">= 65","56.7"
"Apulia",">= 65","57.4"
"Basilicata",">= 65","49.8"
"Calabria",">= 65","57.9"
"Sicily",">= 65","52.9"
"Sardinia",">= 65","41.6"
"Italy",">= 65","52"
"Piedmont","Total","14.6"
"Aosta Valley","Total","12.7"
"Lombardy","Total","12.1"
"AP Bolzano","Total","9"
"AP Trento","Total","13.9"
"Veneto","Total","15.8"
"Friuli-Venezia Giulia","Total","18.1"
"Liguria","Total","16.3"
"Emilia-Romagna","Total","16.2"
"Tuscany","Total","18.1"
"Umbria","Total","18.5"
"Marche","Total","15.4"
"Lazio","Total","14.9"
"Abruzzo","Total","13.7"
"Molise","Total","16.4"
"Campania","Total","15.3"
"Apulia","Total","18.1"
"Basilicata","Total","15.9"
"Calabria","Total","15.2"
"Sicily","Total","15.7"
"Sardinia","Total","12.5"
"Italy","Total","15.1"
