"Region","Age","Vaccination coverage"
"Apulia","18_44","4.4"
"Basilicata","18_44","1.7"
"Calabria","18_44","1.6"
"Sicily","18_44","3.2"
"Sardinia","18_44","3.2"
"Italy","18_44","3.1"
"Piedmont","45_64","8"
"Aosta Valley","45_64","7.3"
"Lombardy","45_64","5"
"AP Bolzano","45_64","4.7"
"AP Trento","45_64","8"
"Veneto","45_64","8.5"
"Friuli-Venezia Giulia","45_64","10.4"
"Liguria","45_64","10.4"
"Emilia-Romagna","45_64","11.4"
"Tuscany","45_64","11.2"
"Umbria","45_64","8.9"
"Marche","45_64","9.7"
"Lazio","45_64","11.1"
"Abruzzo","45_64","7.8"
"Molise","45_64","9.8"
"Campania","45_64","11.5"
"Apulia","45_64","12.9"
"Basilicata","45_64","8.7"
"Calabria","45_64","7.3"
"Sicily","45_64","14.4"
"Sardinia","45_64","8.9"
"Italy","45_64","9.6"
"Piedmont",">= 65","51"
"Aosta Valley",">= 65","45.4"
"Lombardy",">= 65","49.9"
"AP Bolzano",">= 65","32.5"
"AP Trento",">= 65","55.2"
"Veneto",">= 65","53.9"
"Friuli-Venezia Giulia",">= 65","60.7"
"Liguria",">= 65","53"
"Emilia-Romagna",">= 65","57.4"
"Tuscany",">= 65","56.4"
"Umbria",">= 65","64.3"
"Marche",">= 65","56.9"
"Lazio",">= 65","52.7"
"Abruzzo",">= 65","55.3"
"Molise",">= 65","65.4"
"Campania",">= 65","62.1"
"Apulia",">= 65","51.4"
"Basilicata",">= 65","60.7"
"Calabria",">= 65","61.8"
"Sicily",">= 65","59.4"
"Sardinia",">= 65","46.2"
"Italy",">= 65","54.6"
"Piedmont","Total","16.4"
"Aosta Valley","Total","13.8"
"Lombardy","Total","13.7"
"AP Bolzano","Total","8.2"
"AP Trento","Total","16"
"Veneto","Total","16.3"
"Friuli-Venezia Giulia","Total","20.3"
"Liguria","Total","19.9"
"Emilia-Romagna","Total","18.9"
"Tuscany","Total","20.1"
"Umbria","Total","19.8"
"Marche","Total","18.1"
"Lazio","Total","16.2"
"Abruzzo","Total","16.4"
"Molise","Total","20"
"Campania","Total","16.7"
"Apulia","Total","17.8"
"Basilicata","Total","17.3"
"Calabria","Total","16.3"
"Sicily","Total","18.1"
"Sardinia","Total","15.2"
"Italy","Total","16.8"
