"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.8"
"Aosta Valley","6-23m","0.3"
"Lombardy","6-23m","1.1"
"AP Bolzano","6-23m","0.3"
"AP Trento","6-23m","3.8"
"Veneto","6-23m","3.3"
"Friuli-Venezia Giulia","6-23m","0.7"
"Liguria","6-23m","1.8"
"Emilia-Romagna","6-23m","1.8"
"Tuscany","6-23m","14.3"
"Umbria","6-23m","0.4"
"Marche","6-23m","1.3"
"Lazio","6-23m","1.3"
"Abruzzo","6-23m","1.3"
"Molise","6-23m","0.5"
"Campania","6-23m","2.6"
"Apulia","6-23m","7.5"
"Basilicata","6-23m","1.4"
"Calabria","6-23m","1.6"
"Sicily","6-23m","1.7"
"Sardinia","6-23m","2.2"
"Italy","6-23m","2.8"
"Piedmont","2-4y","1.5"
"Aosta Valley","2-4y","0.8"
"Lombardy","2-4y","1.9"
"AP Bolzano","2-4y","0.5"
"AP Trento","2-4y","3.5"
"Veneto","2-4y","4.3"
"Friuli-Venezia Giulia","2-4y","1.7"
"Liguria","2-4y","4.2"
"Emilia-Romagna","2-4y","3.5"
"Tuscany","2-4y","13.5"
"Umbria","2-4y","1"
"Marche","2-4y","2.2"
"Lazio","2-4y","2.3"
"Abruzzo","2-4y","2.4"
"Molise","2-4y","0.7"
"Campania","2-4y","4.7"
"Apulia","2-4y","16.2"
"Basilicata","2-4y","1.5"
"Calabria","2-4y","2.3"
"Sicily","2-4y","2.1"
"Sardinia","2-4y","2.8"
"Italy","2-4y","4.2"
"Piedmont","5_8","1.2"
"Aosta Valley","5_8","0.7"
"Lombardy","5_8","1.4"
"AP Bolzano","5_8","0.5"
"AP Trento","5_8","3.3"
"Veneto","5_8","2.8"
"Friuli-Venezia Giulia","5_8","1.1"
"Liguria","5_8","2.9"
"Emilia-Romagna","5_8","2.7"
"Tuscany","5_8","9.2"
"Umbria","5_8","0.8"
"Marche","5_8","1.6"
"Lazio","5_8","1.7"
"Abruzzo","5_8","1.5"
"Molise","5_8","0.6"
"Campania","5_8","4"
"Apulia","5_8","10.5"
"Basilicata","5_8","1.4"
"Calabria","5_8","2"
"Sicily","5_8","1.8"
"Sardinia","5_8","4.9"
"Italy","5_8","3.1"
"Piedmont","9_14","1"
"Aosta Valley","9_14","0.5"
"Lombardy","9_14","1"
"AP Bolzano","9_14","0.6"
"AP Trento","9_14","2.1"
"Veneto","9_14","1.6"
"Friuli-Venezia Giulia","9_14","0.9"
"Liguria","9_14","1.9"
"Emilia-Romagna","9_14","2"
"Tuscany","9_14","5"
"Umbria","9_14","0.6"
"Marche","9_14","1.1"
"Lazio","9_14","1.3"
"Abruzzo","9_14","1"
"Molise","9_14","0.8"
"Campania","9_14","2.5"
"Apulia","9_14","5.4"
"Basilicata","9_14","1.1"
"Calabria","9_14","1.4"
"Sicily","9_14","1.5"
"Sardinia","9_14","2.1"
"Italy","9_14","1.9"
"Piedmont","15_17","1"
"Aosta Valley","15_17","0.9"
"Lombardy","15_17","0.8"
"AP Bolzano","15_17","0.5"
"AP Trento","15_17","1.1"
"Veneto","15_17","1.5"
"Friuli-Venezia Giulia","15_17","1.3"
"Liguria","15_17","2.7"
"Emilia-Romagna","15_17","2"
"Tuscany","15_17","2.9"
"Umbria","15_17","0.9"
"Marche","15_17","1.3"
"Lazio","15_17","1.4"
"Abruzzo","15_17","1.2"
"Molise","15_17","1.1"
"Campania","15_17","3.5"
"Apulia","15_17","3.1"
"Basilicata","15_17","1.4"
"Calabria","15_17","2.2"
"Sicily","15_17","2.5"
"Sardinia","15_17","2.3"
"Italy","15_17","1.9"
"Piedmont","18_44","2.5"
"Aosta Valley","18_44","1.9"
"Lombardy","18_44","2.2"
"AP Bolzano","18_44","1.3"
"AP Trento","18_44","3.3"
"Veneto","18_44","3.1"
"Friuli-Venezia Giulia","18_44","3.8"
"Liguria","18_44","4.8"
"Emilia-Romagna","18_44","4.4"
"Tuscany","18_44","4.2"
"Umbria","18_44","2.2"
"Marche","18_44","3"
"Lazio","18_44","3.4"
"Abruzzo","18_44","2.3"
"Molise","18_44","2.6"
"Campania","18_44","3.2"
