"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.2"
"Aosta Valley","6-23m","0"
"Lombardy","6-23m","0.4"
"AP Bolzano","6-23m","0.4"
"AP Trento","6-23m","1"
"Veneto","6-23m","1.1"
"Friuli-Venezia Giulia","6-23m","0.2"
"Liguria","6-23m","1"
"Emilia-Romagna","6-23m","0.7"
"Tuscany","6-23m","5.6"
"Umbria","6-23m","0.1"
"Marche","6-23m","0.8"
"Lazio","6-23m","0.6"
"Abruzzo","6-23m","0.8"
"Molise","6-23m","0.1"
"Campania","6-23m","2.6"
"Apulia","6-23m","6.3"
"Basilicata","6-23m","0"
"Calabria","6-23m","0.9"
"Sicily","6-23m","0.7"
"Sardinia","6-23m","1.4"
"Italy","6-23m","1.5"
"Piedmont","2-4y","0.5"
"Aosta Valley","2-4y","0.5"
"Lombardy","2-4y","0.7"
"AP Bolzano","2-4y","0.6"
"AP Trento","2-4y","1.5"
"Veneto","2-4y","1.9"
"Friuli-Venezia Giulia","2-4y","0.2"
"Liguria","2-4y","2"
"Emilia-Romagna","2-4y","1.5"
"Tuscany","2-4y","8.8"
"Umbria","2-4y","0.3"
"Marche","2-4y","1.7"
"Lazio","2-4y","1.5"
"Abruzzo","2-4y","1.5"
"Molise","2-4y","0.9"
"Campania","2-4y","4"
"Apulia","2-4y","10.4"
"Basilicata","2-4y","1.8"
"Calabria","2-4y","1.4"
"Sicily","2-4y","1"
"Sardinia","2-4y","3.1"
"Italy","2-4y","2.6"
"Piedmont","5_8","0.8"
"Aosta Valley","5_8","0.5"
"Lombardy","5_8","0.8"
"AP Bolzano","5_8","0.6"
"AP Trento","5_8","1.3"
"Veneto","5_8","2.1"
"Friuli-Venezia Giulia","5_8","0.1"
"Liguria","5_8","1.7"
"Emilia-Romagna","5_8","1.9"
"Tuscany","5_8","7"
"Umbria","5_8","0.5"
"Marche","5_8","2"
"Lazio","5_8","2"
"Abruzzo","5_8","2"
"Molise","5_8","0.8"
"Campania","5_8","4.7"
"Apulia","5_8","8.5"
"Basilicata","5_8","2.3"
"Calabria","5_8","1.6"
"Sicily","5_8","1"
"Sardinia","5_8","3.2"
"Italy","5_8","2.6"
"Piedmont","9_14","1"
"Aosta Valley","9_14","0.7"
"Lombardy","9_14","0.8"
"AP Bolzano","9_14","0.5"
"AP Trento","9_14","1.4"
"Veneto","9_14","1.8"
"Friuli-Venezia Giulia","9_14","1"
"Liguria","9_14","1.6"
"Emilia-Romagna","9_14","1.9"
"Tuscany","9_14","3.9"
"Umbria","9_14","0.6"
"Marche","9_14","1.6"
"Lazio","9_14","1.9"
"Abruzzo","9_14","1.3"
"Molise","9_14","0.7"
"Campania","9_14","3.2"
"Apulia","9_14","5.6"
"Basilicata","9_14","1.4"
"Calabria","9_14","1.3"
"Sicily","9_14","1.1"
"Sardinia","9_14","2.5"
"Italy","9_14","2"
"Piedmont","15_17","1"
"Aosta Valley","15_17","0.9"
"Lombardy","15_17","0.7"
"AP Bolzano","15_17","0.5"
"AP Trento","15_17","0.9"
"Veneto","15_17","1.6"
"Friuli-Venezia Giulia","15_17","1.1"
