"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.7"
"Aosta Valley","6-23m","0.2"
"Lombardy","6-23m","1.2"
"AP Bolzano","6-23m","2.1"
"AP Trento","6-23m","0.9"
"Veneto","6-23m","1.5"
"Friuli-Venezia Giulia","6-23m","0.2"
"Liguria","6-23m","2.8"
"Emilia-Romagna","6-23m","1.1"
"Tuscany","6-23m","8.1"
"Umbria","6-23m","0.2"
"Marche","6-23m","1.4"
"Lazio","6-23m","0.9"
"Abruzzo","6-23m","2.2"
"Molise","6-23m","4.8"
"Campania","6-23m","4"
"Apulia","6-23m","11.5"
"Basilicata","6-23m","2.9"
"Calabria","6-23m","6.9"
"Sicily","6-23m","0.6"
"Sardinia","6-23m","9"
"Italy","6-23m","2.9"
"Piedmont","2-4y","1.1"
"Aosta Valley","2-4y","1.7"
"Lombardy","2-4y","0.8"
"AP Bolzano","2-4y","1.4"
"AP Trento","2-4y","2.2"
"Veneto","2-4y","3"
"Friuli-Venezia Giulia","2-4y","0.2"
"Liguria","2-4y","4.8"
"Emilia-Romagna","2-4y","2.3"
"Tuscany","2-4y","13.9"
"Umbria","2-4y","0.6"
"Marche","2-4y","3.3"
"Lazio","2-4y","3"
"Abruzzo","2-4y","2.9"
"Molise","2-4y","8.5"
"Campania","2-4y","6"
"Apulia","2-4y","16"
"Basilicata","2-4y","2.7"
"Calabria","2-4y","10.1"
"Sicily","2-4y","2.1"
"Sardinia","2-4y","8.2"
"Italy","2-4y","4.5"
"Piedmont","5_8","1.4"
"Aosta Valley","5_8","1.9"
"Lombardy","5_8","1.2"
"AP Bolzano","5_8","1.5"
"AP Trento","5_8","2.2"
"Veneto","5_8","3.1"
"Friuli-Venezia Giulia","5_8","0.1"
"Liguria","5_8","4.1"
"Emilia-Romagna","5_8","3.1"
"Tuscany","5_8","10.9"
"Umbria","5_8","0.8"
"Marche","5_8","3.5"
"Lazio","5_8","3.4"
"Abruzzo","5_8","3.6"
"Molise","5_8","7.7"
"Campania","5_8","6.6"
"Apulia","5_8","11.3"
"Basilicata","5_8","3.4"
"Calabria","5_8","10.3"
"Sicily","5_8","2.5"
"Sardinia","5_8","5.1"
"Italy","5_8","4.3"
"Piedmont","9_14","1.3"
"Aosta Valley","9_14","1.3"
"Lombardy","9_14","1.9"
"AP Bolzano","9_14","1.1"
"AP Trento","9_14","1.7"
"Veneto","9_14","2.8"
"Friuli-Venezia Giulia","9_14","1.4"
"Liguria","9_14","3.5"
"Emilia-Romagna","9_14","2.8"
"Tuscany","9_14","5.6"
"Umbria","9_14","1"
"Marche","9_14","2.4"
"Lazio","9_14","3.1"
"Abruzzo","9_14","2.3"
"Molise","9_14","4.6"
"Campania","9_14","4.4"
"Apulia","9_14","12.8"
"Basilicata","9_14","2.1"
"Calabria","9_14","9.6"
"Sicily","9_14","1.8"
"Sardinia","9_14","3.7"
"Italy","9_14","3.8"
"Piedmont","15_17","1.7"
"Aosta Valley","15_17","0.8"
"Lombardy","15_17","0.8"
"AP Bolzano","15_17","0.9"
"AP Trento","15_17","1.4"
"Veneto","15_17","2.3"
"Friuli-Venezia Giulia","15_17","1.3"
"Liguria","15_17","3.7"
"Emilia-Romagna","15_17","2.3"
"Tuscany","15_17","3.5"
"Umbria","15_17","0.9"
"Marche","15_17","2.5"
"Lazio","15_17","2.6"
"Abruzzo","15_17","1.3"
"Molise","15_17","4.5"
"Campania","15_17","4.9"
"Apulia","15_17","10.1"
"Basilicata","15_17","3.2"
"Calabria","15_17","5"
"Sicily","15_17","4.5"
"Sardinia","15_17","7.6"
"Italy","15_17","3.5"
"Piedmont","18_44","1.9"
"Aosta Valley","18_44","1.8"
"Lombardy","18_44","0.9"
"AP Bolzano","18_44","1.6"
"AP Trento","18_44","2.1"
"Veneto","18_44","3.2"
"Friuli-Venezia Giulia","18_44","2.6"
"Liguria","18_44","5"
"Emilia-Romagna","18_44","3.4"
"Tuscany","18_44","3.7"
"Umbria","18_44","2.1"
"Marche","18_44","3"
"Lazio","18_44","4.3"
"Abruzzo","18_44","1.4"
"Molise","18_44","5.2"
"Campania","18_44","3.7"
"Apulia","18_44","5.7"
"Basilicata","18_44","4.8"
"Calabria","18_44","10"
"Sicily","18_44","4.9"
"Sardinia","18_44","8.9"
"Italy","18_44","3.6"
"Piedmont","45_64","8.9"
"Aosta Valley","45_64","9.1"
"Lombardy","45_64","4.4"
"AP Bolzano","45_64","6.7"
"AP Trento","45_64","8.4"
"Veneto","45_64","11.7"
"Friuli-Venezia Giulia","45_64","11.2"
"Liguria","45_64","16.1"
"Emilia-Romagna","45_64","12.7"
"Tuscany","45_64","14.6"
"Umbria","45_64","10.8"
"Marche","45_64","10.7"
"Lazio","45_64","15.7"
"Abruzzo","45_64","9.7"
"Molise","45_64","20.3"
"Campania","45_64","16"
"Apulia","45_64","19.4"
"Basilicata","45_64","16.7"
"Calabria","45_64","19.5"
"Sicily","45_64","14.5"
"Sardinia","45_64","6.7"
"Italy","45_64","12.2"
"Piedmont",">= 65","57.3"
"Aosta Valley",">= 65","55.6"
"Lombardy",">= 65","54.2"
"AP Bolzano",">= 65","44.5"
"AP Trento",">= 65","61.8"
"Veneto",">= 65","67.8"
"Friuli-Venezia Giulia",">= 65","62.4"
"Liguria",">= 65","58"
"Emilia-Romagna",">= 65","63.4"
"Tuscany",">= 65","68.8"
"Umbria",">= 65","75.2"
"Marche",">= 65","63.9"
"Lazio",">= 65","64.1"
"Abruzzo",">= 65","60.9"
"Molise",">= 65","65.6"
"Campania",">= 65","68.8"
"Apulia",">= 65","71.7"
"Basilicata",">= 65","63.6"
"Calabria",">= 65","55.8"
"Sicily",">= 65","61.3"
"Sardinia",">= 65","59.6"
"Italy",">= 65","62.4"
"Piedmont","Total","16.4"
"Aosta Valley","Total","15"
"Lombardy","Total","12.6"
"AP Bolzano","Total","10.5"
"AP Trento","Total","15.2"
"Veneto","Total","18.2"
"Friuli-Venezia Giulia","Total","18.7"
"Liguria","Total","22.1"
"Emilia-Romagna","Total","19.2"
"Tuscany","Total","22.5"
"Umbria","Total","21.1"
"Marche","Total","18.7"
"Lazio","Total","18.9"
"Abruzzo","Total","16.5"
"Molise","Total","22.6"
"Campania","Total","17.5"
"Apulia","Total","22.5"
"Basilicata","Total","19.4"
"Calabria","Total","20.8"
"Sicily","Total","17.2"
"Sardinia","Total","17.5"
"Italy","Total","17.9"
