"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2015-42",2015-10-12,2015-10-18,821,425,1065225,"0.4",67338,75,"1.11",141542,60,"0.42",620444,228,"0.37",235901,62,"0.26"
"2015-43",2015-10-19,2015-10-25,928,604,1204096,"0.5",77442,112,"1.45",162187,82,"0.51",699419,330,"0.47",265048,80,"0.3"
"2015-44",2015-10-26,2015-11-01,956,842,1245366,"0.68",81550,156,"1.91",169195,108,"0.64",722511,469,"0.65",272110,109,"0.4"
"2015-45",2015-11-02,2015-11-08,974,966,1264970,"0.76",79453,183,"2.3",167503,140,"0.84",737462,528,"0.72",280552,115,"0.41"
"2015-46",2015-11-09,2015-11-15,987,1180,1343418,"0.88",79651,205,"2.57",169900,143,"0.84",750028,678,"0.9",343839,154,"0.45"
"2015-47",2015-11-16,2015-11-22,1002,1387,1358812,"1.02",81677,221,"2.71",173210,183,"1.06",757242,829,"1.09",346683,154,"0.44"
"2015-48",2015-11-23,2015-11-29,1003,1580,1357498,"1.16",83306,253,"3.04",177443,221,"1.25",751196,935,"1.24",345553,171,"0.49"
"2015-49",2015-11-30,2015-12-06,996,1632,1352768,"1.21",82136,253,"3.08",174257,242,"1.39",751566,941,"1.25",344809,196,"0.57"
"2015-50",2015-12-07,2015-12-13,1010,1978,1366123,"1.45",84190,298,"3.54",177045,254,"1.43",758217,1178,"1.55",346671,248,"0.72"
"2015-51",2015-12-14,2015-12-20,1014,2278,1369347,"1.66",86264,326,"3.78",182251,364,"2",755179,1339,"1.77",345653,249,"0.72"
"2015-52",2015-12-21,2015-12-27,972,2655,1258708,"2.11",79570,400,"5.03",168907,483,"2.86",732947,1450,"1.98",277284,322,"1.16"
"2015-53",2015-12-28,2016-01-03,967,2448,1309847,"1.87",77674,394,"5.07",165407,393,"2.38",730551,1375,"1.88",336215,286,"0.85"
"2016-01",2016-01-04,2016-01-10,1029,3329,1393405,"2.39",83606,401,"4.8",177735,484,"2.72",777647,1970,"2.53",354417,474,"1.34"
"2016-02",2016-01-11,2016-01-17,1026,3831,1388267,"2.76",86090,549,"6.38",182508,715,"3.92",770040,2150,"2.79",349629,417,"1.19"
"2016-03",2016-01-18,2016-01-24,1021,4990,1379740,"3.62",86365,925,"10.71",181944,1113,"6.12",762580,2536,"3.33",348851,416,"1.19"
"2016-04",2016-01-25,2016-01-31,1028,6580,1391906,"4.73",86636,1164,"13.44",182732,1901,"10.4",771131,3046,"3.95",351407,469,"1.33"
"2016-05",2016-02-01,2016-02-07,1017,7545,1379302,"5.47",84083,1444,"17.17",178636,2319,"12.98",767200,3241,"4.22",349383,541,"1.55"
"2016-06",2016-02-08,2016-02-14,1029,8425,1390518,"6.06",86493,1504,"17.39",182923,2659,"14.54",769507,3700,"4.81",351595,562,"1.6"
"2016-07",2016-02-15,2016-02-21,1018,8148,1381385,"5.9",84963,1504,"17.7",180053,2568,"14.26",767318,3466,"4.52",349051,610,"1.75"
"2016-08",2016-02-22,2016-02-28,1014,8448,1375255,"6.14",84799,1564,"18.44",180206,2700,"14.98",762908,3564,"4.67",347342,620,"1.78"
"2016-09",2016-02-29,2016-03-06,996,7960,1352617,"5.88",83274,1445,"17.35",176191,2563,"14.55",750930,3414,"4.55",342222,538,"1.57"
"2016-10",2016-03-07,2016-03-13,990,7835,1343169,"5.83",82522,1435,"17.39",176967,2593,"14.65",743148,3260,"4.39",340532,547,"1.61"
"2016-11",2016-03-14,2016-03-20,977,6639,1327280,"5",81420,1153,"14.16",173193,2054,"11.86",735297,2951,"4.01",337370,481,"1.43"
"2016-12",2016-03-21,2016-03-27,934,5370,1269573,"4.23",76818,885,"11.52",163097,1530,"9.38",704033,2510,"3.57",325625,445,"1.37"
"2016-13",2016-03-28,2016-04-03,926,4007,1261639,"3.18",73449,559,"7.61",159181,884,"5.55",703327,2116,"3.01",325682,448,"1.38"
"2016-14",2016-04-04,2016-04-10,911,2844,1233931,"2.3",75048,351,"4.68",159718,604,"3.78",681158,1551,"2.28",318007,338,"1.06"
"2016-15",2016-04-11,2016-04-17,883,2127,1146638,"1.85",70431,287,"4.07",150278,455,"3.03",671784,1145,"1.7",254145,240,"0.94"
"2016-16",2016-04-18,2016-04-24,813,1254,1051381,"1.19",65911,189,"2.87",141216,290,"2.05",611839,672,"1.1",232415,103,"0.44"
