"Region","Age","Vaccination coverage"
"Apulia","9_14","5.5"
"Basilicata","9_14","1.7"
"Calabria","9_14","1.5"
"Sicily","9_14","1.1"
"Sardinia","9_14","2.4"
"Italy","9_14","2.1"
"Piedmont","15_17","0.9"
"Aosta Valley","15_17","0.9"
"Lombardy","15_17","0.6"
"AP Bolzano","15_17","0.6"
"AP Trento","15_17","1.2"
"Veneto","15_17","1.4"
"Friuli-Venezia Giulia","15_17","1.1"
"Liguria","15_17","2.1"
"Emilia-Romagna","15_17","1.8"
"Tuscany","15_17","2.7"
"Umbria","15_17","0.8"
"Marche","15_17","1.4"
"Lazio","15_17","1.9"
"Abruzzo","15_17","1.5"
"Molise","15_17","1.9"
"Campania","15_17","5.1"
"Apulia","15_17","5.7"
"Basilicata","15_17","2.7"
"Calabria","15_17","2.7"
"Sicily","15_17","1.9"
"Sardinia","15_17","2.6"
"Italy","15_17","2.3"
"Piedmont","18_44","1.5"
"Aosta Valley","18_44","1.3"
"Lombardy","18_44","0.8"
"AP Bolzano","18_44","0.9"
"AP Trento","18_44","1.6"
"Veneto","18_44","2.5"
"Friuli-Venezia Giulia","18_44","2"
"Liguria","18_44","3.2"
"Emilia-Romagna","18_44","2.5"
"Tuscany","18_44","2.9"
"Umbria","18_44","1.7"
"Marche","18_44","2"
"Lazio","18_44","3.2"
"Abruzzo","18_44","1.5"
"Molise","18_44","2.7"
"Campania","18_44","3.5"
"Apulia","18_44","3.6"
"Basilicata","18_44","3.5"
"Calabria","18_44","2.6"
"Sicily","18_44","3.4"
"Sardinia","18_44","3.2"
"Italy","18_44","2.5"
"Piedmont","45_64","6.7"
"Aosta Valley","45_64","6.2"
"Lombardy","45_64","3.7"
"AP Bolzano","45_64","4.4"
"AP Trento","45_64","6.7"
"Veneto","45_64","8.3"
"Friuli-Venezia Giulia","45_64","8.6"
"Liguria","45_64","11.6"
"Emilia-Romagna","45_64","9.9"
"Tuscany","45_64","11"
"Umbria","45_64","9.2"
"Marche","45_64","8.5"
"Lazio","45_64","11.8"
"Abruzzo","45_64","6.7"
"Molise","45_64","12.6"
"Campania","45_64","14.6"
"Apulia","45_64","12.8"
"Basilicata","45_64","10.7"
"Calabria","45_64","9.6"
"Sicily","45_64","13.2"
"Sardinia","45_64","9.7"
"Italy","45_64","9.5"
"Piedmont",">= 65","51.1"
"Aosta Valley",">= 65","48.2"
"Lombardy",">= 65","48.6"
"AP Bolzano",">= 65","33.9"
"AP Trento",">= 65","55.8"
"Veneto",">= 65","58.5"
"Friuli-Venezia Giulia",">= 65","56.1"
"Liguria",">= 65","50.4"
"Emilia-Romagna",">= 65","57.2"
"Tuscany",">= 65","60.2"
"Umbria",">= 65","68.8"
"Marche",">= 65","57.5"
"Lazio",">= 65","56.8"
"Abruzzo",">= 65","54.6"
"Molise",">= 65","59.5"
"Campania",">= 65","61.3"
"Apulia",">= 65","61"
"Basilicata",">= 65","58"
"Calabria",">= 65","56.5"
"Sicily",">= 65","56.5"
"Sardinia",">= 65","46"
"Italy",">= 65","55.4"
"Piedmont","Total","14.7"
"Aosta Valley","Total","12.7"
"Lombardy","Total","11.7"
"AP Bolzano","Total","7.9"
"AP Trento","Total","13.8"
"Veneto","Total","15.7"
"Friuli-Venezia Giulia","Total","16.9"
"Liguria","Total","18.5"
"Emilia-Romagna","Total","17"
"Tuscany","Total","19.4"
"Umbria","Total","19.5"
"Marche","Total","16.5"
"Lazio","Total","16.5"
"Abruzzo","Total","14.7"
"Molise","Total","18.1"
"Campania","Total","16.4"
"Apulia","Total","17.8"
"Basilicata","Total","16.6"
"Calabria","Total","14.9"
"Sicily","Total","15.9"
"Sardinia","Total","13.8"
"Italy","Total","15.6"
