"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.2"
"Aosta Valley","6-23m","0.3"
"Lombardy","6-23m","0.4"
"AP Bolzano","6-23m","0.3"
"AP Trento","6-23m","1.4"
"Veneto","6-23m","0.8"
"Friuli-Venezia Giulia","6-23m","0.1"
"Liguria","6-23m","1"
"Emilia-Romagna","6-23m","0.9"
"Tuscany","6-23m","5"
"Umbria","6-23m","0.2"
"Marche","6-23m","0.4"
"Lazio","6-23m","0.5"
"Abruzzo","6-23m","0.9"
"Molise","6-23m","0.6"
"Campania","6-23m","3"
"Apulia","6-23m","4.3"
"Basilicata","6-23m","1.2"
"Calabria","6-23m","1"
"Sicily","6-23m","0.5"
"Sardinia","6-23m","0.5"
"Italy","6-23m","1.3"
"Piedmont","2-4y","0.5"
"Aosta Valley","2-4y","0.5"
"Lombardy","2-4y","0.8"
"AP Bolzano","2-4y","0.5"
"AP Trento","2-4y","1.4"
"Veneto","2-4y","1.5"
"Friuli-Venezia Giulia","2-4y","0.2"
"Liguria","2-4y","1.6"
"Emilia-Romagna","2-4y","1.5"
"Tuscany","2-4y","8.4"
"Umbria","2-4y","0.3"
"Marche","2-4y","1.1"
"Lazio","2-4y","1.3"
"Abruzzo","2-4y","1.7"
"Molise","2-4y","2.4"
"Campania","2-4y","5.4"
"Apulia","2-4y","8.6"
"Basilicata","2-4y","2.5"
"Calabria","2-4y","1.3"
"Sicily","2-4y","1"
"Sardinia","2-4y","2"
"Italy","2-4y","2.5"
"Piedmont","5_8","0.7"
"Aosta Valley","5_8","0.8"
"Lombardy","5_8","0.9"
"AP Bolzano","5_8","0.4"
"AP Trento","5_8","1.3"
"Veneto","5_8","1.7"
"Friuli-Venezia Giulia","5_8","0.1"
"Liguria","5_8","1.7"
"Emilia-Romagna","5_8","1.8"
"Tuscany","5_8","7.2"
"Umbria","5_8","0.5"
"Marche","5_8","1.6"
"Lazio","5_8","1.7"
"Abruzzo","5_8","1.9"
"Molise","5_8","1"
"Campania","5_8","5.1"
"Apulia","5_8","8.2"
"Basilicata","5_8","2.4"
"Calabria","5_8","1.8"
"Sicily","5_8","1"
"Sardinia","5_8","3.6"
"Italy","5_8","2.6"
"Piedmont","9_14","0.8"
"Aosta Valley","9_14","0.8"
"Lombardy","9_14","0.8"
"AP Bolzano","9_14","0.4"
"AP Trento","9_14","1.4"
"Veneto","9_14","1.6"
"Friuli-Venezia Giulia","9_14","1"
"Liguria","9_14","1.7"
"Emilia-Romagna","9_14","1.9"
"Tuscany","9_14","4.1"
"Umbria","9_14","0.6"
"Marche","9_14","1.4"
"Lazio","9_14","1.8"
"Abruzzo","9_14","1.3"
"Molise","9_14","1"
"Campania","9_14","3.8"
