"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2006-42",2006-10-16,2006-10-22,648,216,839158,"0.26",51835,37,"0.71",102959,41,"0.4",517666,126,"0.24",166698,12,"0.07"
"2006-43",2006-10-23,2006-10-29,728,257,940408,"0.27",59022,36,"0.61",116931,47,"0.4",577968,132,"0.23",186487,42,"0.23"
"2006-44",2006-10-30,2006-11-05,786,264,1018516,"0.26",62682,35,"0.56",125363,42,"0.34",628684,139,"0.22",201787,48,"0.24"
"2006-45",2006-11-06,2006-11-12,856,482,1112240,"0.43",67877,68,"1",136640,71,"0.52",688677,268,"0.39",219046,75,"0.34"
"2006-46",2006-11-13,2006-11-19,871,576,1128853,"0.51",69186,97,"1.4",138125,100,"0.72",698096,294,"0.42",223446,85,"0.38"
"2006-47",2006-11-20,2006-11-26,879,599,1139219,"0.53",69851,103,"1.47",139663,113,"0.81",704022,294,"0.42",225683,89,"0.39"
"2006-48",2006-11-27,2006-12-03,893,683,1157608,"0.59",71539,122,"1.71",142777,141,"0.99",714675,342,"0.48",228617,78,"0.34"
"2006-49",2006-12-04,2006-12-10,890,751,1155228,"0.65",70660,125,"1.77",140718,149,"1.06",715045,373,"0.52",228805,104,"0.45"
"2006-50",2006-12-11,2006-12-17,878,1022,1141139,"0.9",70294,195,"2.77",139662,175,"1.25",705366,521,"0.74",225817,131,"0.58"
"2006-51",2006-12-18,2006-12-24,846,1221,1101079,"1.11",67194,245,"3.65",133957,259,"1.93",681364,566,"0.83",218564,151,"0.69"
"2006-52",2006-12-25,2006-12-31,846,1783,1098249,"1.62",66726,353,"5.29",133863,363,"2.71",680464,850,"1.25",217196,217,"1"
"2007-01",2007-01-01,2007-01-07,881,2069,1143863,"1.81",68450,298,"4.35",138304,338,"2.44",710399,1169,"1.65",226710,264,"1.16"
"2007-02",2007-01-08,2007-01-14,896,2599,1162870,"2.23",70343,335,"4.76",140988,437,"3.1",720948,1536,"2.13",230591,291,"1.26"
"2007-03",2007-01-15,2007-01-21,902,3639,1171110,"3.11",70797,727,"10.27",143040,924,"6.46",725338,1719,"2.37",231935,269,"1.16"
"2007-04",2007-01-22,2007-01-28,896,5436,1164898,"4.67",69517,1165,"16.76",140697,1552,"11.03",723060,2322,"3.21",231624,397,"1.71"
"2007-05",2007-01-29,2007-02-04,895,7210,1160725,"6.21",70095,1371,"19.56",140652,2095,"14.89",719488,3284,"4.56",230490,460,"2"
"2007-06",2007-02-05,2007-02-11,897,8830,1165694,"7.57",70261,1594,"22.69",140822,2448,"17.38",723288,4191,"5.79",231323,597,"2.58"
"2007-07",2007-02-12,2007-02-18,876,8729,1134904,"7.69",68784,1646,"23.93",137875,2390,"17.33",703445,4098,"5.83",224800,595,"2.65"
"2007-08",2007-02-19,2007-02-25,874,7335,1132554,"6.48",67849,1426,"21.02",137319,1947,"14.18",702049,3443,"4.9",225337,519,"2.3"
"2007-09",2007-02-26,2007-03-04,867,5202,1123879,"4.63",68345,980,"14.34",137179,1358,"9.9",694920,2481,"3.57",223435,383,"1.71"
"2007-10",2007-03-05,2007-03-11,852,3424,1100967,"3.11",66668,620,"9.3",134331,834,"6.21",681988,1675,"2.46",217980,295,"1.35"
"2007-11",2007-03-12,2007-03-18,830,2417,1076824,"2.24",64592,453,"7.01",130137,594,"4.56",668579,1166,"1.74",213516,204,"0.96"
"2007-12",2007-03-19,2007-03-25,813,1886,1056618,"1.78",62493,373,"5.97",127521,462,"3.62",655249,885,"1.35",211355,166,"0.79"
"2007-13",2007-03-26,2007-04-01,806,1421,1047465,"1.36",60894,262,"4.3",124301,328,"2.64",652075,723,"1.11",210195,108,"0.51"
"2007-14",2007-04-02,2007-04-08,758,906,985213,"0.92",56441,158,"2.8",114510,191,"1.67",616710,485,"0.79",197552,72,"0.36"
"2007-15",2007-04-09,2007-04-15,742,689,965529,"0.71",56816,134,"2.36",113822,139,"1.22",602059,349,"0.58",192832,67,"0.35"
"2007-16",2007-04-16,2007-04-22,719,518,933995,"0.55",55421,116,"2.09",111333,111,"1",580421,239,"0.41",186820,52,"0.28"
"2007-17",2007-04-23,2007-04-29,664,268,867269,"0.31",49762,54,"1.09",98420,67,"0.68",543972,114,"0.21",175115,33,"0.19"
