"Region","Age","Vaccination coverage"
"Piedmont","<5","2"
"Aosta Valley","<5","2.4"
"Lombardy","<5","0.8"
"AP Bolzano","<5","1.9"
"AP Trento","<5","3.3"
"Veneto","<5","5.2"
"Friuli-Venezia Giulia","<5","1.9"
"Liguria","<5","7.5"
"Emilia-Romagna","<5","3.3"
"Tuscany","<5","17.7"
"Umbria","<5","0.9"
"Marche","<5","6.1"
"Lazio","<5","3.5"
"Abruzzo","<5","7.3"
"Molise","<5","9.8"
"Campania","<5","9.9"
"Apulia","<5","23.2"
"Basilicata","<5","2.8"
"Calabria","<5","5.2"
"Sicily","<5","3.6"
"Sardinia","<5","10.4"
"Italy","<5","6.1"
"Piedmont","5_14","2"
"Aosta Valley","5_14","0.4"
"Lombardy","5_14","0.7"
"AP Bolzano","5_14","1.6"
"AP Trento","5_14","2.7"
"Veneto","5_14","5"
"Friuli-Venezia Giulia","5_14","1.8"
"Liguria","5_14","5.4"
"Emilia-Romagna","5_14","4.6"
"Tuscany","5_14","10.7"
"Umbria","5_14","1.3"
"Marche","5_14","5.2"
"Lazio","5_14","4.6"
"Abruzzo","5_14","5.3"
"Molise","5_14","9.7"
"Campania","5_14","8"
"Apulia","5_14","18.1"
"Basilicata","5_14","3.2"
"Calabria","5_14","4.7"
"Sicily","5_14","3.7"
"Sardinia","5_14","8.8"
"Italy","5_14","5.1"
"Piedmont","15_24","2.2"
"Aosta Valley","15_24","1.2"
"Lombardy","15_24","0.3"
"AP Bolzano","15_24","0.9"
"AP Trento","15_24","1.6"
"Veneto","15_24","2.6"
"Friuli-Venezia Giulia","15_24","1.6"
"Liguria","15_24","4.8"
"Emilia-Romagna","15_24","3"
"Tuscany","15_24","3.6"
"Umbria","15_24","1.4"
"Marche","15_24","2.6"
"Lazio","15_24","3.7"
"Abruzzo","15_24","1.9"
"Molise","15_24","3.2"
"Campania","15_24","9.7"
"Apulia","15_24","6.7"
"Basilicata","15_24","2.1"
"Calabria","15_24","2.9"
"Sicily","15_24","3.2"
"Sardinia","15_24","4.1"
"Italy","15_24","3"
"Piedmont","25_64","6.4"
"Aosta Valley","25_64","6.6"
"Lombardy","25_64","0.9"
"AP Bolzano","25_64","4.5"
"AP Trento","25_64","6"
"Veneto","25_64","8.6"
"Friuli-Venezia Giulia","25_64","6.7"
"Liguria","25_64","10.1"
"Emilia-Romagna","25_64","9.4"
"Tuscany","25_64","11.4"
"Umbria","25_64","6.8"
"Marche","25_64","9.5"
"Lazio","25_64","11.4"
"Abruzzo","25_64","7.4"
"Molise","25_64","11.7"
"Campania","25_64","12.4"
"Apulia","25_64","12.4"
"Basilicata","25_64","11.8"
"Calabria","25_64","8.4"
"Sicily","25_64","12.9"
"Sardinia","25_64","9.2"
"Italy","25_64","8.8"
"Piedmont",">= 65","60.6"
"Aosta Valley",">= 65","58.9"
"Lombardy",">= 65","63.1"
"AP Bolzano",">= 65","47.7"
"AP Trento",">= 65","67"
"Veneto",">= 65","71.2"
"Friuli-Venezia Giulia",">= 65","49.7"
"Liguria",">= 65","65.7"
"Emilia-Romagna",">= 65","73.8"
"Tuscany",">= 65","71.1"
"Umbria",">= 65","77.5"
"Marche",">= 65","66.5"
"Lazio",">= 65","67.7"
"Abruzzo",">= 65","67.1"
"Molise",">= 65","73.7"
"Campania",">= 65","63.4"
"Apulia",">= 65","73"
"Basilicata",">= 65","72.6"
"Calabria",">= 65","63"
"Sicily",">= 65","64.1"
"Sardinia",">= 65","60.9"
"Italy",">= 65","65.6"
"Piedmont","Total","17.8"
"Aosta Valley","Total","16.2"
"Lombardy","Total","13.2"
"AP Bolzano","Total","11.5"
"AP Trento","Total","16.8"
"Veneto","Total","20.1"
"Friuli-Venezia Giulia","Total","15.6"
"Liguria","Total","24.1"
"Emilia-Romagna","Total","22.6"
"Tuscany","Total","24.9"
"Umbria","Total","22"
"Marche","Total","21.1"
"Lazio","Total","20.7"
"Abruzzo","Total","19.4"
"Molise","Total","24.2"
"Campania","Total","19.5"
"Apulia","Total","24.7"
"Basilicata","Total","21.8"
"Calabria","Total","18.1"
"Sicily","Total","19.6"
"Sardinia","Total","18.5"
"Italy","Total","19.6"
