"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2021-42",2021-10-18,2021-10-24,1308,4272,1713241,"2.49",97331,866,"8.9",228025,612,"2.68",988110,2303,"2.33",399775,491,"1.23"
"2021-43",2021-10-25,2021-10-31,1313,4966,1720624,"2.89",97292,1168,"12.01",228185,697,"3.05",993696,2576,"2.59",401451,525,"1.31"
"2021-44",2021-11-01,2021-11-07,1317,5590,1725143,"3.24",97099,1285,"13.23",228271,829,"3.63",997531,2844,"2.85",402242,632,"1.57"
"2021-45",2021-11-08,2021-11-14,1332,6673,1747584,"3.82",96862,1605,"16.57",227900,1053,"4.62",1013525,3243,"3.2",409297,772,"1.89"
"2021-46",2021-11-15,2021-11-21,1324,7301,1741924,"4.19",96706,1760,"18.2",227388,1157,"5.09",1011179,3563,"3.52",406651,821,"2.02"
"2021-47",2021-11-22,2021-11-28,1335,7820,1755204,"4.46",97382,1697,"17.43",229234,1252,"5.46",1018487,3907,"3.84",410101,964,"2.35"
"2021-48",2021-11-29,2021-12-05,1314,7589,1729390,"4.39",95581,1476,"15.44",224781,1192,"5.3",1005047,3969,"3.95",403981,952,"2.36"
"2021-49",2021-12-06,2021-12-12,1313,7120,1728741,"4.12",94239,1266,"13.43",222056,1065,"4.8",1006490,3852,"3.83",405956,937,"2.31"
"2021-50",2021-12-13,2021-12-19,1304,7589,1713465,"4.43",94982,1220,"12.84",223595,1115,"4.99",993493,4248,"4.28",401395,1006,"2.51"
"2021-51",2021-12-20,2021-12-26,1286,7972,1688611,"4.72",94416,1031,"10.92",221978,1077,"4.85",977407,4822,"4.93",394810,1042,"2.64"
"2021-52",2021-12-27,2022-01-02,1267,8581,1663701,"5.16",93134,817,"8.77",219511,1038,"4.73",963737,5580,"5.79",387319,1146,"2.96"
"2022-01",2022-01-03,2022-01-09,1262,8138,1658111,"4.91",92480,704,"7.61",217416,992,"4.56",961187,5344,"5.56",387028,1098,"2.84"
"2022-02",2022-01-10,2022-01-16,1251,7999,1641110,"4.87",92288,701,"7.6",216931,998,"4.6",949140,5262,"5.54",382751,1038,"2.71"
"2022-03",2022-01-17,2022-01-23,1246,7447,1635710,"4.55",92297,751,"8.14",216688,1024,"4.73",945885,4758,"5.03",380840,914,"2.4"
"2022-04",2022-01-24,2022-01-30,1234,6122,1616160,"3.79",91701,732,"7.98",215193,926,"4.3",932231,3735,"4.01",377035,729,"1.93"
"2022-05",2022-01-31,2022-02-06,1215,5123,1592841,"3.22",89188,652,"7.31",210099,802,"3.82",921739,3098,"3.36",371815,571,"1.54"
"2022-06",2022-02-07,2022-02-13,1209,4422,1584651,"2.79",88831,657,"7.4",209442,687,"3.28",916907,2533,"2.76",369471,545,"1.48"
"2022-07",2022-02-14,2022-02-20,1197,4171,1569139,"2.66",87171,738,"8.47",205560,669,"3.25",909728,2267,"2.49",366680,497,"1.36"
"2022-08",2022-02-21,2022-02-27,1189,4322,1555690,"2.78",87149,775,"8.89",206049,751,"3.64",899514,2271,"2.52",362978,525,"1.45"
"2022-09",2022-02-28,2022-03-06,1178,4667,1542173,"3.03",86405,819,"9.48",203828,829,"4.07",891614,2518,"2.82",360326,501,"1.39"
"2022-10",2022-03-07,2022-03-13,1170,5903,1528044,"3.86",86219,960,"11.13",203563,1088,"5.34",882565,3246,"3.68",355697,609,"1.71"
"2022-11",2022-03-14,2022-03-20,1148,6992,1498974,"4.66",84638,1145,"13.53",200263,1313,"6.56",865407,3849,"4.45",348666,685,"1.96"
"2022-12",2022-03-21,2022-03-27,1129,7530,1474488,"5.11",83878,1311,"15.63",198488,1540,"7.76",849497,3916,"4.61",342625,763,"2.23"
"2022-13",2022-03-28,2022-04-03,1095,7552,1427856,"5.29",81342,1330,"16.35",193103,1548,"8.02",822006,3904,"4.75",331405,770,"2.32"
"2022-14",2022-04-04,2022-04-10,1053,6264,1375230,"4.55",75810,1066,"14.06",180586,1290,"7.14",796893,3241,"4.07",321941,667,"2.07"
"2022-15",2022-04-11,2022-04-17,1002,5140,1306933,"3.93",72974,961,"13.17",173201,996,"5.75",755278,2603,"3.45",305480,580,"1.9"
"2022-16",2022-04-18,2022-04-24,932,4396,1208573,"3.64",69615,745,"10.7",164636,774,"4.7",693638,2387,"3.44",280684,490,"1.75"
"2022-17",2022-04-25,2022-05-01,769,2831,1001593,"2.83",58571,529,"9.03",138524,544,"3.93",574073,1451,"2.53",230425,307,"1.33"
