"year_week","start_date","end_date","number_healthcare_workers","number_cases","population","incidence","pop_0-4","cases_0-4","inc_0-4","pop_5-14","cases_5-14","inc_5-14","pop_15-64","cases_15-64","inc_15-64","pop_65+","cases_65+","inc_65+"
"2013-42",2013-10-14,2013-10-20,909,428,1176370,"0.36",79924,112,"1.4",154748,56,"0.36",693261,223,"0.32",248437,37,"0.15"
"2013-43",2013-10-21,2013-10-27,940,565,1222506,"0.46",82119,132,"1.61",160004,91,"0.57",722367,290,"0.4",258016,52,"0.2"
"2013-44",2013-10-28,2013-11-03,951,563,1236842,"0.46",82290,132,"1.6",161845,113,"0.7",730093,268,"0.37",262614,50,"0.19"
"2013-45",2013-11-04,2013-11-10,1012,885,1323302,"0.67",85432,197,"2.31",169413,169,"1",785156,441,"0.56",283301,78,"0.28"
"2013-46",2013-11-11,2013-11-17,1020,1025,1328309,"0.77",85449,202,"2.36",169727,179,"1.05",788746,548,"0.69",284387,96,"0.34"
"2013-47",2013-11-18,2013-11-24,1030,1270,1339233,"0.95",87575,247,"2.82",173886,208,"1.2",793744,694,"0.87",284028,121,"0.43"
"2013-48",2013-11-25,2013-12-01,1032,1649,1342072,"1.23",87839,329,"3.75",173454,278,"1.6",795479,881,"1.11",285300,161,"0.56"
"2013-49",2013-12-02,2013-12-08,1036,1914,1346922,"1.42",88906,360,"4.05",176932,345,"1.95",795639,1049,"1.32",285445,160,"0.56"
"2013-50",2013-12-09,2013-12-15,1026,2279,1335692,"1.71",85962,416,"4.84",172547,412,"2.39",792645,1255,"1.58",284538,196,"0.69"
"2013-51",2013-12-16,2013-12-22,1001,2540,1301515,"1.95",83713,447,"5.34",168046,434,"2.58",772988,1404,"1.82",276768,255,"0.92"
"2013-52",2013-12-23,2013-12-29,952,2766,1238876,"2.23",80154,462,"5.76",160192,443,"2.77",735087,1557,"2.12",263443,304,"1.15"
"2014-01",2013-12-30,2014-01-05,997,3842,1298530,"2.96",85211,517,"6.07",169474,542,"3.2",767845,2311,"3.01",276000,472,"1.71"
"2014-02",2014-01-06,2014-01-12,1042,5592,1356857,"4.12",88789,650,"7.32",176883,839,"4.74",803590,3477,"4.33",287595,626,"2.18"
"2014-03",2014-01-13,2014-01-19,1034,6763,1352620,"5",87617,1136,"12.97",174249,1280,"7.35",802555,3776,"4.7",288199,571,"1.98"
"2014-04",2014-01-20,2014-01-26,1036,7744,1350548,"5.73",89116,1544,"17.33",178094,1631,"9.16",795935,3917,"4.92",287403,652,"2.27"
"2014-05",2014-01-27,2014-02-02,1030,8716,1339157,"6.51",89009,1765,"19.83",176646,1931,"10.93",790161,4407,"5.58",283341,613,"2.16"
"2014-06",2014-02-03,2014-02-09,1021,8780,1327162,"6.62",88236,1675,"18.98",175794,2065,"11.75",781810,4387,"5.61",281322,653,"2.32"
"2014-07",2014-02-10,2014-02-16,1006,8151,1311337,"6.22",85212,1498,"17.58",170965,1840,"10.76",776284,4165,"5.37",278876,648,"2.32"
"2014-08",2014-02-17,2014-02-23,997,7110,1293502,"5.5",87453,1307,"14.95",173904,1578,"9.07",758570,3660,"4.82",273575,565,"2.07"
"2014-09",2014-02-24,2014-03-02,986,6008,1280406,"4.69",87276,1078,"12.35",172577,1316,"7.63",750624,3122,"4.16",269929,492,"1.82"
"2014-10",2014-03-03,2014-03-09,981,4993,1277850,"3.91",85265,863,"10.12",169578,1103,"6.5",753529,2621,"3.48",269478,406,"1.51"
"2014-11",2014-03-10,2014-03-16,949,4141,1234184,"3.36",80925,723,"8.93",163214,896,"5.49",728059,2190,"3.01",261986,332,"1.27"
"2014-12",2014-03-17,2014-03-23,949,3454,1218836,"2.83",81819,622,"7.6",162708,796,"4.89",716397,1719,"2.4",257912,317,"1.23"
"2014-13",2014-03-24,2014-03-30,914,2410,1191042,"2.02",77730,420,"5.4",156079,505,"3.24",704396,1278,"1.81",252837,207,"0.82"
"2014-14",2014-03-31,2014-04-06,887,1856,1158845,"1.6",73955,308,"4.16",148617,384,"2.58",686432,1001,"1.46",249841,163,"0.65"
"2014-15",2014-04-07,2014-04-13,824,1304,1077706,"1.21",67776,206,"3.04",136618,234,"1.71",641697,728,"1.13",231615,136,"0.59"
"2014-16",2014-04-14,2014-04-20,665,730,876296,"0.83",53375,104,"1.95",108129,124,"1.15",523988,421,"0.8",190804,81,"0.42"
"2014-17",2014-04-21,2014-04-27,521,310,687533,"0.45",43775,46,"1.05",86710,37,"0.43",408187,186,"0.46",148861,41,"0.28"
