"Region","Age","Vaccination coverage"
"Campania","15_17","3.1"
"Apulia","15_17","3"
"Basilicata","15_17","1.7"
"Calabria","15_17","2.5"
"Sicily","15_17","1.2"
"Sardinia","15_17","1.7"
"Italy","15_17","1.5"
"Piedmont","18_44","1.3"
"Aosta Valley","18_44","1.3"
"Lombardy","18_44","0.9"
"AP Bolzano","18_44","0.8"
"AP Trento","18_44","1.2"
"Veneto","18_44","2"
"Friuli-Venezia Giulia","18_44","1.6"
"Liguria","18_44","2.1"
"Emilia-Romagna","18_44","2"
"Tuscany","18_44","2.3"
"Umbria","18_44","1.4"
"Marche","18_44","1.5"
"Lazio","18_44","2.5"
"Abruzzo","18_44","1.6"
"Molise","18_44","2.3"
"Campania","18_44","2.8"
"Apulia","18_44","2.5"
"Basilicata","18_44","2.5"
"Calabria","18_44","1.6"
"Sicily","18_44","2.4"
"Sardinia","18_44","2"
"Italy","18_44","1.9"
"Piedmont","45_64","5.7"
"Aosta Valley","45_64","5.6"
"Lombardy","45_64","3.3"
"AP Bolzano","45_64","3.7"
"AP Trento","45_64","5.3"
"Veneto","45_64","7.1"
"Friuli-Venezia Giulia","45_64","7.1"
"Liguria","45_64","5.2"
"Emilia-Romagna","45_64","8.1"
"Tuscany","45_64","9.3"
"Umbria","45_64","7.4"
"Marche","45_64","6.9"
"Lazio","45_64","9.4"
"Abruzzo","45_64","6.4"
"Molise","45_64","11.6"
"Campania","45_64","11.4"
"Apulia","45_64","10.8"
"Basilicata","45_64","8.8"
"Calabria","45_64","6.6"
"Sicily","45_64","8.7"
"Sardinia","45_64","7.4"
"Italy","45_64","7.5"
"Piedmont",">= 65","46.3"
"Aosta Valley",">= 65","43.5"
"Lombardy",">= 65","46.3"
"AP Bolzano",">= 65","36.6"
"AP Trento",">= 65","51.9"
"Veneto",">= 65","53.4"
"Friuli-Venezia Giulia",">= 65","49"
"Liguria",">= 65","46.6"
"Emilia-Romagna",">= 65","50"
"Tuscany",">= 65","49.9"
"Umbria",">= 65","61.8"
"Marche",">= 65","46.2"
"Lazio",">= 65","49.5"
"Abruzzo",">= 65","38.5"
"Molise",">= 65","49"
"Campania",">= 65","52.9"
"Apulia",">= 65","48.6"
"Basilicata",">= 65","45.6"
"Calabria",">= 65","53.3"
"Sicily",">= 65","47.4"
"Sardinia",">= 65","40.6"
"Italy",">= 65","48.6"
"Piedmont","Total","13.5"
"Aosta Valley","Total","11.9"
"Lombardy","Total","11.4"
"AP Bolzano","Total","8.3"
"AP Trento","Total","12.9"
"Veneto","Total","14.5"
"Friuli-Venezia Giulia","Total","15"
"Liguria","Total","15.3"
"Emilia-Romagna","Total","14.9"
"Tuscany","Total","16.3"
"Umbria","Total","17.8"
"Marche","Total","13.5"
"Lazio","Total","14"
"Abruzzo","Total","11.1"
"Molise","Total","15.7"
"Campania","Total","13.9"
"Apulia","Total","14.6"
"Basilicata","Total","13.5"
"Calabria","Total","13.4"
"Sicily","Total","12.8"
"Sardinia","Total","12"
"Italy","Total","13.6"
