"Region","Age","Vaccination coverage"
"Piedmont","6-23m","0.2"
"Aosta Valley","6-23m","0.2"
"Lombardy","6-23m","0.4"
"AP Bolzano","6-23m","0.1"
"AP Trento","6-23m","1.6"
"Veneto","6-23m","0.8"
"Friuli-Venezia Giulia","6-23m","0.1"
"Liguria","6-23m","0.4"
"Emilia-Romagna","6-23m","0.7"
"Tuscany","6-23m","4.3"
"Umbria","6-23m","0.1"
"Marche","6-23m","0.3"
"Lazio","6-23m","0.4"
"Abruzzo","6-23m","0.2"
"Molise","6-23m","0.1"
"Campania","6-23m","1.7"
"Apulia","6-23m","4.1"
"Basilicata","6-23m","1"
"Calabria","6-23m","0.9"
"Sicily","6-23m","0.1"
"Sardinia","6-23m","1.1"
"Italy","6-23m","1.1"
"Piedmont","2-4y","0.3"
"Aosta Valley","2-4y","0.3"
"Lombardy","2-4y","0.7"
"AP Bolzano","2-4y","0.5"
"AP Trento","2-4y","1.3"
"Veneto","2-4y","1.4"
"Friuli-Venezia Giulia","2-4y","0.1"
"Liguria","2-4y","1.1"
"Emilia-Romagna","2-4y","1.2"
"Tuscany","2-4y","6.6"
"Umbria","2-4y","0.2"
"Marche","2-4y","0.7"
"Lazio","2-4y","0.9"
"Abruzzo","2-4y","0.5"
"Molise","2-4y","0.6"
"Campania","2-4y","3.2"
"Apulia","2-4y","6.7"
"Basilicata","2-4y","1.6"
"Calabria","2-4y","1.2"
"Sicily","2-4y","0.4"
"Sardinia","2-4y","2.8"
"Italy","2-4y","1.8"
"Piedmont","5_8","0.6"
"Aosta Valley","5_8","0.3"
"Lombardy","5_8","0.8"
"AP Bolzano","5_8","0.6"
"AP Trento","5_8","1.4"
"Veneto","5_8","1.3"
"Friuli-Venezia Giulia","5_8","0.1"
"Liguria","5_8","1.2"
"Emilia-Romagna","5_8","1.4"
"Tuscany","5_8","5.3"
"Umbria","5_8","0.3"
"Marche","5_8","0.9"
"Lazio","5_8","1.1"
"Abruzzo","5_8","0.5"
"Molise","5_8","0.7"
"Campania","5_8","3.5"
"Apulia","5_8","6.2"
"Basilicata","5_8","1.6"
"Calabria","5_8","1.6"
"Sicily","5_8","0.6"
"Sardinia","5_8","3.3"
"Italy","5_8","1.9"
"Piedmont","9_14","0.7"
"Aosta Valley","9_14","0.6"
"Lombardy","9_14","0.6"
"AP Bolzano","9_14","0.4"
"AP Trento","9_14","1.3"
"Veneto","9_14","1.2"
"Friuli-Venezia Giulia","9_14","0.8"
"Liguria","9_14","0.9"
"Emilia-Romagna","9_14","1.5"
"Tuscany","9_14","3.1"
"Umbria","9_14","0.4"
"Marche","9_14","0.8"
"Lazio","9_14","1.2"
"Abruzzo","9_14","0.6"
"Molise","9_14","0.8"
"Campania","9_14","2.4"
"Apulia","9_14","4.2"
"Basilicata","9_14","1.4"
"Calabria","9_14","1.2"
"Sicily","9_14","0.6"
"Sardinia","9_14","2.2"
"Italy","9_14","1.5"
"Piedmont","15_17","0.8"
"Aosta Valley","15_17","0.6"
"Lombardy","15_17","0.5"
"AP Bolzano","15_17","0.5"
"AP Trento","15_17","0.9"
"Veneto","15_17","1.2"
"Friuli-Venezia Giulia","15_17","0.8"
"Liguria","15_17","0.6"
"Emilia-Romagna","15_17","1.4"
"Tuscany","15_17","1.9"
"Umbria","15_17","0.5"
"Marche","15_17","1.1"
"Lazio","15_17","1.4"
"Abruzzo","15_17","1.1"
"Molise","15_17","1.1"
